username,name,score,salary,message,note
miss_webb_3670,Miss Andrea Webb,26.0,49.1,"""At praesentium, Blanditiis dolorem eveniet occaecati Veritatis aliquam voluptatum""","""Quod nobis: Quos nostrum natus, Est"""
lindsey_thompson_4740,Lindsey Carey-Thompson,46.0,14.1,"""(Veniam adipisci voluptatibus fuga) , Fugiat perferendis deserunt non ipsa quod and Molestiae reiciendis""","""Note: Autem, then Repudiandae voluptates est aspernatur consectetur"""
nicola_howard_6142,Nicola Howard,77.0,7.1,"""Sint ut, Pariatur iste ipsam fugiat Ullam in""","""Note: Tempora animi quasi veniam ipsam, then Ea aspernatur"""
gary_kay_2459,Gary Kay,53.0,79.1,"""Explicabo rerum minima; Repudiandae dolorem quam voluptatibus , Ea enim cumque architecto""","""(Odio quasi cumque) , Autem consequatur expedita veritatis and Nisi quas"""
dr_davies_3994,D,87.0,22.1,"""(Eos minima atque alias) , Magnam and Officia amet minima quae quod itaque""","""Temporibus amet nisi; Mollitia , Eum cupiditate tenetur dolorem porro"""
raymond_whitehead_0855,Raymond Whitehead,20.0,54.1,"""Perferendis doloremque animi autem, Aperiam omnis Eaque ipsam hic""","""Ipsa; Magnam dolorem facilis ipsa assumenda , A"""
andrea_gibbs_0060,Andrea Gibbs,17.0,99.1,"""Note: Magni veritatis omnis, then Itaque""","""Consectetur repellendus qui occaecati autem: Rerum molestias voluptate natus, Ducimus corporis minus dignissimos impedit"""
paul_wood_1638,Paul Morris-Wood,38.0,95.1,"""Nesciunt occaecati velit dolorem amet; Autem ad ducimus , Esse ipsam accusamus consequuntur culpa et""","""In aspernatur tempora blanditiis: Eos iure, Ipsum mollitia exercitationem quia"""
kieran_harvey_4015,Kieran Harvey,96.0,,"""Magni: Fugiat modi architecto deleniti praesentium, Odit sunt quis temporibus""","""(Vero nemo architecto) , Suscipit ullam numquam and Quae vero"""
oliver_quinn_9973,Oliver Quinn,35.0,75.1,"""Numquam consequatur non: Excepturi quisquam nostrum natus, Excepturi optio saepe""","""Beatae qui aperiam: Ducimus dolores, Placeat odio assumenda"""
joseph_marsh_4430,Joseph Chamberlain-Marsh,36.0,68.1,"""(Cum nostrum) , Ducimus facere and Nesciunt""","""Laborum doloremque perspiciatis non quia adipisci; Repellendus minus exercitationem , Ad occaecati ut quaerat labore"""
nicholas_moore_8265,Nicholas Moore,80.0,54.1,"""(Ut fugiat) , Harum ipsa distinctio and Impedit laudantium est""","""Note: Repellendus deleniti, then Neque"""
zoe_carroll_2674,Zoe Wright-Carroll,,26.1,"""(Commodi provident magnam) , Qui and Ullam facilis saepe fugiat atque""","""(Aliquam maxime) , Quos hic doloribus incidunt assumenda sint and Mollitia cupiditate blanditiis sequi aperiam"""
mr_mason_4167,Mr Colin Mason,65.0,91.1,"""(Dicta corporis nesciunt) , Adipisci and Beatae reiciendis autem quidem""","""Expedita numquam soluta aliquam: Adipisci a, Recusandae suscipit incidunt ratione"""
dale_miller_9594,Dale Miller,13.0,59.1,"""(Rem fugiat) , Hic dicta and Qui corporis occaecati consequuntur laudantium""","""Assumenda rem nostrum: Nihil, Consectetur temporibus"""
howard_watson_0817,Howard Watson,64.0,6.1,"""At magni facilis aliquam, Dolor placeat sit Quae alias""","""Note: Est quo repellendus, then Minus ipsa voluptas omnis accusantium"""
miss_perry_5070,Miss Ruth Perry,28.0,78.1,"""Qui vero amet, Eum Doloribus sequi autem""","""Sed: Inventore accusamus quod recusandae, Temporibus"""
guy_lamb_2432,Guy Lamb,76.0,65.1,"""Placeat iste atque; A , Qui esse maxime nesciunt""","""Eius totam voluptatum: Temporibus, Excepturi odit"""
debra_foster_0924,Debra Foster,20.0,42.1,"""Tempora aut fugit illum, Doloremque animi Molestiae laboriosam voluptas harum""","""Note: Neque at quae corporis est, then Doloremque omnis"""
darren_jarvis_5204,Darren Jarvis,91.0,79.1,"""Porro: Nostrum itaque, Saepe laborum""","""Necessitatibus: Hic, Laudantium voluptatem"""
