username;name;total_count;score;summary;description
elizabeth_lynch_8561;Elizabeth Lynch;87.0;71.1;"""These collection defense enter treat else; Manager heavy ; Up bag""";"""Let: Fine onto issue; Past service see"""
larry_lee_6302;Larry Lee;2.0;;"""Data market finally; Challenge ; Interest degree chair these space""";"""Soldier forget; Event benefit themselves heart treat huge Finish old skin"""
kayla_parker_4809;Kayla Parker;80.0;18.1;"""Seem old: Represent price; Tough nor research""";"""Note: Ever risk; then Less international"""
elizabeth_lewis_9181;Elizabeth Lewis;11.0;57.1;"""(Think old federal thus short never) ; Television and Hope""";"""Note: Trade; then Pick establish difference"""
alicia_martinez_8752;Alicia Martinez;56.0;93.1;"""Lay member protect American same; Able marriage begin shoulder ; Public worry""";"""Note: Money sister finally; then Likely next walk tree mother"""
joshua_blanchard_2502;Joshua Blanchard;25.0;27.1;"""Space; Mention rest own quality ; Suggest worker""";"""Note: Soon major; then May building point can often wrong"""
brian_hernandez_3903;Brian Hernandez;11.0;88.1;"""Area democratic thus; Company central ; Attorney smile itself throw apply""";"""Factor edge positive just item them: Instead attention foreign operation three administration; Agent"""
melinda_harper_3010;Melinda Harper;42.0;81.1;"""Note: Three hotel record; then Idea too""";"""Process four recognize respond: Camera newspaper bit hair; Water school media"""
peter_singh_1709;Peter Singh;22.0;37.1;"""Note: Give word; then Put artist""";"""(Subject small) ; Role morning those green and Stand outside present"""
nancy_phillips_9328;Nancy Phillips;54.0;51.1;"""Street book billion; Get medical Game behind everyone""";"""Small since wind; Project nothing Goal west"""
james_miranda_0855;James Miranda;4.0;1.1;"""Always lay health at; Face right view paper ; Drive method body""";"""Note: Not thus few ten herself; then Eight personal"""
kyle_hopkins_5354;o;;44.1;"""Short weight; See stage Machine boy can argue""";"""City risk teach computer; Cost everybody Ever power often"""
travis_palmer_1960;Travis Palmer;68.0;23.1;"""Draw east people; Cause up blue that like Picture during""";"""Require already show; Son same Kind four so imagine marriage"""
elijah_burnett_8642;Elijah Burnett;36.0;31.1;"""Activity; Site just indicate ; And let""";"""Trade rich; Fall onto ; Cold movement dark race"""
