# This is a comment line to skip
name;total_count;age;comment;message
Luke Kane;95.0;73.1;'''Involve side case; Ball firm author against As political drop''';'''Note: Hand story foreign teach live low; then Company board'''
Joseph Johnson;74.0;22.1;'''(Interesting political visit minute) ; Truth theory PM since and Worry attention operation''';'''Sister government somebody let; Letter hand trouble ok improve Least attack camera just wind'''
Ethan Long;65.0;92.1;'''Any: Pretty magazine; Personal''';'''Eat; Staff good the White evidence'''
David Perez;75.0;73.1;'''Mr less; Thought not race sure Scene member''';'''(Detail receive blood) ; Try heart and Identify compare'''
Raymond Elliott;10.0;78.1;'''(Other reflect try would deep) ; Lose plan energy and Process little''';'''Rise challenge; Meeting wind Else east'''
Tracey West;61.0;27.1;'''Deal worry door impact move six; Dinner just of range ; Sister page rock''';'''Table include politics system now; Memory ; Alone owner room recently laugh increase'''
Kimberly Diaz;31.0;65.1;'''(Career community effort whom) ; Heavy school and Production language''';'''(Office) ; Material town and Important difference several'''
Joshua Bryant;81.0;31.1;'''Politics into media growth; Herself prepare us mean job street Party himself both''';'''(Knowledge) ; Authority begin discussion and Quite need'''
Jeffrey Wallace;59.0;61.1;'''Social share name film; Affect charge similar ; Series yourself difficult''';'''Note: Machine any; then Population say'''
James Day;2.0;63.1;'''Bit wonder political wrong season receive; Concern science your Trade''';'''Report off; Range beautiful Mrs west include continue ; End his brother himself'''
Savannah Ruiz;59.0;1.1;'''Organization; Water election force ; Two news camera''';'''Note: Movement; then Make product message over'''
Michelle Smith;60.0;30.1;'''(Watch think investment) ; Whatever adult surface and South factor''';'''Project economy subject important; Everybody name ; Think necessary'''
Kelly Reynolds;42.0;16.1;'''Term drop; Watch then ; Say wait instead''';'''Weight system quality couple history; Book win ; College stay season eye'''
Bianca Smith;72.0;52.1;'''(Study vote) ; Right real reach president glass and During difficult''';'''Kitchen development card try customer; Already Nation follow natural form cup stage'''
Scott Hoffman;34.0;68.1;'''Note: Fill buy treatment; then Until ahead our seven''';'''Although black; Total Executive national total'''
Todd Adams;76.0;59.1;'''Every industry election product: Bit focus usually each look detail; There develop difference''';'''Risk; Claim machine community including Democrat Relationship strategy participant direction take'''
Crystal Charles;36.0;41.1;'''(Strong) ; View win kitchen my parent and Lawyer else''';'''Section describe home only: Yeah chair never; Result source'''
Kevin Henry;10.0;;'''(View) ; Technology and Street data among lead''';'''Huge; Discussion necessary could policy democratic ; Design scientist only'''
Brian Brown;13.0;11.1;'''Audience hour charge; Month place ; Whose lawyer''';'''Team employee help job; The ; Also player politics job'''
e;75.0;42.1;'''Skill card; On activity Push forget''';'''Walk home; Onto can ask ; Military enough soldier already address'''
Patricia Smith;49.0;58.1;'''Wife because; Marriage girl task ; Size various read single hear offer''';'''(Floor might everybody voice) ; Mouth and Knowledge'''
James Williams;71.0;43.1;'''Note: Tree today ten; then Debate moment factor''';'''Note: Week effect tax course; then Despite wait everything'''
Ashley Pierce;82.0;6.1;'''Choice goal environment: Miss mouth ten; Cell song child I''';'''(Food million) ; Push sing and Of form score'''
Roger Patterson;28.0;54.1;'''Wear prove everybody radio; Region speech west Region relationship age''';'''Any model film might day; Fire both baby hotel Sell business him'''
Christopher Reed;;16.1;'''Success couple shoulder; Amount wear ; Will which vote''';'''(Traditional shoulder month) ; Here fly reveal and Whose stock talk'''
Olivia Bonilla;79.0;54.1;'''Which; Eight Management''';'''Note: Film page; then Wonder'''
Samantha King;7.0;29.1;'''Note: Own people force first; then Ask within military until citizen peace''';'''Note: Share language break; then Detail right beautiful modern'''
Melissa Walker;44.0;65.1;'''Measure exactly bring think; Sport wind Question far mission''';'''None; Direction newspaper west mission His reality resource hold trouble'''
Walter Smith;59.0;78.1;'''See; Commercial cup Market already''';'''Force wall reflect training street item; Relationship our Yeah'''
Cheryl Ford;40.0;65.1;'''Safe music already bag religious expert; Level trouble run ; Pay''';'''Worker require again; Best thousand Instead worry'''
Tracy Jackson;20.0;71.1;'''Institution manage even use; Remain the tree seem between Answer''';'''(Writer every group spring store) ; Sister although community and Student person'''
Ryan Stewart;71.0;23.1;'''State man scene indicate natural; Establish husband Fear mind focus''';'''(Director) ; Strategy do and Research thought property'''
