name;price;age;description
x;66.0;2.1;"""Include late late let: Travel with expect class; Crime"""
Carol Hernandez;27.0;9.1;"""Note: Expert; then Speech"""
Dr. Breanna Davis;11.0;6.1;"""Note: Ok artist; then Shoulder newspaper project"""
James Allen;70.0;63.1;"""Season writer I face; Animal health ; More happy me"""
Laura Chambers;84.0;4.1;"""Speech cause; Anyone cell wide sell appear ; Region event exactly develop in"""
Spencer Tran;85.0;93.1;"""Training short kind tonight: Role serious like where; Remain"""
Pamela Mosley;26.0;1.1;"""(Camera participant issue power sister number) ; However price claim meet and Structure and quickly"""
Susan Spencer;94.0;;"""Impact process true ahead husband stand; Stand study ; Born could of"""
Daniel Miller;59.0;78.1;"""Impact strategy: Feeling travel choice collection; Stage"""
Jacob Campbell;58.0;13.1;"""(Security) ; Likely and Truth rate"""
David Barnett;67.0;33.1;"""Consumer behind; Door woman worry power knowledge Figure better father training turn"""
Renee Johnson;22.0;49.1;"""Miss store show cost voice; Adult ; Large administration"""
Elizabeth Lewis;7.0;34.1;"""Local power fly land: New never just; Gas leave eat probably military benefit"""
Sarah Powers;95.0;12.1;"""Role glass; Station story ; Floor couple page"""
David Miller;86.0;30.1;"""Note: There experience; then Reduce source anything"""
Katherine Hammond;90.0;29.1;"""All newspaper husband; Live join great data ; Catch physical understand"""
Matthew Gonzalez;8.0;70.1;"""Himself bad time; Investment mean site wear a ; House paper develop"""
Mrs. Kelly Jackson;51.0;25.1;"""Recognize artist assume: Writer; Mr station degree pressure market"""
Deborah Hayes;19.0;66.1;"""(Use with try) ; Lot upon job and Painting if reason threat table manager"""
Jeremy Patterson;3.0;67.1;"""Which your yard effect; You hour eye ; Traditional thousand account"""
Lance Miller;28.0;51.1;"""Note: Pm someone religious new truth take; then Character line"""
James Barry;97.0;79.1;"""(Maintain significant) ; Very away and Explain activity"""
Theresa Dudley;56.0;54.1;"""Note: Simple life; then Policy throw"""
Stephanie Mckenzie;46.0;98.1;"""Pick would control laugh: Research local; Read almost bank join lead"""
Andrew King;35.0;34.1;"""Break attack direction officer: Cultural speech; Do yourself argue recent"""
Kimberly Oliver;29.0;82.1;"""Congress: Major painting message; Law option"""
Dylan May;59.0;100.1;"""(Decade sell bring full) ; Contain and Mean education daughter box authority"""
Lisa Parks;45.0;96.1;"""Open; Seem rock Example per tree experience free cold industry"""
Amy Hernandez;;48.1;"""Note: No born; then Official rich number management surface"""
Jeremiah Smith;24.0;61.1;"""Note: Strong administration control believe; then Still power really she modern"""
Erica Bean;74.0;16.1;"""Or good evening arm; Fast paper ; Change difference"""
Patrick Harris;64.0;79.1;"""(Meeting central such wait) ; Material whole and Issue try gas size"""
David Fox;27.0;64.1;"""That key same; Thank decade ; Protect actually especially off"""
Claire Brown;36.0;77.1;"""Today drive billion; Heavy About"""
Mark Garcia;26.0;31.1;"""Act mother; Toward PM ; Voice"""
Kara Nicholson;100.0;41.1;"""Note: Collection keep action analysis; then Stand"""
Michael Burton;51.0;79.1;"""Can edge according: Mind; War must including without travel"""
Michelle Anderson;49.0;32.1;"""Note: Last choose answer; then My right maybe"""
Isaiah Massey;92.0;3.1;"""Look Democrat board; Difference Kind"""
Curtis Kelly;36.0;62.1;"""Likely democratic; Strong she model rise Add figure price you small detail"""
David Barnes;89.0;16.1;"""Note: Third card better; then Address fact"""
Jeffrey Morse;98.0;48.1;"""Back foreign it; Account explain recent class Wall war significant always possible catch"""
