name;salary;total_count;price;review
John Orr;63.0;21.1;39.2;"""Land listen career; Head list threat Professor place"""
Sharon Hanson;88.0;79.1;45.2;"""Note: Weight necessary; then Describe"""
Kevin Garcia;89.0;23.1;;"""(Take city result economy) ; Ago woman and Control simple single front"""
Dillon Wright;56.0;16.1;92.2;"""Note: Audience attorney let bill; then Everything decade"""
Jason Levine;37.0;32.1;95.2;"""(Yourself role entire economic) ; Several character and During that continue"""
Holly Lopez;7.0;80.1;53.2;"""Note: A task off scientist opportunity public someone; then Already bit research"""
Jacob Buchanan;43.0;90.1;33.2;"""Let choice other these tonight throughout: Couple dark game break usually; Charge plan"""
Olivia Rowe;39.0;29.1;61.2;"""Program; Pass ; Notice everyone"""
Douglas Rivera;28.0;89.1;33.2;"""Note: Understand generation; then Hundred this"""
Thomas Robbins;91.0;96.1;69.2;"""Through kid; Simply and player music son ; Actually song clear"""
Mark Gomez;30.0;57.1;96.2;"""Him other until continue I design; Simple both Blood whether culture"""
Elizabeth Preston;56.0;27.1;2.2;"""Also dinner parent: Green several; Fact each"""
Michael Black;52.0;16.1;63.2;"""Note: Own raise performance police; then He case really effort evidence"""
Stephen Jimenez;73.0;31.1;33.2;"""Walk media me small prepare; Avoid soon medical ; Improve shake"""
David Green;94.0;;23.2;"""Happy together seem begin everything their; Watch Loss five generation Mrs"""
Christopher Landry;82.0;15.1;3.2;"""Note: Card son; then Sister choose"""
Kimberly Ferguson;51.0;44.1;88.2;"""Structure magazine red; Phone rate Watch fast beautiful across yeah"""
Gregory Johnson;69.0;49.1;44.2;"""(Argue catch) ; Claim and Kind box little friend"""
Emily Wilson;92.0;23.1;44.2;"""Note: Book move power; then Benefit whatever"""
Tyler Fuller;13.0;17.1;37.2;"""Herself finally worry; Watch relationship ; Single for lead training stand consider"""
John Sims;27.0;80.1;81.2;"""(Drug drop conference husband) ; This expert least floor training and Its church bring environment head"""
Alice Garcia;87.0;39.1;72.2;"""(Face hold can do) ; Rule popular and Nothing chair suffer how baby option"""
David Jackson;76.0;47.1;76.2;"""(Smile) ; They letter year money and Thought difficult"""
D;58.0;70.1;64.2;"""Ability course education west: Simple official these society parent; Seek data teacher"""
William Downs;64.0;56.1;14.2;"""Note: Occur her accept sport; then Even blood"""
Tracy Scott;90.0;60.1;81.2;"""Election some speech; Become firm Big their investment require"""
Mary Williams;29.0;80.1;97.2;"""Note: Opportunity quickly environment program; then Control reach"""
Glen Valdez;;18.1;41.2;"""Hold: Get control; Next product involve discuss"""
Craig Wells;12.0;4.1;12.2;"""Suggest your make occur all civil; Describe foreign mean newspaper Still"""
Sarah Powell;77.0;23.1;32.2;"""Well father behind; Region market range rest Argue six"""
John Sparks;42.0;2.1;90.2;"""Away magazine: Theory during rise already; Hear"""
