username	salary	price	remark
mr_wright_6411	56.0	82.1	"""(Lead ago enjoy) 	 Fight and Concern billion"""
todd_bryant_8689	46.0	35.1	"""Particularly movement	 Brother few image None black upon"""
thomas_lucas_0977	27.0	35.1	"""(Wide set) 	 Republican give news and Street nor music"""
daniel_rice_2131	44.0	33.1	"""Note: Single identify writer	 then Half"""
emily_hall_8322	93.0	99.1	"""Mouth hair past; Campaign research religious 	 Travel because stand"""
ashley_hernandez_1355	14.0	45.1	"""Ask; Model magazine 	 Believe forget"""
jeffrey_meyer_5616	31.0	95.1	"""(Red necessary) 	 Site his draw three and Above"""
dana_acosta_8216	75.0	83.1	"""Large old on even: Phone important	 Serve"""
christopher_li_7900	84.0	76.1	"""Thousand soon; Score phone thank style clear kid 	 Good"""
curtis_thomas_1182	61.0	31.1	"""Note: That specific between service	 then Personal"""
julie_cooper_7778	70.0	38.1	"""Note: Mention cover American	 then Six too challenge indeed"""
steven_flores_6974	77.0	48.1	"""Note: Public sort	 then Compare use exist good recent lose"""
sara_moore_0612	96.0	75.1	"""(Yard treatment level) 	 Least apply and Reality maybe"""
joseph_wagner_2268	3.0	96.1	"""Group: It central tree	 Middle employee attorney"""
sarah_sanchez_6388		74.1	"""(On reason maintain beautiful practice him) 	 Must serve mission ago and Court billion"""
cynthia_rubio_2983	33.0	3.1	"""Role floor billion	 For base Catch example"""
crystal_byrd_3144	78.0	92.1	"""History material	 Own Meeting anyone research"""
mikayla_ortiz_7731	41.0	56.1	"""(Main staff kitchen change) 	 Control campaign material and Teacher free early"""
ashlee_roberts_0402	41.0	17.1	"""Arm someone one	 Happen cultural East city world"""
manuel_iv_9028	72.0	81.1	"""Receive	 Environmental control Another it team the"""
darius_oliver_0907	90.0	66.1	"""Person take: Trouble	 House hard process"""
andre_silva_0460	77.0	75.1	"""(Receive level) 	 Sign become seem evidence blood office and Parent"""
jason_oneal_1240	11.0	80.1	"""(Serve parent amount include detail first) 	 Recent place wind and Reduce last of"""
debra_kent_9755	83.0	15.1	"""Note: Wife deal build paper to pressure	 then Science"""
jason_baxter_3121	43.0	29.1	"""Note: Question usually in need list least	 then Successful best leg enjoy"""
christina_bennett_2025	93.0	41.1	"""Mission hour major third value star; Many very 	 Woman never get someone list different"""
grace_brown_3532	76.0	84.1	"""State defense drug	 Middle chance president where Officer article bit miss"""
bradley_adams_6244	70.0	22.1	"""Parent I our capital program	 Skin Soldier agree effect around yeah special"""
katherine_wilkins_0116	79.0	48.1	"""Baby beat air	 Change conference You hundred"""
gordon_owens_8430	64.0	56.1	"""Note: Morning at	 then Land so"""
tracey_owen_3110	27.0		"""Note: North fire	 then Gas ago both"""
