username;name;total_count;note
robert_adams_3367;Robert Adams;68.0;"""Analysis mission kind item: Conference no policy career; Strategy health"""
eric_davis_5558;Eric Davis;20.0;"""Reveal government manager; Data outside appear performance PM ; Charge"""
terry_smith_5947;Terry Smith;87.0;"""Note: Wife director dog if; then Phone"""
julie_black_4477;Julie Black;97.0;"""(Information age door sister cell) ; Drop strong use and Understand service"""
joseph_guerrero_5672;Joseph Guerrero;10.0;"""Against market design onto sit; White just turn ; Up live since"""
linda_cummings_5947;Linda Cummings;85.0;"""Western investment ball speak: Son former attorney; Age some marriage how"""
kimberly_brown_8266;Kimberly Brown;88.0;"""Thought; East Evidence"""
heidi_garcia_3405;Heidi Garcia;53.0;"""(Provide run) ; Bill east class stuff medical will and Yard"""
thomas_harris_6346;Thomas Harris;75.0;"""Marriage perform; Wait recent main ; Matter"""
raymond_dominguez_3700;Raymond Dominguez;22.0;"""Simply; Tell Feel country issue total feel"""
brian_mcdonald_1804;Brian Mcdonald;83.0;"""Sport speak feeling; Professional wind market yourself laugh ; Respond six value"""
robert_webb_7323;Robert Webb;42.0;"""Occur: Popular particular free hospital; Occur color pass city kind"""
robert_young_3065;Robert Young;52.0;"""Write peace know; Mrs short onto attack Rock form plant mission action"""
brandi_brown_7580;Brandi Brown;36.0;"""Nation science require; Success question great floor ; As usually eat check if"""
ashley_baker_4447;Ashley Baker;87.0;"""Design significant; Traditional tough day store Enjoy require dark fill he develop"""
brent_sampson_0732;Brent Sampson;37.0;"""Call quickly however growth; Just keep hospital Civil government"""
maria_suarez_3447;Maria Suarez;26.0;"""Note: Follow left apply; then Movie finish million your true"""
anthony_vazquez_0486;Anthony Vazquez;54.0;"""(Bed common) ; Picture and Without visit ago short against"""
evelyn_arellano_1459;Evelyn Arellano;91.0;"""(Child else determine common lot) ; Guess development Mrs and There line national main worry"""
brian_mahoney_9822;Brian Mahoney;40.0;"""Us popular; Health join Win"""
aaron_norman_3368;Aaron Norman;38.0;"""Answer reality; List apply ; Country record"""
kenneth_richardson_1216;Kenneth Richardson;81.0;"""(Voice) ; Yourself serious and Hotel health open"""
marcus_johnson_9738;Marcus Johnson;13.0;"""Development size analysis; Government kitchen outside ; Respond none"""
amy_murphy_0762;Amy Murphy;12.0;"""National particular bad only possible: Trial think; Him a"""
tina_carr_4578;Tina Carr;39.0;"""Note: Child how operation; then Rather"""
sara_wright_5851;Sara Wright;21.0;"""Note: Today process player; then Crime quality"""
francisco_md_9874;Francisco Todd MD;14.0;"""Note: Down hot; then Ten answer manage raise develop including"""
kim_rich_3406;Kim Rich;14.0;"""Season entire general lose mission yet; Whom Stop"""
robyn_may_8950;Robyn May;72.0;"""Stay sit decade project; Ready week moment brother continue Course play note her"""
robert_mitchell_8732;Robert Mitchell;39.0;"""Training capital start; Drug task ; Suggest box still"""
angelica_collins_7752;Angelica Collins;87.0;"""(House affect effort) ; This and Interest evidence"""
hayley_griffin_4414;Hayley Griffin;13.0;"""Note: Try both; then Rather only Democrat number popular"""
kelsey_nicholson_1771;Kelsey Nicholson;49.0;"""(Might than) ; Southern and Meeting report"""
felicia_wolf_4393;e;34.0;"""Choice rate; Agent protect base ; Real people operation"""
kathryn_wright_7690;Kathryn Wright;5.0;"""Successful avoid board fish himself yard; On ; Oil image glass"""
elizabeth_beck_5897;Elizabeth Beck;;"""Wide; Man avoid find skin technology ; Cost"""
angela_luna_8376;Angela Luna;59.0;"""Note: Concern that behavior officer; then Vote quickly father coach sound part"""
michelle_lopez_3288;Michelle Lopez;66.0;"""Firm us worker property; Walk include Identify over"""
scott_howard_1083;Scott Howard;29.0;"""Note: Mr defense hundred dark; then Improve speech born"""
stephanie_estes_7773;Stephanie Estes;88.0;"""(General design couple present step maybe) ; Tough character and Simply factor head imagine"""
carol_leblanc_7413;Carol Leblanc;89.0;"""Plan well; Culture drive plan ; Free let"""
randy_stone_3579;Randy Stone;95.0;"""(Who environment serious) ; How fight actually state and Resource activity"""
paul_harris_2695;Paul Harris;14.0;"""(White food politics song for) ; Well stay produce and Nature"""
