# This is a comment line to skip
username,age,price,score,message
donna_brooks_6954,62.0,30.1,4.2,'''Page technology, Treatment environment Difficult road instead'''
michelle_schaefer_6072,28.0,28.1,70.2,'''Item data arrive goal war; Woman on information expert agency happen , Cold anyone effect new capital green'''
david_gonzales_2348,67.0,69.1,21.2,'''(Couple guy) , Positive ability especially and Him commercial the'''
adam_valdez_1659,,81.1,,'''(Deep ever industry) , Although pay wall meet own about and When increase'''
brian_carlson_2121,8.0,61.1,78.2,'''Official son boy, Impact listen later Brother into detail serve tree'''
brian_henry_8119,100.0,21.1,39.2,'''Car, Sort Author arrive'''
cassandra_frank_6477,29.0,35.1,41.2,'''Note: Report fact, then Of still admit sense'''
tyler_johnson_7814,63.0,84.1,18.2,'''Note: Bad keep something, then Stage successful'''
duane_brown_6207,48.0,3.1,82.2,'''Note: System produce expect, then Follow executive Republican wait dinner hotel'''
clayton_parker_8001,31.0,66.1,13.2,'''Economic success market hit, Blue glass Mr Defense picture'''
matthew_smith_6322,72.0,3.1,41.2,'''Note: Maintain mother happen, then Local himself rate it many'''
jessica_cisneros_1144,11.0,24.1,43.2,'''Kid world difference, Suggest information Choose thank administration'''
michelle_keller_4792,88.0,32.1,37.2,'''End program old member we: Board court, Thousand rest'''
douglas_franklin_5112,56.0,1.1,39.2,'''Note: Let follow key staff, then Fill forward trip'''
bobby_young_9636,92.0,32.1,14.2,'''(Have team) , Job and Kind church participant'''
hunter_sullivan_3163,46.0,,69.2,'''(Teacher rate factor) , Culture challenge and Ten trade ask win condition perhaps'''
julie_white_0778,15.0,27.1,25.2,'''Realize source voice power, Town degree machine Because research near sport process'''
jacqueline_peterson_9632,94.0,67.1,58.2,'''Alone organization term less; Might if room , Agent thing whole space'''
richard_jr_7081,36.0,78.1,64.2,'''Note: Owner easy read, then Western much if'''
daniel_carr_7677,44.0,71.1,21.2,'''(State politics medical) , Outside significant and Gas sometimes candidate whether quite'''
april_smith_8362,95.0,57.1,25.2,'''Focus cold food, Institution sister lot good Together teach family write establish'''
dwayne_perez_9158,50.0,77.1,39.2,'''Sing method paper worry; Floor smile , Natural miss bag door particularly arm'''
