# This is a comment line to skip
name,price,age,rating,remark
Amy Brown,16.0,48.1,,'''Note: Particular both section bring, then Few'''
Lisa Martin,66.0,10.1,10.2,'''Note: Each want standard suggest experience, then Top person mission'''
Jenna Bautista,84.0,59.1,64.2,'''Wind soon mission: Very tell win, Where item report'''
Joseph Moon,18.0,89.1,5.2,'''(None act) , Down call major very and Including give fire land'''
Sherry Forbes,14.0,20.1,40.2,'''(Rise art standard lose) , Lawyer experience account and Summer site nothing'''
Christopher Hale,91.0,32.1,45.2,'''Protect; Why , Ground business early'''
John Hughes,94.0,67.1,61.2,'''Contain nearly kitchen, Member light rich everybody get Again act treatment read about'''
Rebecca Baker,78.0,45.1,93.2,'''Audience: Everybody tax, Want paper girl art mother'''
Chad Thornton,96.0,99.1,11.2,'''Likely important door visit picture: Bring black recognize unit whether, Off create'''
Melody Raymond,73.0,63.1,81.2,'''Especially share marriage feeling, Threat Clearly power forward follow realize set'''
Renee Alvarado,56.0,13.1,22.2,'''Food knowledge cut; Peace those , Walk them these instead'''
Victor Davis,56.0,83.1,64.2,'''These crime tough brother, Girl half report add worry Strategy food affect deal'''
Elizabeth Acevedo,16.0,8.1,31.2,'''Candidate machine, Right stage Together important'''
Joseph Myers,84.0,45.1,50.2,'''Note: Through level, then Defense how draw'''
Mrs. Desiree Cooper MD,11.0,68.1,99.2,'''Phone stock feeling another responsibility, Son Like eat such'''
Stephen Garcia,33.0,75.1,23.2,'''Commercial challenge remember: Whom away, Billion son'''
Jack Jackson,74.0,77.1,31.2,'''Note: Present father, then Buy do represent'''
e,24.0,48.1,58.2,'''(Involve) , Try provide and Certainly before campaign'''
Brian Mann MD,81.0,23.1,24.2,'''Note: World it during organization, then If woman whatever situation real'''
Ian Lane,79.0,17.1,87.2,'''Star woman: Light fast him measure white, Art majority society'''
Jordan Ross,8.0,54.1,85.2,'''Note: Set, then Close'''
Michael Torres,28.0,41.1,91.2,'''Perhaps same than type quickly safe: Should arm ability certainly kitchen, Star ok or'''
Paige Lin,26.0,91.1,52.2,'''Item upon: Mention foot perhaps, By'''
Benjamin Holland,44.0,34.1,9.2,'''Avoid answer line officer anyone: House I, Scene provide'''
Jason Mccall,3.0,39.1,67.2,'''Such spend: Power game, Bad develop'''
David Wheeler,73.0,14.1,85.2,'''Civil popular however citizen: About major education, Others west certain'''
Oscar Bautista,56.0,30.1,79.2,'''Generation ten paper fact: Generation few stop explain long more, As rock'''
Yolanda Stout,100.0,34.1,42.2,'''(Opportunity indeed group ten) , Five and Next room'''
Laura Davis,51.0,61.1,36.2,'''Note: Place number serve effort certain, then Worry check person'''
Mr. Mark Reyes MD,34.0,83.1,95.2,'''Indeed later man; Ground turn her , Accept catch mention'''
Mckenzie Dorsey,30.0,88.1,30.2,'''(Guess just million play ground) , Tend and Purpose soldier but'''
Sherri Kelly,91.0,16.1,80.2,'''Note: Sometimes, then Level unit age front purpose from'''
Brian Williams,17.0,,7.2,'''Note: Brother gun group, then Still lead campaign military blue practice'''
Jimmy Donovan,23.0,70.1,38.2,'''Note: Season up, then Else'''
Danielle Knapp,55.0,21.1,82.2,'''Maintain; Involve , Billion do call walk'''
Cindy King,90.0,82.1,83.2,'''Look discuss thousand: Positive, Visit drive song'''
Christopher Holland,21.0,24.1,60.2,'''Process see among sure cup: Itself, Help country bar listen professional hand'''
Monique Jones,10.0,70.1,49.2,'''Note: Season write issue involve, then Help entire quality education'''
Alexandra Ferguson,62.0,66.1,28.2,'''No operation second, Financial Defense wear'''
Charles Espinoza,53.0,45.1,81.2,'''Note: Standard, then Outside'''
Theresa Moore,5.0,57.1,39.2,'''Everybody impact war; Fly call significant , Over sort agreement its table trade'''
Melissa Hubbard,15.0,5.1,47.2,'''Note: Reason prove, then People'''
Debra Benson,,49.1,85.2,'''Note: Kitchen behavior, then Management position worker decision'''
