name	salary	remark
Joshua Cuevas	45.0	'''Level	 Experience whom Grow gas can concern kid'''
Lauren Clarke	3.0	'''(Season more) 	 Explain top none opportunity and Part create'''
Reginald Taylor	70.0	'''People trial; Almost run 	 Real'''
Kyle Howard	83.0	'''(Continue) 	 Debate and Ready type beyond'''
William Nelson	94.0	'''Hot decade board sense have; Like organization plan give 	 Plant'''
Katherine Roberts	23.0	'''Consumer director call	 Tend fast Within me recognize focus ask'''
Karen Sanchez	67.0	'''Style hot	 Language short put form do Sense weight myself'''
Matthew Jones	4.0	'''Social begin against; Himself generation street coach 	 Your dark'''
Adam Sullivan	62.0	'''Seat arrive	 Ok responsibility Loss pay'''
Stephen Fox	55.0	'''Note: Seven will PM	 then Sing'''
A	50.0	'''Note: Lawyer fund morning everyone protect	 then Fear top he site project figure'''
Kevin Ayers	74.0	'''Note: South	 then Worry manage base station nearly significant'''
Anthony Johnson	63.0	'''Material	 Whom act Difference if build whatever'''
Michael Weiss	79.0	'''Significant land traditional ok cut	 Congress add parent worry even Determine agreement concern'''
Jeffrey Martinez	52.0	'''Direction another particular mention concern drop: Attack surface	 Product cost tree day price'''
Chad Jones	91.0	'''(Check) 	 Address end and Look'''
Bradley Juarez	55.0	'''Reason	 Option mission Almost bill protect local'''
Jeffrey Marshall	51.0	'''Important science; Raise situation future democratic evening outside 	 Cold'''
Elizabeth Ramirez	9.0	'''Mention condition watch close	 Hit building medical Car modern'''
Jordan Wolfe	73.0	'''Note: International yourself	 then Rise month magazine'''
Richard Evans	64.0	'''Note: Structure lot behavior strategy	 then Control receive'''
Sarah Gonzalez	15.0	'''Local party environment short; Plan happen 	 Manager black choice at without strategy'''
Paul Warner	49.0	'''Save away opportunity: None well remember	 I every'''
Jill Hodges	76.0	'''Pretty should smile; Agency now century cause ability 	 Drive job wonder front open'''
Mark Foster	94.0	'''With tough including; Current deal 	 Discussion professional'''
Wendy Drake	82.0	'''Check cut affect church end: Test dinner scientist if	 East'''
Michael Gilbert	96.0	'''Note: Away raise financial	 then Face movie responsibility'''
Dustin Jones	51.0	'''There voice morning picture conference option; Tree pay 	 If form visit'''
Roberto Cantu		'''Factor police; Stand ever herself 	 Hotel'''
Nancy Arnold	70.0	'''Note: Answer son understand into appear	 then Bank'''
Christopher Bradford	93.0	'''(Officer according we room day own) 	 Attorney gun dinner magazine and Education despite wide woman'''
Justin Carter	67.0	'''Cut they own face wind; Catch themselves recognize 	 Learn pick'''
Gail Lopez	77.0	'''Business people; Writer 	 Teach everyone various'''
Marcus Hartman	3.0	'''Treat institution: Call well enjoy care	 Control service teacher bank deal poor'''
