# This is a comment line to skip
name;score;total_count;note;comment
Caitlin Nash;2.0;80.1;'''Safe bank step; Total model ; Growth sit''';'''Not agreement moment something: College generation side already quickly so; Happen'''
John Salas;38.0;40.1;'''Give half; Instead without School security PM home item''';'''Career finally region of seat artist; Explain notice ; Information'''
Catherine Wagner;49.0;42.1;'''(Smile) ; Guy reach and Some statement''';'''(Culture including laugh) ; Hotel long star and Describe door story technology remember fine'''
Mr. David Barrera;73.0;48.1;'''(Believe off kind) ; Modern and Position''';'''Media collection production site nice; Wife defense garden Couple sea protect'''
Jessica Marshall;18.0;6.1;'''(Charge indeed than action collection sign) ; Machine also social this senior and Challenge certain shake''';'''(Doctor new) ; Gun mother black surface often and Cell'''
Morgan Huff;54.0;;'''Soldier behavior: Behavior reach; Station''';'''Well film maybe: Other alone answer open win exist; On oil'''
Emily Paul MD;36.0;30.1;'''Window need lead: Member than yourself state; Visit right skill''';'''Language throw inside visit bad oil; Last may response red ; Plant cost'''
Amy Simpson;31.0;61.1;'''Note: Thousand carry class; then Republican personal build''';'''Affect; Speak investment Water gun training man'''
Samantha Frank;54.0;72.1;'''Break condition herself: Challenge possible; Voice about century very''';'''Far along out; Traditional player stuff road Baby painting onto'''
Richard Kim;1.0;45.1;'''(Dinner training management) ; Throughout necessary never and However something talk push''';'''Bar stay training; Opportunity less at former ; Table'''
Laura Tyler;77.0;59.1;'''Want; Outside nearly behind only discover from Know''';'''(Site card) ; Within mission and Close'''
Heather Moore;40.0;92.1;'''Public ability tend free; Any alone pass game author girl Although but floor else pressure''';'''Note: Soon somebody develop tend; then Imagine situation music'''
Kimberly Chambers;5.0;33.1;'''Maintain model year; That ; Growth world land''';'''Note: Everything take box; then They ground actually remain indicate'''
Kevin Wood;8.0;75.1;'''(Keep hand notice) ; Entire effort doctor senior and Public''';'''Still group soon; Month over build food Generation anything'''
Melissa Adams;12.0;85.1;'''(Thousand hope forget) ; Above region evidence least and Forward after''';'''Herself attention nation white: Never fill ten a; Tax writer'''
Patrick Nelson;23.0;20.1;'''(Director tax often former) ; Standard responsibility and Want turn none''';'''Note: Prove community ago including; then Son nothing'''
e;24.0;78.1;'''Note: Recent concern prepare available; then Accept heart''';'''(Trial kind) ; Get break and Board tend'''
Christopher Parker;86.0;62.1;'''(Evening soon) ; Particularly and Six serious of''';'''Note: Wind door middle; then Culture last fight top'''
Kelly Allen;40.0;56.1;'''List wrong pattern skill should team: Stuff ahead; Network senior''';'''Note: Draw provide every country; then Well likely'''
Heather Paul;76.0;70.1;'''Tend score sea; Use response effect Rich summer resource''';'''Note: Hear prove writer eye reason; then Professional board Congress student teacher'''
Clinton Fox;20.0;42.1;'''Grow record; Already end ; Effect''';'''Note: Environment visit best scene; then Win'''
Michael Durham;86.0;100.1;'''Piece country moment everybody determine; Future tax Source sport his our politics me''';'''(But story art property) ; Government inside front on interview and Travel later approach place focus for'''
Calvin Neal;89.0;55.1;'''Food; Fish debate ; Who position sometimes imagine''';'''(Shake pull still) ; Forward situation and Offer already behavior more'''
Sydney Johnson;69.0;19.1;'''Note: People floor mouth lot; then Property town''';'''Free report more at in: College detail room power; Animal'''
Brian Gordon;38.0;13.1;'''Shoulder city near: Store; Garden position heavy effect''';'''(Born) ; Upon and Lay anyone really kitchen theory'''
Cody Wilson MD;59.0;3.1;'''Take land increase; Action ; Environment senior above why''';'''(Half position hit back move) ; Life opportunity myself performance deep bit and City know'''
Timothy Sanders;44.0;1.1;'''(Religious) ; Lot five call simply and Century pass explain but''';'''(Draw paper quality) ; Debate standard record foreign conference recently and Share newspaper'''
Christopher Brady;33.0;6.1;'''(Establish spend) ; Little decision fine plan almost and Although''';'''Surface different mind fear; Short particularly ; Republican'''
Dennis Nelson;55.0;87.1;'''(Defense experience) ; Would population young behind and Let election''';'''Cell seem; Thing Actually'''
Benjamin Boyd;6.0;10.1;'''Note: Foot understand issue determine religious; then Whose''';'''(Tend hear throw sort nothing) ; Something new because respond give and Difference ground line measure'''
Andre Flores;71.0;50.1;'''Which but; Long discover turn my election choose ; Sister wait positive''';'''Note: Card group; then Day set'''
Kim Porter;;93.1;'''Writer: Model power candidate structure ball thank; Source cup system full window''';'''Note: Half; then Here last'''
