# This is a comment line to skip
name;username;score;age;total_count;note
Jennifer Perez;jennifer_perez_6148;64.0;99.1;43.2;"""Catch near plant particular structure line; Nearly drive north ; Show rest"""
Paul Brown;paul_brown_2838;41.0;69.1;30.2;"""Family call; Thank her Wind first until"""
Laura Taylor;laura_taylor_4145;37.0;52.1;59.2;"""Carry sign major; Finish property million Quality effect since discover perform"""
Shannon Nelson;shannon_nelson_1342;36.0;93.1;21.2;"""Note: Car live poor; then Within play apply"""
Cory Proctor;cory_proctor_9426;3.0;24.1;11.2;"""Bar; Paper worry Final go"""
Leslie Mckee;leslie_mckee_3608;6.0;;24.2;"""(Threat recently) ; Share and Decision card she"""
Bradley Nguyen;bradley_nguyen_8074;42.0;45.1;17.2;"""Protect important myself; Various almost then much skin Charge two carry"""
Anna Beltran PhD;anna_phd_4429;29.0;55.1;69.2;"""Be church writer keep perform; Relate statement class Executive power media"""
 ;joel_mitchell_7225;92.0;85.1;64.2;"""Note: Perhaps agree discover; then Position young peace"""
Sarah Allen;sarah_allen_2270;55.0;56.1;70.2;"""Month her: Opportunity do; Size magazine court prevent miss plan"""
Michael Duncan;michael_duncan_3975;13.0;82.1;84.2;"""Happy senior: Area eight ten police save describe; Southern deal"""
Anthony Carey;anthony_carey_1395;90.0;84.1;8.2;"""Republican east man reality; Strategy really live letter Response"""
Bryan Garner;bryan_garner_3812;46.0;85.1;20.2;"""Environment avoid itself; Money single ; Least reason relationship thought instead"""
Ray Taylor;ray_taylor_1672;35.0;98.1;73.2;"""(Student office or) ; Person off dog and Option computer north herself"""
Valerie Fowler;valerie_fowler_1880;23.0;42.1;91.2;"""Note: Citizen agree what; then Beyond guy her three water"""
Jon Smith;jon_smith_4545;52.0;17.1;45.2;"""Perhaps report while light win: Next; Pull bill industry growth"""
Corey Gilbert;corey_gilbert_9336;21.0;70.1;46.2;"""Upon rather right base; City say deal air kind Of by show"""
Nicholas Hurst;nicholas_hurst_2592;94.0;33.1;22.2;"""Other he: Exactly billion security; After my increase"""
Mark Hernandez;mark_hernandez_5463;92.0;27.1;22.2;"""Note: Own experience; then Wait table"""
Michael Melendez;michael_melendez_3836;29.0;99.1;66.2;"""(Since network look) ; Yes and Successful name those"""
Andrew Edwards;andrew_edwards_6353;91.0;36.1;87.2;"""Note: First small approach according economic story serious; then Serve prove"""
Deborah Kramer;deborah_kramer_6066;10.0;3.1;83.2;"""Business plant: Investment adult; Page"""
Kevin Powell;kevin_powell_5668;;28.1;63.2;"""Later true include; Them sound long whose ; Board ten fast she brother"""
Laura Gonzalez;laura_gonzalez_0461;85.0;48.1;20.2;"""Couple line mother: Special culture however; Somebody environment evening"""
Brian Rhodes MD;brian_md_3578;32.0;53.1;24.2;"""Note: Source; then Space manage nice between foot"""
Heidi Miranda;heidi_miranda_5202;78.0;53.1;44.2;"""(Simply people) ; Day when perhaps and Ball individual feeling management leg"""
Mike Rogers;mike_rogers_0905;32.0;39.1;79.2;"""Customer scientist; Yourself yard identify stage Forward may not"""
Cody Rivas;cody_rivas_3963;96.0;16.1;100.2;"""Suddenly special: Red direction same; Start feeling soldier"""
Kimberly Benitez;kimberly_benitez_3892;49.0;21.1;47.2;"""Note: Gun arrive customer author hotel; then Even school trade"""
Cynthia Brown;cynthia_brown_8036;83.0;90.1;79.2;"""Want item focus; Until force whole herself ; Follow"""
Christina Gallagher;christina_gallagher_2671;82.0;55.1;80.2;"""Note: Record job administration late; then We attention give"""
Jared Gonzalez;jared_gonzalez_5796;40.0;64.1;73.2;"""Begin agent outside: Respond director machine size necessary; Play"""
Tina Page;tina_page_8269;62.0;90.1;89.2;"""Close never worker; News measure Pattern adult soldier"""
Isabel Chavez;isabel_chavez_2913;31.0;26.1;93.2;"""Movie force week person movement; Partner rest serious Against bed"""
Cheryl Deleon;cheryl_deleon_3716;29.0;67.1;28.2;"""(Marriage research throw character) ; Congress develop piece and Pressure about"""
Ronald Summers;ronald_summers_3368;83.0;85.1;;"""Value; Democrat Protect pull old kind year"""
Danny Campbell;danny_campbell_6518;13.0;89.1;99.2;"""Next music could nature modern science; View daughter next mention name Couple at"""
Ryan Allison;ryan_allison_3313;18.0;58.1;7.2;"""Simply study seem half factor; Down such expert Participant future compare travel"""
Steven Sullivan;steven_sullivan_4391;36.0;91.1;33.2;"""Note: Front talk little; then Position sit property party some plan"""
Jacqueline Navarro;jacqueline_navarro_2678;5.0;46.1;57.2;"""Large size player: Early voice still; Region product"""
Andrew Young;andrew_young_1368;88.0;44.1;69.2;"""Note: Poor; then Defense"""
Robert Dawson;robert_dawson_5907;23.0;92.1;70.2;"""From collection production personal west; Return stay poor Politics development lose"""
Pamela Morris;pamela_morris_7097;85.0;59.1;35.2;"""Note: My would alone; then Three serve east everyone"""
