name	salary	summary	note
Edward Miller	23.0	"""Sense not conference: Religious reality outside deal four of	 Meet maintain"""	"""Other unit; Let add order 	 More"""
Kyle Giles	60.0	"""Impact teacher collection	 Whole because One yes capital phone crime wish hope"""	"""Attorney: Tend ability money	 Various"""
Jeffrey Moore	86.0	"""(Way Congress) 	 Real should work and Event coach sure"""	"""Note: Claim	 then Account consumer lose also low floor"""
Anthony Woods	66.0	"""Among leg appear station check	 Policy because away your face Point whose section audience heavy"""	"""(Middle enjoy less ahead) 	 He and Everything part tell"""
Keith Scott	89.0	"""Note: Rich keep federal find herself	 then Only contain hand"""	"""(Visit early) 	 Amount democratic this and Wall many"""
Kathryn Smith	6.0	"""Note: Money military film hold piece enough	 then Already my foot"""	"""Kitchen our enjoy; Personal nothing why 	 Hundred"""
Cody Turner	26.0	"""Together might although bar political: Old gun mean door organization	 Report"""	"""Note: Born else Congress middle	 then Put environment any example eye"""
Debra Wilkins	93.0	"""Know carry administration; Six watch until whose 	 Sign necessary whether stop"""	"""These doctor recent tonight whose little; Message much skin 	 High market hold defense ready"""
John Ward	87.0	"""Establish yeah; Purpose staff artist 	 Red"""	"""Sure	 Choice Conference available up trade front mention"""
Tiffany Miller	87.0	"""Why natural city the	 Leg control style Source floor end"""	"""Improve discuss; Between on 	 Article and town whatever model different"""
Tracy Cochran	91.0	"""Painting; Coach agent music family hair 	 Whether indicate around"""	"""Sound coach: Significant hold	 Wait Congress past least"""
Sarah Bell	69.0	"""Throw mission; Care during detail 	 More me"""	"""Note: Down since	 then Turn think teach it"""
Corey Patel	32.0	"""Theory perform church discussion; Wide up agree to sing 	 Form"""	"""At land; Next suddenly baby set 	 Power well"""
Annette Pittman	96.0	"""Note: Share act	 then Later itself"""	"""Note: Sea west stuff attention	 then Note smile race best"""
Kimberly Davis	92.0	"""Option apply	 By partner serve Partner chance behind find game"""	"""(Matter TV back where later) 	 Series yard and Difficult risk third down commercial"""
Thomas Taylor	6.0	"""Money like: Its threat though step age	 Character sign join writer about able"""	"""Necessary system thousand fact agent	 Direction Now city forward draw"""
Michael Wallace	87.0	"""(Work religious) 	 Direction and Body during"""	"""Picture service fine: Usually	 Card hour might"""
John James	26.0	"""Effect democratic	 Bag produce Subject civil"""	"""(Officer stay since animal often to) 	 Close and Low third"""
Lee Coleman	54.0	"""Note: Main themselves edge	 then Field sing speak least road result"""	"""Institution reach catch	 Local floor Include phone"""
 	2.0	"""Evidence; Claim send fine season 	 Man get number scientist"""	"""Garden simply civil; Their account policy sell after 	 Raise play"""
Steve Ray	4.0	"""(Chair officer institution) 	 Something property Republican and Democrat result effort"""	"""(Interesting right age) 	 World sort great piece method none and Success on job line"""
Jorge Valdez	49.0	"""(Quality everyone natural) 	 During crime pass and Event hospital"""	"""Talk air	 Spend movement give look far Expert entire probably thought music small"""
Justin Lopez	16.0	"""(House coach check for away activity) 	 Soon base write and Watch deep deal"""	"""Character: Right same public affect maintain	 Full market although pretty camera"""
John Gonzalez	80.0	"""Region company much: Rise actually court risk able	 Her health"""	"""Note: Industry option similar science	 then Military bring particular use yourself"""
Nancy Joseph	60.0	"""(Alone how system work resource) 	 Around law and Near last any"""	"""Environmental; Choose arm finish bit popular 	 Book discover wonder various"""
Nicole Watkins		"""Half four American indicate: Manager message measure	 Focus popular also bar kitchen"""	"""Note: Our group air reach so share	 then Range provide quite"""
Kara Fisher	2.0	"""(Sure teacher) 	 Record as and Indeed once will set better some"""	"""Concern local fire court eat society: Future night several prevent	 Final specific approach"""
Erin Hardin	34.0	"""Conference east; City factor home 	 Attack staff involve"""	"""(Political health even) 	 Republican those seem about item computer and Story instead live statement"""
Stephanie Ortega	12.0	"""We watch; Prove 	 Or kitchen"""	"""Note: Perhaps	 then Doctor process across situation probably"""
Rhonda Washington	59.0	"""(Break week) 	 Where song and Would stuff establish dog it"""	"""(Wish type) 	 Citizen must interview heart care and They time amount lead someone"""
Nicole Hester	80.0	"""You because: President coach add group benefit	 Stay ago"""	"""Sound respond: Identify thank picture	 Soldier sit imagine nearly"""
Christine Brown	71.0	"""Note: Short reflect might car true	 then Deep"""	"""Positive during building dark; Produce away program 	 Box customer coach woman"""
Gabriel Boyer	40.0	"""Anything on policy; Improve past determine 	 Possible interesting air woman science general"""	"""Through; Energy citizen executive 	 Station view"""
Sean Foster	20.0	"""Box eye really cell; Forget 	 Guess especially consider dinner"""	"""Environment response affect: President	 Perhaps organization"""
Jeffery Bishop	62.0	"""(Red spring) 	 Hospital down and Television reduce"""	"""Chair good court inside	 If Tend each education"""
Jesus Mills	51.0	"""Note: Can federal think friend	 then Suggest stop fire several development yourself"""	"""Movement rate alone list market	 Available Walk force financial"""
Lance Smith DDS	58.0	"""(Place threat) 	 Skin and Sign gun on"""	"""Single rich quite provide them; Century fact interesting forward 	 International perform long put"""
Shannon Brown	91.0	"""Far account: Expect industry	 Him them"""	"""Note: Race they form moment bill road	 then Physical sense watch skin player"""
Debbie Jefferson	88.0	"""Front law: Pay side week	 Example game upon sense answer"""	"""Safe morning quality	 Happy even wife City want"""
Anthony Rivera	71.0	"""Direction into body serious successful event	 Organization Natural social receive issue environmental wall"""	"""Kitchen few we heart; Traditional smile 	 Knowledge"""
Michele Salazar	98.0	"""So TV	 Goal Main green style agency stuff"""	"""(According eat trip) 	 We style ball food role section and Provide pay"""
