name,username,price,remark
Frank Clarke,frank_clarke_3497,40.0,'''Necessitatibus reiciendis cumque sequi quas maxime, Necessitatibus consectetur Quaerat at'''
Dr Rachael Rice,dr_rice_6805,10.0,'''Sapiente; Maxime , Ratione ex quisquam neque'''
Alan Williams,alan_williams_3318,60.0,'''Note: Dolore saepe magnam optio, then Veritatis repellat'''
Tina Lewis,tina_lewis_5529,12.0,'''Note: Assumenda tenetur ipsam blanditiis nihil, then Dignissimos similique facere molestias tempore maiores'''
Hugh Frost,hugh_frost_1122,80.0,'''Note: Quibusdam deserunt cumque, then Sunt possimus illum iste vero'''
Dr Harry Holden,dr_holden_5762,17.0,'''Ex possimus ullam, Sequi ea Exercitationem blanditiis pariatur modi suscipit'''
Lauren Thompson-Hughes,lauren_hughes_0376,37.0,'''Note: Voluptatum, then Accusantium expedita eaque'''
Ms Zoe Marsh,ms_marsh_3104,7.0,'''Aspernatur occaecati illo maiores; Tempora eveniet aut , Cupiditate dolorum vero soluta'''
Vanessa Jones,vanessa_jones_1279,27.0,'''Note: Quos, then Accusamus exercitationem eos laudantium'''
Dr Philip Burton,dr_burton_1701,62.0,'''Culpa quia non: Similique perferendis libero incidunt, Id consequuntur eos'''
Barry Stewart,barry_stewart_4858,30.0,'''Note: A corporis explicabo praesentium non, then Saepe nemo corporis eveniet'''
Mr Leon Ingram,mr_ingram_6505,1.0,'''Totam consectetur, Voluptatibus beatae esse occaecati ab Numquam porro'''
Dr Terence Lees,dr_lees_7575,44.0,'''Note: Ducimus, then Et necessitatibus officia velit'''
Mitchell Barton,mitchell_barton_6980,7.0,'''Quas reprehenderit laudantium dolorem; Cum nobis , Doloribus corporis molestias'''
Dr Shaun Wright,dr_wright_6661,63.0,'''(Veritatis vel optio ut debitis vitae) , Harum reiciendis quo voluptatem and Quas architecto'''
Donald Lewis,donald_lewis_9152,7.0,'''Molestiae adipisci ab; Doloremque , Enim repellendus'''
Raymond Skinner,raymond_skinner_9538,21.0,'''Culpa, Illo perferendis doloribus esse eius Nesciunt laborum facilis'''
Dr Antony Smith,dr_smith_3769,66.0,'''Note: Nam corrupti dignissimos, then Doloribus corrupti tenetur unde omnis'''
Dr Peter Harrison,dr_harrison_5317,99.0,'''Note: Animi id, then Itaque accusantium ad sit itaque'''
e,gerald_brooks_6536,10.0,'''Note: Minus enim, then Reiciendis repellat'''
Gail Kelly,gail_kelly_2035,62.0,'''Dignissimos nam corrupti excepturi ullam cupiditate, Facere voluptate maxime modi suscipit culpa Corporis error'''
Francesca Robinson-Jones,francesca_jones_7302,24.0,'''Laboriosam: Adipisci excepturi labore quibusdam, Error architecto voluptates modi'''
Mr Glenn Rhodes,mr_rhodes_5049,48.0,'''Note: Provident aliquid optio natus, then Dolor saepe inventore omnis impedit'''
Mrs Georgina Kelly,mrs_kelly_5512,,'''(Optio expedita eligendi) , Odio est aspernatur recusandae and Architecto'''
Mr Vincent Hardy,mr_hardy_2824,94.0,'''Repellendus reiciendis; Et , Eum minus'''
Mr Derek Gallagher,mr_gallagher_2815,57.0,'''Note: Veniam id, then Consequuntur tempore'''
