# This is a comment line to skip
username,name,price,summary
eric_ross_3163,Eric Ross,40.0,"""Form from: One, Catch when later anything ball central"""
peter_brady_0402,Peter Brady,32.0,"""Note: Different, then Senior compare say himself around ever"""
daniel_lopez_8849,Daniel Lopez,6.0,"""Party, Money son Rate whom chair course mother gun"""
donald_flores_0096,Donald Flores,70.0,"""Note: Difficult staff few whose, then Matter garden of add society and"""
katherine_sims_7178,Katherine Sims,88.0,"""Most enjoy, Listen sure Rise official"""
mark_nichols_4112,Mark Nichols,,"""Tend charge local star; Long , Position oil wait threat"""
matthew_jimenez_5329,Matthew Jimenez,68.0,"""Note: To science, then Exactly public fund medical at"""
earl_flores_4988,e,61.0,"""Wish, Debate finally whom direction Cause true list hotel turn shoulder"""
angel_fisher_0637,Angel Fisher,63.0,"""Vote little, Life investment Anything cold summer"""
isaiah_daniels_4205,Isaiah Daniels,90.0,"""Forget election: Before decade series, Court dinner send food"""
cheryl_salazar_8704,Cheryl Salazar,98.0,"""Protect continue leader move eat: Require business collection magazine, Yet safe even get now"""
ryan_hanson_9931,Ryan Hanson,62.0,"""(Remain read support majority) , This general and Girl country"""
chelsea_larson_6731,Chelsea Larson,36.0,"""Marriage movement; Without lose , Professor law"""
betty_cox_1637,Betty Cox,62.0,"""For choice energy table American; Especially catch far , Strategy party"""
travis_dawson_7387,Travis Dawson,41.0,"""(Student result once) , Western and That take door quickly"""
katherine_reynolds_2794,Katherine Reynolds,40.0,"""Suddenly beautiful cost moment: Hotel staff, On at report"""
rebecca_may_7303,Rebecca May,63.0,"""(Cell light) , Force student and Now half father"""
emily_dougherty_1621,Emily Dougherty,92.0,"""Chair: Enough include, Activity push company interest trade"""
anita_roberts_2305,Anita Roberts,44.0,"""Moment what ready important support simply; Understand form spend , Economic lose"""
emily_hunter_4335,Emily Hunter,59.0,"""Week evening important: Our focus wife, Response project"""
kelsey_holmes_3551,Kelsey Holmes,10.0,"""Note: Environmental under general though travel, then Far teacher example"""
