name;age;price;score;description;note
Miss Jayne Harris;49.0;57.1;91.2;'''Mollitia nulla voluptate: Voluptas dolorem; Necessitatibus inventore''';'''Note: Quos accusamus; then Amet enim autem'''
Barry Allen;5.0;82.1;50.2;'''Iusto officiis: Atque cumque; Ipsa soluta officiis''';'''Note: Sint excepturi aspernatur odio eos; then Quod totam'''
Grace Morris;65.0;6.1;97.2;'''(Commodi animi explicabo nobis cumque) ; Mollitia eos natus fugiat pariatur sunt debitis and Suscipit numquam illo''';'''Laboriosam iusto eos excepturi; Quod quidem ; At'''
Dr Edward Green;3.0;73.1;10.2;'''Sed amet sit cum: Delectus voluptatem natus nostrum; Cupiditate odit ducimus quo''';'''Nobis reprehenderit; Tempore minus cumque Nihil laudantium'''
Dr Clifford Jones;92.0;;38.2;'''Et debitis eaque dignissimos; Quas quia Alias cum non pariatur nostrum''';'''Accusantium rem iusto voluptatem; Cum aspernatur ; Expedita'''
Kyle Brown-Baker;37.0;26.1;61.2;'''Vel dolores: Officiis veniam; Iusto reprehenderit''';'''Incidunt beatae ipsum harum: Iste praesentium dolorem quisquam; Sunt voluptatem odio incidunt'''
Raymond Ahmed-Lloyd;84.0;26.1;2.2;'''Note: Debitis voluptatum delectus nesciunt; then Minus''';'''(Optio nulla inventore ipsa aliquid) ; Non repellendus voluptate and Dicta quia minus'''
Marian Walton-Johnson;81.0;24.1;;'''Quia; Ut expedita Ea voluptates doloremque doloremque''';'''Note: Quam veniam harum; then Hic quod dolor tenetur accusamus'''
Rachel Oliver;92.0;47.1;27.2;'''Note: Delectus esse; then Dicta dignissimos id natus''';'''Note: Alias incidunt at; then Natus molestias omnis'''
Rosie Wood;97.0;77.1;34.2;'''Note: Dicta molestias corrupti; then Odio autem modi''';'''Itaque nostrum numquam; Sit autem corrupti aspernatur Cumque nostrum iste'''
Kim Cameron;20.0;98.1;55.2;'''Dolore: Mollitia cumque; Facere dolores''';'''(Maxime incidunt consectetur quidem hic placeat) ; Nulla nostrum and Aliquam ea fugiat cupiditate iusto'''
Caroline White;65.0;88.1;97.2;'''(Optio nihil esse corrupti illum iste) ; Quidem cumque and Inventore alias''';'''Fuga cupiditate doloremque sed consequatur maiores; Iure suscipit suscipit dignissimos In a'''
Miss Wendy Jackson;24.0;23.1;61.2;'''Eveniet; Sapiente rerum Rem''';'''Animi: Omnis magnam suscipit incidunt; Illum'''
Charles Cameron;61.0;91.1;92.2;'''Note: Nihil illo in quod ab; then Aspernatur consectetur unde''';'''Qui atque provident at praesentium; Aliquam expedita ratione voluptatem dolor corrupti Amet'''
Rosie Hargreaves;63.0;64.1;24.2;'''Nam numquam similique modi voluptatem quisquam: Provident nesciunt eaque; Possimus''';'''Quidem nobis magni aut: Velit magni autem commodi; Tempore rem harum'''
D;70.0;36.1;46.2;'''Fuga in nisi; Temporibus velit consectetur ; Nisi dolorum fuga natus accusantium officiis''';'''Repellat doloribus architecto; Totam veniam assumenda est doloribus ; Adipisci'''
Mrs Amber Robinson;;3.1;48.2;'''Et dolorem cupiditate; Provident aliquid incidunt ; Odio possimus atque''';'''Note: Odit officiis; then Incidunt nobis quae'''
Miss Charlene Wall;40.0;45.1;36.2;'''Accusamus cupiditate tempore: Aliquid vero ducimus; Nihil''';'''Cupiditate blanditiis esse libero; Quia odio debitis illo nulla laudantium ; Voluptatem mollitia'''
Sharon Smart;27.0;84.1;48.2;'''(Illo dignissimos voluptatem sint) ; Quod sequi and Accusamus sed animi nostrum''';'''Velit: Ipsum odio; Adipisci recusandae aliquam quos'''
Eileen Whitehouse-Clarke;23.0;67.1;65.2;'''Non ex ut vero adipisci; Distinctio nisi repellendus Assumenda sapiente commodi''';'''Eius molestias: Quo adipisci consectetur; Cupiditate reprehenderit aspernatur iure expedita'''
Mrs Linda Smith;69.0;28.1;60.2;'''Et itaque architecto; Inventore dolor nobis ; Eius voluptate occaecati aut cumque earum''';'''Delectus; Consectetur error occaecati ; Consectetur impedit tenetur exercitationem expedita'''
Dr Irene Riley;64.0;4.1;62.2;'''(Nostrum facere soluta) ; Vero nihil and Quae libero enim ad''';'''Note: Cupiditate et iusto dolorum; then Ducimus similique error'''
