# This is a comment line to skip
username;total_count;salary;comment;summary
dana_bishop_7282;15.0;30.1;"""Range serve wide; Draw bar Despite big us believe""";"""(Plant amount health behavior) ; Look great attention eat and Congress"""
katelyn_huynh_5029;95.0;;"""Easy myself language believe world: Administration director; Fish student better power newspaper""";"""Shake radio; Blue arrive popular Speech research"""
carla_peterson_6764;25.0;98.1;"""More person effect; Just Scientist""";"""Sell indicate think morning throw: Much; Thus other clear language"""
michael_alvarez_1466;50.0;73.1;"""(Suffer join practice send make) ; Enjoy chair and Foreign cover perform attack need""";"""Trial administration: Financial; Great development"""
steven_wilson_9816;66.0;50.1;"""Meeting; Impact three dinner ; Order enough worker""";"""Tonight keep: Him; Arm"""
christopher_mcdonald_5275;72.0;23.1;"""Note: Hundred recently; then Management member right goal""";"""Opportunity civil there: Total myself job great; Large protect per wall opportunity"""
jonathan_holmes_8331;53.0;79.1;"""Note: Under close remember leader; then Physical training after""";"""Big; Ask personal bag ; Society guess"""
tyler_davis_6344;76.0;52.1;"""Note: President join; then Writer discuss professional""";"""Sound this: Teacher beautiful able necessary day; Wind take"""
jessica_richard_3124;9.0;79.1;"""(Require action start man author) ; Speak any discuss a and List suggest treatment""";"""Lay; Up such reality ; Big"""
mark_rivera_1494;22.0;61.1;"""Nothing its policy democratic daughter; Investment ability ; Consumer measure mission""";"""Note: Respond stuff no marriage account; then Imagine whole"""
brandon_mitchell_2903;35.0;60.1;"""News can town ten: Very someone table; Political""";"""Note: Team difference; then Sound"""
mrs_wood_1022;43.0;99.1;"""(Carry friend relationship establish at) ; Tonight safe less and The action our popular""";"""Letter world plan chance once north: Around girl film go; Agency order"""
karen_carter_9078;78.0;81.1;"""Economic sing some; Day story ; We no beat big movie""";"""Note: Far against; then Give too"""
amber_kelly_0802;;12.1;"""Imagine: Population hear; Ground this she""";"""Join trip: Could east; Its remember"""
dorothy_peters_4637;6.0;42.1;"""(Not) ; Piece think these study and Discussion everyone your""";"""Large; International truth Yes"""
danielle_morris_4428;85.0;47.1;"""Reason there evening wonder: Lawyer budget art; Real pull stuff""";"""(Medical trial seek) ; Bank and Under possible"""
ronnie_powell_4043;95.0;47.1;"""(Alone skill) ; Fund take drug and Each reduce""";"""Wear become; Card degree not memory ; Body music"""
david_wolf_0304;79.0;80.1;"""Recently minute; More eat ; Suggest""";"""Note: Technology score; then Ask high"""
olivia_miller_1175;57.0;42.1;"""(Seek two manager director pattern speech) ; Sense hit agreement worry and Soldier season now month""";"""Bill response account sit; Kid ; Pay blue property quite air"""
amanda_fernandez_3016;35.0;100.1;"""(Truth join year director smile) ; Everybody computer poor very and Capital""";"""Receive production: Off rest employee clear; Wide pay effort"""
tyler_estes_8754;91.0;25.1;"""What sense: None wrong where worry; Wear seem learn structure name""";"""Cup me provide result; Contain cold though want board Again guy"""
jesus_hood_3060;86.0;62.1;"""Resource health decade better stop rock: Rule same general response you; That eight and""";"""Note: Else rest well; then Quality trial"""
beth_dunlap_3716;88.0;19.1;"""Own; Cut partner ; Concern always""";"""(Girl doctor move) ; Service trial not and Design blood"""
jeffery_chen_7352;10.0;66.1;"""Development; Gun sell act account ; Edge economic firm""";"""Stay low tree: Chance support; Music who"""
nicholas_caldwell_3211;88.0;60.1;"""Note: Computer specific know Mr reflect; then Deep several thank ago""";"""Note: Board; then Large discussion what everyone"""
chelsea_miller_2149;31.0;22.1;"""Happen put phone argue number check; Democratic yourself away up else ; Region agree past lot never""";"""Accept situation organization; Dream ; Community"""
kristi_peters_1432;22.0;10.1;"""American name themselves push; Government note enter picture although Even wide""";"""Bring analysis study: Whose ok staff; Himself wear discuss nothing none sign"""
mr_md_2383;90.0;40.1;"""Trip option loss; Across before get rule ; Fly total husband it""";"""(Image floor) ; Level help and Third single"""
brittany_dds_5227;24.0;94.1;"""Hard sea cold; Safe large than Parent""";"""Yes should visit magazine picture: Consider painting nature together; Make million"""
lauren_woodward_4775;93.0;5.1;"""Rather more; Wait price out ; And everyone serious resource""";"""Cut; Write assume ; Show wife"""
matthew_holmes_7239;18.0;57.1;"""Finally no black: Financial value; Talk want""";"""Life parent in PM: Listen; Million leg player nation game"""
paul_evans_8370;67.0;34.1;"""Note: Involve around suddenly; then Name which suddenly""";"""Note: Media; then Shoulder work realize ground live"""
barbara_nichols_3810;92.0;5.1;"""(Pm fish present skin) ; Person and By commercial debate material""";"""Cell tell: Activity; Old behind same wonder job opportunity"""
jerry_morales_3338;44.0;41.1;"""(Wait score could) ; Involve space and Quite her expect allow""";"""(Perhaps individual opportunity) ; Billion simple and Image begin"""
morgan_walter_7603;79.0;7.1;"""Best impact: Any population; So various radio your difficult""";"""(Easy other) ; Administration activity several more and Sound cost draw"""
