username;name;rating;note
david_johnson_3660;David Johnson;60.0;"""Cut remain leave treatment leader a: Kid question benefit; Character score man practice"""
emily_shepherd_8673;e;27.0;"""Note: Develop direction father add; then Citizen billion read per"""
brittany_rodriguez_5661;Brittany Rodriguez;72.0;"""Someone year gas: Parent character apply picture; Foreign shake"""
michael_perez_5905;Michael Perez;71.0;"""Turn former near strong; Item throw Six risk level consumer answer"""
jeffrey_anderson_2437;Jeffrey Anderson;98.0;"""Painting argue identify: Film next appear; Order around"""
michael_thompson_4365;Michael Thompson;69.0;"""Begin produce position the; Half ability Past perhaps resource second recently"""
carl_ramirez_4645;Carl Ramirez;20.0;"""While; Artist let enjoy write hour understand ; Article source ask region cultural"""
jasmine_ramirez_3539;Jasmine Ramirez;52.0;"""(Else heavy) ; Material everybody player find and Central my blood cold"""
brianna_johnson_1847;Brianna Johnson;72.0;"""Day bill again consumer computer west; Tend resource especially cause ; Risk everyone"""
timothy_franklin_9940;Timothy Franklin;48.0;"""Instead information; Phone activity Pull fund"""
michael_love_1989;Michael Love;7.0;"""Note: Police development; then Card career"""
monica_alexander_1925;Monica Alexander;;"""Again black; Thus play produce ; Customer memory"""
sarah_delgado_0505;Sarah Delgado;85.0;"""Clear personal; Contain those yet reach old ; Past finally"""
cory_casey_5552;Cory Casey;68.0;"""Skill food say contain: Special memory; Anything among performance once"""
brandy_taylor_8874;Brandy Taylor;50.0;"""(Feeling only budget) ; Account and Doctor there early"""
william_briggs_7969;William Briggs;47.0;"""Let several forward: Man as; Too go indicate field"""
steven_johnson_4451;Steven Johnson;8.0;"""Kind significant choose student leader exactly: Hospital family sea; Home situation"""
laurie_thomas_5192;Laurie Thomas;38.0;"""Note: Coach bed election; then Indeed town half"""
julia_wyatt_1006;Julia Wyatt;7.0;"""(Dog catch stage) ; Sea national traditional check camera and Accept industry"""
brenda_lewis_2089;Brenda Lewis;15.0;"""Note: House; then Shoulder south"""
