# This is a comment line to skip
username	name	score	salary	description
haley_haynes_9055	e	41.0	2.1	'''Note: Six serious	 then We'''
christian_clark_8893	Christian Clark	82.0	48.1	'''Note: Past	 then Body half'''
sandra_diaz_8887	Sandra Diaz	63.0	41.1	'''Front care; Form notice Mr official 	 Story rather'''
william_silva_6097	William Silva	80.0	47.1	'''(Difference require kid help all poor) 	 Issue eye anyone agency and Good system'''
aaron_henry_1456	Aaron Henry	40.0	90.1	'''Environment; Attention music energy 	 White serve minute support'''
mr_rangel_5653	Mr. Cameron Rangel		29.1	'''Note: Walk camera door reflect	 then Trade president cut'''
angela_hoffman_9701	Angela Hoffman	3.0	41.1	'''Note: Quickly century himself current	 then Nor majority visit'''
karen_thomas_6388	Karen Thomas	72.0	47.1	'''Successful wide; Sign 	 Site fear hotel section after exist'''
katie_patel_2780	Katie Patel	50.0	1.1	'''Stock tonight they hospital him: Say rich market	 Listen different trip'''
austin_campbell_8911	Austin Campbell	5.0	89.1	'''(Body single art wall) 	 Seven campaign financial among and Center class blood'''
kimberly_kaufman_1910	Kimberly Kaufman	82.0	14.1	'''Role member of guess management; Movie sound 	 Experience'''
christopher_valentine_8321	Christopher Valentine	7.0	51.1	'''Mouth church	 American answer wind alone act Son here character compare movie'''
christy_norton_5204	Christy Norton	29.0	95.1	'''(Story) 	 Spend phone and Movie letter the politics'''
troy_lopez_2499	Troy Lopez	51.0		'''Meeting consider already team above: Ago usually along	 Case weight structure sort'''
shelby_wu_6479	Shelby Wu	78.0	47.1	'''(Between and century live) 	 Rule and Do its idea'''
tiffany_mclaughlin_2268	Tiffany Mclaughlin	13.0	100.1	'''(State) 	 Husband to natural popular treatment and Yard choose morning'''
andrew_coleman_9427	Andrew Coleman	19.0	48.1	'''Security respond financial: Choice seven public drug	 Responsibility'''
tara_nguyen_1313	Tara Nguyen	37.0	50.1	'''Note: Loss responsibility film power difference	 then Attention service believe'''
nicole_park_0025	Nicole Park	8.0	72.1	'''Already; Movie more 	 Attention same wonder Mr'''
heidi_ali_0806	Heidi Ali	20.0	32.1	'''(Meeting attack perhaps) 	 Form and Case fine'''
kathryn_montgomery_0596	Kathryn Montgomery	67.0	66.1	'''Else least find involve: Natural design	 South reach law'''
douglas_holmes_5978	Douglas Holmes	84.0	100.1	'''(Ready) 	 Medical hair forward and Final service successful stage'''
michael_smith_6272	Michael Smith	77.0	12.1	'''Girl hear; What by 	 Agreement detail station work'''
alexander_moore_3384	Alexander Moore	78.0	76.1	'''Goal for; Try garden 	 Kid parent impact'''
tina_thomas_0560	Tina Thomas	71.0	69.1	'''Note: At officer measure camera	 then Plan expect why enough'''
joann_johnson_8553	Joann Johnson	58.0	62.1	'''Exactly let up help; White if 	 Skin cultural research else'''
angela_miller_9313	Angela Miller	31.0	74.1	'''(Explain most) 	 Be within rise seat and Growth economy'''
