name,username,age,price,total_count,comment
Jeffrey Adams,jeffrey_adams_8694,58.0,9.1,46.2,'''Note: Central general current produce, then Every not'''
Joseph Hoffman,joseph_hoffman_1362,29.0,12.1,68.2,'''Soon soon; Listen yourself example , War start girl mother note'''
Sharon Martinez,sharon_martinez_6394,100.0,57.1,71.2,'''Cup century: Hour school, Step best institution modern'''
Michael Gilmore,michael_gilmore_6301,90.0,8.1,83.2,'''Note: Beat, then Region decision relate'''
Courtney Hester,courtney_hester_0187,37.0,8.1,92.2,'''Fill manager: Matter daughter, Drop place'''
Courtney Kim,courtney_kim_3158,73.0,63.1,2.2,'''Common federal per ball class; Play later , Bad how moment fall'''
John Gilbert,john_gilbert_7379,15.0,69.1,94.2,'''Note: Idea school game school know, then Thank'''
Ann Wood,ann_wood_4055,55.0,94.1,35.2,'''(Learn lose someone age) , Expect serious exactly and Race avoid'''
Tracy Brooks,tracy_brooks_7408,80.0,8.1,46.2,'''(Over who treatment) , Through course detail and Visit agreement population week'''
Randall Moss,randall_moss_4369,94.0,27.1,6.2,'''Note: Sell PM, then Discuss yes'''
Aaron Stanley,aaron_stanley_2381,89.0,37.1,64.2,'''Great force including yeah network: Information kind from range task, By they'''
Eddie Gordon,eddie_gordon_2431,44.0,3.1,12.2,'''Road; Figure level , Exactly else guy occur tree'''
Regina Houston,regina_houston_9787,29.0,83.1,72.2,'''Ok simple property reality; Wear carry western key , Scientist popular receive drop wrong'''
Mark Lowe,mark_lowe_0463,47.0,56.1,10.2,'''Tv camera; Suffer fight , Magazine'''
Ashley Romero,ashley_romero_6628,3.0,70.1,52.2,'''Short free do, Much but Finally'''
Shawn Porter,shawn_porter_1993,6.0,80.1,60.2,'''(Ask) , Realize staff and Candidate laugh'''
Candice Andrews,candice_andrews_3259,64.0,7.1,12.2,'''Here between; Rise actually , He would pull'''
John Aguirre,john_aguirre_8935,100.0,,69.2,'''Surface carry Mrs near focus: Both thing yeah, Exactly become participant per'''
Elizabeth Mahoney,elizabeth_mahoney_9550,46.0,22.1,84.2,'''(This receive its your) , Better nothing church process citizen animal and High'''
 ,sarah_collins_0949,48.0,10.1,78.2,'''Open bank direction individual; Thought , Tree bill several'''
Angelica Greer,angelica_greer_5863,,93.1,,'''Friend admit none early; Never into , Capital population writer whom'''
