name	rating	review	summary
Miss Ann Read	63.0	"""(Minima quidem) 	 Maiores nihil dolore asperiores omnis id and Quia quibusdam"""	"""Note: Accusantium nisi deserunt laboriosam	 then Ut debitis impedit nam nostrum"""
Dr Matthew Parker	60.0	"""Eum; Eveniet tempore ducimus consequatur 	 Doloribus rem"""	"""Tenetur commodi	 Neque doloribus itaque Accusantium dolorem debitis"""
Tina Phillips-Morris	65.0	"""Blanditiis repellendus sed harum ducimus: Veritatis veritatis	 Unde maiores maiores repellat"""	"""Doloribus laborum sequi beatae: Sapiente praesentium itaque expedita beatae	 Ipsa maxime corporis"""
Miss Janet Hunter	72.0	"""Exercitationem similique aliquam culpa: Nam magni	 Rem tempora dolores"""	"""Note: Aut neque mollitia ad architecto	 then Quos sapiente"""
Timothy Byrne	8.0	"""Veniam	 Ducimus Quae sapiente tempora quam"""	"""Amet; Maxime 	 Itaque quas nemo assumenda"""
Rachael Wright	72.0	"""Laborum: Enim ab	 Earum facilis rem fugiat dicta amet"""	"""Sapiente veniam; Ullam exercitationem 	 Repudiandae sapiente ex"""
Mr Liam Byrne	51.0	"""Officia distinctio; Sunt 	 Debitis ipsum"""	"""Sequi incidunt assumenda quod modi molestias; Tempore doloremque molestiae 	 Unde suscipit"""
Dr Stewart Carroll	46.0	"""Eum: Corporis aliquam corrupti sequi	 Reiciendis quidem odit sapiente"""	"""Note: A	 then Odio"""
Ashley Wood-Hunter	21.0	"""Vitae perferendis exercitationem	 Neque quisquam consequatur mollitia Similique quam"""	"""Quia eligendi esse: At voluptatum sapiente	 Quos ratione"""
Chelsea Williams-Stephenson	44.0	"""(Ullam aspernatur vel) 	 Amet dolore ut and Architecto"""	"""Note: Earum molestias	 then Error porro"""
Carole Price-Nolan	55.0	"""(Accusantium dolorem voluptate) 	 Autem sed and Vitae accusamus voluptates tempore quidem consectetur"""	"""Iste earum placeat expedita	 Natus perferendis repellat beatae Mollitia"""
Ms Paige Tomlinson	30.0	"""Maxime nisi sit consectetur eius distinctio: Repudiandae perspiciatis unde eaque	 Temporibus"""	"""Note: Non facilis	 then Asperiores aperiam voluptates quam tempora"""
Marian Hunter	49.0	"""(Eius) 	 Quaerat veritatis and Doloremque quisquam aut"""	"""(Quidem repellendus harum repudiandae dignissimos distinctio) 	 Asperiores nesciunt and Neque et est"""
Mr Kevin Howell	6.0	"""Laborum odit: Quisquam consequatur enim	 Cupiditate corporis officia"""	"""Itaque consequatur; Fugit ipsum distinctio 	 Magnam quidem tempora"""
Stephanie Horton	29.0	"""Harum minus	 Doloremque est adipisci Dolore possimus recusandae ratione ad hic dignissimos"""	"""(Quia) 	 Repellendus ipsam iste and Maiores amet labore deserunt"""
Dr Dawn Whitehead	100.0	"""Iure; Modi voluptas accusamus 	 Rerum eius voluptatum"""	"""(Minus deleniti aliquam molestiae ipsa) 	 Culpa voluptate deserunt voluptatum and Quasi dolorem vero"""
Elliott Elliott	45.0	"""Saepe sapiente: Asperiores	 Fugiat est consectetur"""	"""Note: Fugit laboriosam deleniti iste optio	 then Illo nulla"""
A	29.0	"""Atque suscipit consequuntur laboriosam ipsam: Quidem ratione dolorem	 Modi dolores occaecati eius"""	"""Note: Dolor debitis corporis	 then Esse quibusdam quos quam distinctio"""
Miss Georgina Butler	72.0	"""Note: Voluptatum suscipit	 then Esse quo perferendis architecto in"""	"""Porro possimus quas corrupti cum ipsa	 Illo praesentium Assumenda adipisci porro"""
Mrs Susan Henry		"""Magnam reiciendis	 Mollitia Accusamus ullam maxime tempora enim"""	"""Note: Iure modi	 then Necessitatibus culpa quo nihil dolorum"""
Irene Burke	84.0	"""Quo maxime; Ipsum minima 	 Quia quia"""	"""Eligendi nobis incidunt: Qui nisi exercitationem vero	 Inventore et vel nisi"""
Dr James Leonard	73.0	"""Minima quod fugiat quas: Quaerat maiores sed	 Vero ad"""	"""Architecto	 Nihil modi repellat itaque Quibusdam dignissimos exercitationem repellat quisquam"""
Brian Williams	11.0	"""Numquam aspernatur sapiente ipsum: Sapiente esse nisi	 Vitae assumenda ad"""	"""(Placeat) 	 Quidem ipsam and Accusamus nulla eum enim"""
Dr Sarah Smith	66.0	"""Note: Ab eligendi	 then Ipsum modi libero"""	"""(Ex) 	 Distinctio et and Hic rerum"""
Mr Tom Richardson	97.0	"""Note: Pariatur esse adipisci iure	 then Ex et possimus ut"""	"""(Soluta occaecati) 	 Vitae and Amet recusandae incidunt non"""
Bradley Hart-Gray	54.0	"""Temporibus tempore delectus similique aspernatur	 Quidem tempora ab delectus Necessitatibus ab ab"""	"""Id vero vero assumenda; A earum cum beatae 	 Velit cumque ducimus eos"""
Elizabeth Sharp	38.0	"""(Numquam sit nihil non eum quod) 	 Itaque exercitationem and Repellat non quisquam cum error"""	"""Ratione saepe rem	 Minima sit distinctio corrupti Quibusdam culpa voluptatum"""
Aimee Rees	23.0	"""Magnam repudiandae: Fuga cupiditate eaque sint illo	 Saepe officia laboriosam"""	"""At dignissimos repellat: Nam sint ut recusandae tempore quam quaerat	 Modi"""
