# This is a comment line to skip
name;username;salary;summary
Allison Jordan;allison_jordan_2112;51.0;'''Chance seven dream small; Meeting manage room bad Stop campaign store'''
Sara Padilla;sara_padilla_5536;1.0;'''(Along Congress) ; Receive grow star purpose money and Hard enough we any'''
Stephen Mckinney;stephen_mckinney_9472;29.0;'''(Check manage gas) ; Consumer amount tax eight and Watch quality'''
Douglas Jackson;douglas_jackson_5174;90.0;'''Bit remember six age; About western Any'''
Ryan Gomez;ryan_gomez_8692;43.0;'''What commercial indeed: Be gun despite war; Air risk'''
Ryan Stone;ryan_stone_5857;55.0;'''Somebody safe; Option ask gas upon ; Cause successful even'''
Maria Payne;maria_payne_0691;75.0;'''Power beat; Mention federal Serious catch worry once'''
Kimberly Stewart;kimberly_stewart_0938;47.0;'''Decide glass stand: Better live first; Term fast'''
John Thomas;john_thomas_7383;91.0;'''Her owner food: Condition not character do; Provide'''
Alexander Gibson;alexander_gibson_6411;17.0;'''Long talk: Because; Television'''
Bobby Hess;bobby_hess_5192;39.0;'''Light off trial open thus: Same; Several mouth'''
Martin Rivera;martin_rivera_1189;86.0;'''Note: Resource box wait test; then Leave across'''
Jeremy Wallace;jeremy_wallace_7573;55.0;'''Fill campaign; Attention allow pass age Event happen'''
Christopher Davis;christopher_davis_7349;27.0;'''Especially believe; Memory road Very soldier responsibility attack far'''
Steven Gill;steven_gill_4702;85.0;'''Sell capital; Think Anyone yard'''
Thomas Morgan;thomas_morgan_7779;47.0;'''Song also: Medical provide drive civil find; Movie everyone mean her'''
Diane Washington;diane_washington_6372;9.0;'''Most determine; Attention institution key Happen institution'''
Courtney Nguyen;courtney_nguyen_2535;51.0;'''Reason whether wife whole: Table provide where; Final society when'''
Jennifer Wilkinson;jennifer_wilkinson_5803;73.0;'''Even; Focus Artist together'''
Ms. Tina Clark;ms_clark_3891;35.0;'''Long large; Break it get mind during Like method opportunity'''
Anthony Morris;anthony_morris_6135;60.0;'''Hundred; Movie hundred deep provide better ; Development'''
Stephen Carr;stephen_carr_0240;19.0;'''Note: Suddenly; then History view stuff'''
o;carolyn_hodges_1379;78.0;'''Note: Money discover data; then Reflect assume'''
Frank Chambers;frank_chambers_4223;38.0;'''(Suddenly choice standard) ; Building them and Mrs we why'''
Nathaniel Sanchez;nathaniel_sanchez_4597;96.0;'''Reason tend according: Board similar she nation; Full program enjoy gas into keep'''
Christopher Smith;christopher_smith_8211;37.0;'''Note: Let another; then Relate into even'''
Tommy Bradley;tommy_bradley_2214;26.0;'''(Relate) ; Citizen market and Movie speech news most space inside'''
Thomas Arnold;thomas_arnold_8814;36.0;'''Positive half note culture two once: Door reveal; Reach career military'''
Bethany Vincent;bethany_vincent_6899;97.0;'''Note: Stay seat door; then Better police to'''
Lori Knight;lori_knight_1789;;'''Receive purpose adult big music relationship; Source arm region ; Throughout'''
Vanessa Williams;vanessa_williams_2841;45.0;'''Certainly; Difference officer draw special ; Break and'''
Alejandro Jones;alejandro_jones_0794;26.0;'''Note: Government project water; then Whose week'''
Laura Walker;laura_walker_8721;88.0;'''Day north; Us example Price low at western heart find'''
Wesley Hayden;wesley_hayden_5679;15.0;'''Operation both necessary born pay: Such six certainly; Room land majority'''
Frederick Joseph;frederick_joseph_0404;91.0;'''Note: Like; then Bank event strategy rate'''
