name,age,score,price,note,description
Iain Davies,41.0,39.1,59.2,'''Quibusdam consequatur ad, Dolor nisi animi Ad''','''(Eveniet placeat adipisci) , Aperiam corporis sint and Sed'''
Megan Lowe,17.0,47.1,37.2,'''Aliquam quas molestiae error quas: Harum facilis nulla, Tempore iste''','''(Blanditiis aliquam nam recusandae) , In aspernatur quas recusandae sit and Debitis nemo mollitia esse temporibus maiores'''
Kerry Summers,35.0,90.1,49.2,'''Labore quidem architecto voluptatibus reprehenderit debitis, Nulla dolor quam in Mollitia aut totam exercitationem''','''Perspiciatis repellat, Odit atque modi Deserunt'''
Barbara Watson,51.0,76.1,33.2,'''Tenetur dolor; Tempore id veniam esse harum tempore , Nam''','''Ratione illo; Beatae vitae laborum nostrum , Molestias reprehenderit at dolores asperiores'''
'Lynn O''Donnell-Wade',59.0,,1.2,'''Quibusdam consequatur omnis itaque fugiat: Dolorum recusandae, Similique cum''','''Repellat; Voluptates at totam culpa , Maxime quis quisquam'''
Gerard Shaw,22.0,59.1,17.2,'''Tempora iure accusantium quaerat officiis repudiandae; Consequuntur incidunt iusto suscipit reiciendis , Voluptatem nihil''','''(Dicta tempora) , Commodi animi facere fugit and Nemo modi ipsum'''
Judith Dale-Finch,69.0,7.1,37.2,'''Note: Reprehenderit quis molestias, then Quas iste illum''','''Id soluta provident; Maiores quasi , Architecto neque suscipit ipsum earum'''
Mark Jones,50.0,65.1,5.2,'''Deleniti tempore facilis minus magnam a, Atque fuga voluptas Labore illum exercitationem harum unde exercitationem''','''Omnis; Possimus alias , Perferendis placeat alias'''
Benjamin Morgan,20.0,83.1,91.2,'''Distinctio odit; Dignissimos libero , Distinctio omnis hic eius doloribus architecto''','''Distinctio ab nostrum: Aliquam, Ratione'''
Benjamin Hall,16.0,4.1,79.2,'''Perspiciatis porro; Iusto necessitatibus quas facere quisquam saepe , Ullam corporis asperiores ipsa voluptatum nemo''','''Totam dolor: Sapiente, Atque'''
Joanna Davies,26.0,44.1,75.2,'''Numquam culpa, Ex eveniet Fuga consequuntur''','''Deleniti veritatis; Et debitis molestias iste voluptatem , Reiciendis eaque beatae perspiciatis voluptatibus nostrum'''
Dr Marc Williams,66.0,73.1,52.2,'''(Ipsam eveniet) , Tempora rem and Nihil nulla ad''','''(Assumenda) , Quisquam officia and Incidunt commodi'''
Marc Connor,90.0,86.1,2.2,'''Note: Soluta quaerat, then Deleniti ducimus temporibus''','''Libero voluptas necessitatibus: Voluptatem, Dolore distinctio ipsam'''
Lynda Mitchell-Lynch,28.0,4.1,66.2,'''Note: Sit autem enim, then Nemo aut quo''','''Saepe libero reprehenderit: Doloremque praesentium iste, Veritatis sunt neque'''
Miss Olivia Kaur,4.0,51.1,44.2,'''Repellat tempore itaque illo: At dolores dolorem fuga sunt dolore, Dolorum repudiandae''','''Ad; Porro illum corrupti , Fugiat enim doloribus officia nostrum'''
x,22.0,31.1,32.2,'''Deleniti fuga atque voluptatibus; Minima beatae , Aperiam quam''','''Pariatur omnis: Delectus doloremque consequatur aliquam, Esse doloremque sit'''
Wayne Harris-Jones,,29.1,46.2,'''Fugiat magnam, Asperiores consequuntur qui Corrupti voluptatibus nesciunt numquam laborum''','''Facilis dicta accusantium reiciendis: Placeat doloribus perspiciatis, Veritatis itaque id'''
Louise Brown,13.0,51.1,67.2,'''Quas labore qui quisquam eaque; Nostrum eum dolores repellat , Aliquid repudiandae non''','''(Deleniti labore odit) , Natus ea excepturi labore omnis and Adipisci in aspernatur laudantium quibusdam'''
Mrs Katherine Harris,15.0,52.1,39.2,'''Blanditiis illo; Nulla eius reprehenderit , Deserunt sapiente blanditiis''','''Nisi deserunt quod, Deleniti in ut sed ab Quae sint'''
Donna Davies,67.0,85.1,,'''Amet: Accusantium reiciendis, Nostrum delectus repudiandae facere blanditiis fuga''','''Harum enim quidem voluptas inventore: Culpa officia labore enim, Vero'''
Jacob Barry,7.0,35.1,12.2,'''(Aut accusamus ipsam) , Dolores architecto exercitationem and Ipsa veniam doloremque quia''','''Omnis voluptas enim nam; In consectetur , Expedita sapiente'''
Frank Marshall,56.0,53.1,25.2,'''Note: Eveniet eligendi, then Architecto quae nulla''','''Excepturi libero blanditiis: Iure pariatur aliquid necessitatibus numquam, Saepe magni ducimus voluptas'''
Hayley Bibi,6.0,94.1,70.2,'''(Fugiat officia eum a) , Consectetur deserunt officiis and Praesentium natus''','''Delectus numquam ut, Adipisci saepe Qui corrupti'''
Louis Cox-Rogers,37.0,8.1,51.2,'''Nemo culpa: Totam ipsa mollitia quod incidunt officia, Minima provident''','''Quia a excepturi iste; Incidunt repudiandae ipsa , Sapiente debitis pariatur voluptatem'''
Ms Teresa Crawford,13.0,8.1,99.2,'''Odio veniam: Sint quo cupiditate reiciendis, Deleniti distinctio doloremque consequatur hic''','''(Unde voluptas) , Sint and Repellendus et impedit optio'''
Barbara Dawson,74.0,88.1,39.2,'''Cupiditate: Itaque similique repellat harum ex deserunt suscipit, Enim aut quia inventore consequuntur assumenda''','''Unde tempore iusto dolor ea; Minima , Cumque nobis necessitatibus numquam'''
William James,44.0,33.1,61.2,'''(Fugiat) , Velit and Cumque molestias aliquam''','''Fugit, Ipsam Ea officia'''
Miss Lauren Brown,52.0,37.1,64.2,'''Beatae quibusdam dolorem: Tempore unde distinctio ipsam ea, Commodi veniam distinctio''','''Veritatis veniam voluptates, Aut quo Similique neque odio neque ipsam'''
Stuart Taylor,13.0,91.1,70.2,'''Consequatur placeat dignissimos modi delectus dolor, Vero et Quas minus''','''Facilis a libero, Molestiae quod Debitis numquam ea'''
Mrs Rachael Boyle,71.0,24.1,96.2,'''Saepe natus perspiciatis labore aliquid dolores: Ipsa, Laudantium''','''(Occaecati quis) , Cupiditate fugit commodi repellendus and Nisi rem ea quasi reiciendis'''
Dr Billy Rees,58.0,56.1,95.2,'''Note: Expedita nam fuga veniam, then Ipsa voluptatibus perspiciatis''','''Suscipit aspernatur perspiciatis at voluptatibus: Magnam molestias maxime doloribus illum, Provident modi'''
Jason Brookes,41.0,27.1,20.2,'''Note: Architecto, then Quo quas''','''Note: Iusto quisquam aut, then Eos asperiores laudantium'''
Stewart Noble,34.0,32.1,76.2,'''Consequatur similique voluptatum; Dolore asperiores , Molestiae quo soluta''','''Note: Repudiandae sed, then Praesentium sunt quisquam dolor'''
Joseph Whittaker-Morrison,18.0,92.1,86.2,'''(Non quis) , Debitis voluptatem quos nam and Deserunt''','''Note: Nisi voluptatibus debitis, then Quaerat quidem'''
Peter Khan,91.0,51.1,87.2,'''Quia sapiente similique nihil maxime rem: Fugiat culpa totam reiciendis quas dignissimos, Deserunt eligendi adipisci adipisci cumque''','''(Recusandae tempore) , Iure tempore and Dicta'''
Scott Abbott-Hawkins,58.0,20.1,95.2,'''Note: Ipsam recusandae consequatur aperiam sapiente, then Veniam quaerat ex''','''Ad tempora; Et placeat , Molestias eveniet'''
Gordon Miller,75.0,64.1,81.2,'''(Aliquam expedita totam at) , Cumque and Architecto dolorum nulla expedita''','''Eligendi quod nihil perferendis veritatis; Voluptatem veritatis quasi , Debitis tempore quia quia'''
