# This is a comment line to skip
name	age	price	note	review
Donna Jimenez	41.0	22.1	"""Easy material; Provide available 	 Reveal face available space"""	"""Forward senior: Break fast	 Expert present beautiful"""
Jared Hicks	54.0	94.1	"""Growth already	 Use Special magazine"""	"""(Yeah) 	 Account instead but mission current and Middle everybody much hard"""
Nancy White	7.0	53.1	"""(Draw set) 	 Lose room and Thought seat realize"""	"""(Effort common) 	 City from and No condition example"""
Ian Taylor	11.0	83.1	"""Study guess: Drop	 Impact authority program man ago stage"""	"""(Direction action place) 	 Concern single sound and Major court challenge anyone military"""
Kristy Herrera	37.0	10.1	"""(Option) 	 Government play total and Suffer"""	"""Note: System certain finally base	 then Collection move show"""
Carolyn Marshall	86.0	51.1	"""Whether sister difference three grow; Position painting table 	 Party him value"""	"""Purpose character; Radio pay win 	 If too character"""
Cynthia Richardson	10.0	31.1	"""Ball situation; Lead film 	 Reach"""	"""Various beautiful hair	 Seem final country back Left upon forget"""
Randall Hall	56.0	87.1	"""Buy why rate head: War give actually	 Itself machine authority subject ready"""	"""Note: Learn bank	 then Finally need"""
Joseph Joseph	71.0	47.1	"""Notice; Soldier treatment 	 Memory"""	"""Which section leg save; Both strategy officer rich 	 Serious guy"""
Tyler Collier	49.0	73.1	"""(Start southern interview) 	 Early decide and Customer structure kid"""	"""Personal natural appear beat	 Include Worry suggest teach reduce"""
Daniel Wilson	44.0	51.1	"""Forget ever value tell TV; Some source design nation decide 	 School physical able ability help now"""	"""(Indeed agree challenge generation letter) 	 Market sure west and Across his specific Democrat program"""
Amber Richardson	54.0	2.1	"""Dinner tax but rise; May keep 	 Painting concern"""	"""Door draw other PM with physical line; Lay draw open 	 Item"""
David Ross	51.0	84.1	"""Crime	 Morning such Still ball have professional"""	"""Recognize unit authority; Some 	 Us among actually"""
Robert Hickman	88.0	87.1	"""(Employee) 	 Break political and Compare second something significant even"""	"""Note: None executive fish probably pressure statement figure	 then Approach stop"""
x	13.0	34.1	"""Something society true dog light: View almost media evidence	 Blood nice"""	"""Exist pull outside; View bring 	 Military"""
Mathew Miller	28.0	46.1	"""(Store moment start away) 	 History both and End late customer season"""	"""Relate change	 Agency live what soon feel Low one senior force hit"""
Robert Nelson		49.1	"""Mr right never politics; Smile 	 Second dream wind will"""	"""Exactly among list; Space 	 Report reason expert your"""
Daniel Roberts	67.0	20.1	"""Note: Office list either really season	 then Interview degree a"""	"""(Drug listen) 	 Score fund talk number and Forward off important walk walk"""
Chris Williams	28.0	79.1	"""Note: Choice realize	 then Season animal PM"""	"""Party six individual market agree how	 Police imagine Least all black day"""
David Carr	66.0		"""General there friend myself for action: Ground wait foot because	 Low apply why"""	"""Parent language place paper soldier fish	 Dog go sound head room religious Debate study"""
Lisa Anderson	40.0	46.1	"""Discuss level business expect: Dark general recently	 Safe road hope think"""	"""Note: Loss thing	 then Her production"""
Carrie Murray	84.0	24.1	"""(Nature happy seat) 	 Turn them identify and Officer ask interview forget sing"""	"""Less nice; Audience painting 	 Dinner inside exactly"""
Margaret Rodriguez	25.0	91.1	"""Tonight any effect pretty	 Citizen Account"""	"""Question responsibility meeting view there difference; Force program away 	 Condition identify safe"""
Alicia Delgado	97.0	56.1	"""Edge machine none raise; Weight support manager challenge 	 Bad price have majority"""	"""Defense yet mission: Commercial law	 Why training"""
Rachel Johnson	100.0	67.1	"""(Difficult play them) 	 Especially dinner and Southern career idea choice ready three"""	"""Note: Coach yeah most represent	 then Final agreement thought"""
