name	price	score	remark	review
Sarah Long	18.0	46.1	"""Check describe down	 Senior establish Together wife ready what"""	"""Go approach offer senior: Student	 Knowledge"""
Daniel Velez	96.0	65.1	"""Note: Military	 then Thus firm spring best large"""	"""Season believe: Choose	 Indeed about short"""
Debbie Mayer	5.0	53.1	"""Too including compare financial drive	 Citizen news think analysis Design benefit"""	"""Visit	 List part Agent great also"""
John Martinez	43.0	8.1	"""(Never key) 	 Build or ok and Pull agree everyone"""	"""Sing face grow culture officer what; Look produce scientist investment wind difficult 	 For lot"""
David Cochran	8.0	91.1	"""Board	 Task five office without see Instead because eight"""	"""Fall off seem whom history choice; Manage set 	 Carry information cup field day although"""
Lisa Davis	75.0	66.1	"""Network town; Accept explain 	 Event girl increase sometimes"""	"""Act unit building social	 Control let foot It information over"""
Michael Todd	76.0	35.1	"""Bed; Cell relate expect series rather 	 Future where stage fact reflect"""	"""Note: Owner treatment	 then High go word"""
Jason Johnson	42.0	65.1	"""Reality staff heavy: Senior who understand trip couple player	 New far"""	"""International detail risk theory; Fire school 	 Either career different"""
Ricky Russell	7.0	58.1	"""Field order: Kid back someone effort tough get	 Walk goal international road"""	"""Sister open	 Hold rest world Kitchen"""
Erica Perez	79.0	31.1	"""(Audience machine onto) 	 Through cover small organization fast and Theory cup"""	"""Would represent hair spring federal: Entire walk any technology style	 House less traditional hair"""
Danielle Gillespie	8.0	86.1	"""Environment successful: Until next that	 Father machine wide long"""	"""Note: Whether run bad	 then Experience imagine play"""
Julia Carter	34.0	85.1	"""Do easy; Seat animal might effect Republican 	 Speech catch"""	"""Billion; Little never program 	 Need lay"""
Shirley Houston	18.0	74.1	"""World represent establish money; Near late success wife 	 Coach likely rest those a bag"""	"""Note: Result list	 then Back budget"""
Brittany Clark	11.0	65.1	"""Off set sense; Real decision 	 Back wish ready parent nothing"""	"""Lawyer per against article	 Foot owner yes several Already"""
Adam Stevens	100.0	6.1	"""Later month lawyer: Thousand bar research born down	 Mission list"""	"""Town country way box decade: Enjoy camera	 Thank discussion rock she whose successful"""
Lindsay Barber	82.0	10.1	"""Note: Wide company	 then Democrat develop professor might hit"""	"""Note: Issue should their	 then Major response always later top"""
David Martin	18.0	26.1	"""Note: The the feeling	 then Discuss source power"""	"""Film side; Term staff maintain girl summer 	 Easy clear"""
Melinda Kelly	45.0	67.1	"""(Trip exactly per view) 	 Energy lay response and Decade rise interview wish"""	"""Note: Garden evening provide adult	 then Bill lawyer popular"""
Kelly Lucas	10.0	2.1	"""Country: Or strong development no	 Through wind some"""	"""Type national; Do work cup 	 Usually"""
Ashley Martinez	55.0	82.1	"""Blood others practice former	 Window player shake Writer beat add avoid"""	"""Adult agree operation; Position member 	 Meeting piece garden growth understand"""
A	86.0	56.1	"""Movie major; Effort section trip 	 Source side owner water"""	"""Imagine respond bill sometimes guy	 Yard note Maybe list light everyone"""
Brooke Henry	17.0		"""(Travel enough game force) 	 Idea add like artist result and Heavy hotel himself share"""	"""Military thing; Girl society choice 	 Single board series"""
David Robles	93.0	97.1	"""Later off	 Example rock Stop"""	"""However market economy: Plan already believe	 Policy line"""
Robert Diaz	81.0	64.1	"""Think administration shake: Fill action president everyone often democratic	 Hear idea"""	"""(Action test) 	 What he and Prove"""
Matthew Fleming	16.0	15.1	"""Young sport place hand	 Pull wait Live require despite most Congress"""	"""Note: Build traditional assume	 then Know federal war couple"""
Tonya Silva	85.0	1.1	"""Note: Cold whole girl water	 then Receive raise"""	"""(Late ability certainly several) 	 Our organization and Cut them office effect"""
Jessica Jenkins	1.0	55.1	"""Note: Media since	 then Design top want"""	"""Executive billion everything: Leg simple meet	 Lose last tree rock"""
Lindsey Contreras	31.0	88.1	"""Still make; Bad base 	 Police happy task"""	"""(Note hour few owner drug still) 	 Amount shoulder and Example agree short"""
Karen Hernandez	12.0	39.1	"""Note: War series worry care past	 then Ever side when try"""	"""(Federal type) 	 Night movie and Western almost"""
Alicia Obrien		3.1	"""Local involve reality recognize people dinner	 Finally raise usually necessary Focus later"""	"""Exactly media star choose: Pm	 Hotel window sign"""
Brett Rogers	47.0	68.1	"""Live church: Sing throw Mrs baby	 Perhaps such center south"""	"""(Question practice stay lose course operation) 	 Never race and President view why"""
Roy Whitehead	48.0	34.1	"""Itself serious	 Another I dream begin Artist note ready wear billion"""	"""Amount public last; Real face 	 Member"""
Danielle Garcia	70.0	81.1	"""Tell everyone magazine	 Half party build Home east about"""	"""(Training usually American) 	 Capital land chance and Oil commercial"""
Clarence Rice	33.0	1.1	"""(Safe enjoy no situation and) 	 Foot foreign and Executive"""	"""Real camera	 Before tell talk size prepare knowledge Realize human"""
