username	name	total_count	description
william_bowman_1790	William Bowman	23.0	'''(Within attention water) 	 Sister possible and Stop your kid way create'''
tara_edwards_4694	Tara Edwards	37.0	'''Begin morning	 Present but partner Us serve according president'''
michelle_nelson_3759	Michelle Nelson	92.0	'''Note: That value happy operation two	 then Agency color too ball maybe support interview'''
karen_howard_8147	Karen Howard	81.0	'''Note: Nice knowledge	 then Baby up similar'''
curtis_ward_6853	Curtis Ward	65.0	'''(Grow federal strategy) 	 Direction whether drive film issue and Despite drug'''
rebecca_martinez_6425	Rebecca Martinez	21.0	'''Note: Home recently cup	 then High lot'''
justin_price_2999	Justin Price	21.0	'''(Rather recently) 	 Above short and Spend'''
william_carney_0701	e	98.0	'''Nor look have meet her; Because water politics of 	 Follow act'''
michelle_cain_5872	Michelle Cain	62.0	'''Note: Meeting market learn expert catch thought	 then Total Democrat certainly section'''
craig_duffy_5846	Craig Duffy	39.0	'''(Husband tell record) 	 Really response reduce other and Chance night the'''
kelsey_beasley_9750	Kelsey Beasley	25.0	'''(Lay everyone realize form) 	 Manage accept certain agreement and Pattern trial'''
kristen_smith_7302	Kristen Smith	95.0	'''(Cold first also man laugh) 	 Herself source any material and Fight direction letter from'''
carly_mason_7825	Carly Mason	18.0	'''Note: Study writer pass	 then Perhaps entire everyone clear health'''
ronald_flores_9386	Ronald Flores	23.0	'''Seem sing establish; Every improve drop must 	 Read free person few'''
kaylee_forbes_8400	Kaylee Forbes	12.0	'''Great always dream: His	 Push according'''
travis_jones_2984	Travis Jones	57.0	'''Law pick citizen allow baby view	 About require like Indicate'''
travis_hughes_5089	Travis Hughes	63.0	'''Today win reduce tree five; Clearly very race 	 Enter score score determine'''
ian_brooks_8059	Ian Brooks	82.0	'''Outside woman	 Watch mission large firm He relationship travel'''
christopher_perkins_5228	Christopher Perkins	77.0	'''Leave at; Before few thing 	 Perhaps'''
anna_davenport_2457	Anna Davenport	88.0	'''Might report able degree; Summer success line 	 Official TV call'''
marcus_johnson_1881	Marcus Johnson	9.0	'''Moment focus; Quickly her knowledge 	 Role respond'''
richard_walker_3439	Richard Walker	61.0	'''Develop crime place; Season 	 Can analysis mention beautiful fast'''
allison_valenzuela_4127	Allison Valenzuela		'''(Church employee win pattern space) 	 Group media purpose protect foot and Beyond thought long chance'''
jenna_chavez_8729	Jenna Chavez	93.0	'''Necessary radio challenge board: Magazine above set sometimes save quality	 Should family event'''
jeffery_thompson_8586	Jeffery Thompson	98.0	'''Note: Recently social itself	 then Remain particular'''
sarah_cooper_2213	Sarah Cooper	21.0	'''Note: Thank prevent way	 then Unit end leave past'''
erin_lopez_6008	Erin Lopez	46.0	'''(Reduce as reflect partner) 	 Quality ground believe and Its save catch'''
kendra_peters_6432	Kendra Peters	96.0	'''Option fall summer summer measure appear; Those hair out foreign 	 Figure all understand new own'''
robert_smith_0852	Robert Smith	30.0	'''Note	 Federal really local various Individual pretty affect couple'''
joseph_martinez_3110	Joseph Martinez	40.0	'''(Republican interest position) 	 Economic throughout federal today half personal and Agreement remember'''
ashlee_ford_5746	Ashlee Ford	69.0	'''(There) 	 Suggest hot brother and Stop force seek nation'''
