# This is a comment line to skip
name,price,total_count,score,message,note
Daniel Johnson,86.0,39.1,72.2,"""(Someone almost conference) , Family and Buy natural cover the""","""Bill scene experience; Management turn , Security finally painting baby woman"""
Sandra Robertson,82.0,4.1,88.2,"""(Language television both thing also) , Maintain best and Democrat seven""","""Help something enter, Magazine worker push Woman another"""
Gloria Jackson,18.0,81.1,61.2,"""Reduce career; Again claim , You mean listen""","""Note: Admit medical, then Care and standard beautiful"""
Kirk Johnson,87.0,75.1,24.2,"""Note: Purpose father yeah born however, then Central offer learn security""","""(Likely remain situation law) , Yard foreign girl and Recognize similar speech here"""
Patrick Wade,3.0,27.1,81.2,"""Deep response space doctor: Serious system soldier lead treat, Site lawyer""","""Note: Marriage, then Any nor"""
Robert Daniels,17.0,3.1,21.2,"""Note: Against property wall green, then Sign happen""","""Various, Reason it once Effort way food"""
Chad Salas,49.0,81.1,72.2,"""Do image heavy: Will, Character site contain""","""Third left agency now author; Machine , Writer brother stop thought over"""
William Douglas,55.0,60.1,98.2,"""Note: Buy late, then Fish""","""Note: Pull choice argue bank, then Contain with"""
Elizabeth Taylor,75.0,35.1,57.2,"""(Bad rich particular soldier) , Community either suffer break and Loss""","""Consider note think memory; Get , Customer fast well"""
Marie Moyer DDS,43.0,36.1,78.2,"""(Prevent step) , Art organization and Run officer""","""However physical across wait; Lead baby response speak , Seven"""
Mr. Steven Ayala,80.0,3.1,16.2,"""(Nearly source) , Meet dream through and Suggest such former""","""(Black news trip) , Now professor lead act and Charge kind product"""
George Williams,40.0,,74.2,"""(Expect begin why) , Mother church center over section and Inside college""","""Writer chance mention lose administration page, Long in fact Participant born"""
Brian Rangel,35.0,94.1,11.2,"""(Relate attention) , East and Major above conference mother""","""Western friend, Research point together benefit Thus career"""
Tom Jefferson,52.0,79.1,67.2,"""Choose home between husband: Its rate woman, Sure""","""Note: Gas fall mention technology consider, then Base although"""
Jacqueline Garza,10.0,2.1,88.2,"""Family write; Part last , Class""","""Father letter study across democratic: Through people, First rock line"""
Carlos Simon,97.0,77.1,98.2,"""Which, By actually return four Week bit whole""","""Become seven hot: Sometimes but that sometimes car enter, Ball interview life southern"""
Anna Padilla,67.0,80.1,23.2,"""Grow many each forget: Figure sit radio, Along fill turn""","""(Environmental their view hair church) , Popular attorney and Show"""
Steven Medina,69.0,66.1,47.2,"""Seem common; Event perhaps , But child fight which""","""Note: Brother wait argue order they, then Hour conference most wrong off"""
Melanie Walker,95.0,17.1,85.2,"""(Camera environment especially month) , Main about and Simple method skin""","""(Start manager enjoy authority) , Street economic and Couple end"""
Angela Molina,,33.1,86.2,"""Front factor play out include, Goal attack Eight wind such""","""Tell building: Investment military of provide sort themselves, Right"""
Joshua Juarez,93.0,51.1,22.2,"""Various school address: Teacher above agent social people, Why drive peace""","""Quite send, Affect friend Congress Food hair interview hospital"""
e,90.0,84.1,82.2,"""Understand another shake never whose: Agency author despite who arrive, Team other building agent""","""(Right door house lose appear process) , Too learn enjoy and Own music sometimes white"""
Amy Anderson,65.0,44.1,,"""(Early method) , Least option fill run over and Order soon item this""","""Catch left; Upon according accept , Into share"""
Harold Wilson,94.0,81.1,84.2,"""Young, Too various tough reach ten push Once bad middle five reduce""","""Must coach: Trip attention practice help realize, Night since direction huge discover"""
