username;name;age;comment
tracy_thompson_0205;Tracy Thompson;78.0;"""Note: President best radio with; then Outside five"""
alejandro_goodwin_0750;Alejandro Goodwin;87.0;"""Central investment eat movie responsibility thousand; Pressure upon ; International area arm that majority"""
jamie_howell_8140;Jamie Howell;8.0;"""Long without: End between house; Say guess"""
travis_mercer_0609;Travis Mercer;3.0;"""Note: Number company; then Bring down"""
timothy_brennan_1772;Timothy Brennan;79.0;"""Race space material civil: Book really rise eight when; Money century"""
danielle_shaffer_3672;Danielle Shaffer;70.0;"""(Hit item any) ; Smile level idea watch central environmental and Time hit civil first economic"""
joseph_kim_2049;Joseph Kim;98.0;"""Range; Simply state positive party south Fly"""
christopher_wong_3394;Christopher Wong;76.0;"""Note: Call food but special situation nation; then Man woman market"""
andrew_bell_9105;Andrew Bell;97.0;"""(Fast key able) ; Design always and Paper paper"""
karen_wolf_5332;Karen Wolf;15.0;"""Soldier raise alone fly candidate; Same lead mouth ; Reveal hour movie floor"""
jessica_jackson_9847;Jessica Jackson;74.0;"""Hard any race; Business ; Share"""
rhonda_jones_2539;Rhonda Jones;84.0;"""Man; Yes ; Door summer rock fact"""
jean_wells_0110;Jean Wells;67.0;"""Large evidence at time; Body career ; Thus hope commercial education alone our"""
lauren_richard_6299;Lauren Richard;100.0;"""(Listen animal center) ; Down there open save and Officer turn would than"""
hector_scott_8576;Hector Scott;55.0;"""(Between factor country number dinner) ; His whole list similar public and Can"""
deborah_jackson_9845;Deborah Jackson;30.0;"""Assume parent; Involve adult ago cultural ; Sign against difficult"""
lisa_walker_2026;Lisa Walker;28.0;"""Single; Manage throw cold public ; Suggest support"""
michael_hutchinson_5192;Michael Hutchinson;8.0;"""Evidence process: Hit; Answer word"""
james_harris_6710;James Harris;35.0;"""Remember water former news pass; Argue though Others red sense reach"""
angel_cox_0647;Angel Cox;84.0;"""Note: Laugh subject soon significant Congress rate; then Compare parent chance pull want"""
dylan_powell_5834;Dylan Powell;91.0;"""(Require ever raise) ; Arrive and Site fire apply develop bit"""
donald_reynolds_4180;Donald Reynolds;36.0;"""Manager animal color center daughter; Well goal meet leg analysis sing ; Citizen statement artist form person the"""
kristin_santiago_0607;Kristin Santiago;34.0;"""Walk radio seven; Ever answer would Successful between building"""
joanne_arnold_0014;Joanne Arnold;10.0;"""(Sing consider) ; Rather gas and Give plant if"""
gina_townsend_8799;Gina Townsend;83.0;"""Better hotel: Picture court; Management often"""
clinton_silva_9907;A;76.0;"""Note: Its mind; then Least including today"""
matthew_solomon_3465;Matthew Solomon;61.0;"""Mother purpose; Girl significant ; Land artist"""
michelle_bates_6344;Michelle Bates;;"""Note: Tonight discover; then Minute standard as recognize"""
tracy_long_0548;Tracy Long;48.0;"""Note: Tonight game method; then Ball exist range parent"""
felicia_johnson_0769;Felicia Johnson;92.0;"""(Religious field executive specific) ; Quickly last and Speak"""
jeffrey_wheeler_1103;Jeffrey Wheeler;24.0;"""Activity run fall beyond minute; Simply entire you tend behind ; Billion be most space doctor"""
joyce_owen_0221;Joyce Owen;46.0;"""Himself high agent current; Explain next positive expect determine ; That ahead drug group"""
kristi_price_6406;Kristi Price;64.0;"""Note: Source; then Relate bar population"""
elizabeth_clark_5678;Elizabeth Clark;100.0;"""Free goal; Its finish ; Instead yeah but"""
lisa_montoya_1676;Lisa Montoya;58.0;"""Finish finish federal road thousand: Section; Truth section hold fire"""
