name,username,score,rating,salary,message
Dale Armstrong,dale_armstrong_6220,38.0,93.1,32.2,"""(Illo) , Labore accusantium sequi and Inventore delectus"""
Jason Wood,jason_wood_0237,56.0,53.1,4.2,"""Necessitatibus adipisci eveniet; Et suscipit , Incidunt quis nisi"""
Mrs Gemma Johnson,mrs_johnson_5583,60.0,99.1,86.2,"""Note: Sint, then Voluptas aliquam blanditiis"""
Ann Marshall,ann_marshall_2176,63.0,83.1,32.2,"""Note: Ullam nihil labore, then Ducimus"""
Daniel Lloyd,daniel_lloyd_5165,29.0,63.1,82.2,"""Deleniti deserunt fugiat: Voluptatibus temporibus quasi, Et sequi animi unde"""
Dr George Stokes,dr_stokes_1387,,36.1,17.2,"""Note: Neque eveniet cum suscipit a, then Consequatur doloribus"""
Ms Jessica Butler,ms_butler_4433,84.0,56.1,67.2,"""Natus officiis maiores dolor voluptatem sapiente: Itaque, Eaque"""
Barry Robertson,barry_robertson_3958,44.0,36.1,14.2,"""(Minus labore) , Velit quam officia and Quia fuga"""
Dr Karl Robinson,dr_robinson_4134,12.0,28.1,93.2,"""Rem; Doloribus necessitatibus , Dignissimos culpa voluptatem quisquam odio pariatur repudiandae"""
Jessica Hall-Barton,jessica_barton_6963,87.0,76.1,,"""(Animi) , Repellendus libero aut vero and Dolores unde"""
Dr Christian Smith,dr_smith_9901,87.0,56.1,55.2,"""Tempore commodi asperiores recusandae necessitatibus sit, Quo optio ab Molestiae doloremque"""
Debra Jones,debra_jones_1246,15.0,57.1,13.2,"""Note: Tempore magnam quia explicabo eveniet, then Deleniti"""
Brenda Bailey,brenda_bailey_4067,64.0,15.1,97.2,"""(Veritatis) , In mollitia autem and Odit eligendi quae fugiat dolores"""
Marcus Hodgson,marcus_hodgson_4440,40.0,28.1,31.2,"""Reiciendis quisquam nam dolore; Quae sequi molestias molestias ab , Quos corporis"""
Marian Carter,marian_carter_3531,89.0,61.1,62.2,"""Velit; Vero natus sit , Aliquam distinctio dolorum expedita"""
Harry James,harry_james_1377,60.0,30.1,65.2,"""Reiciendis, Aut vel voluptas Explicabo"""
Mrs Jenna Bryant,mrs_bryant_7967,32.0,55.1,38.2,"""Reprehenderit: Facilis atque recusandae dolore natus nemo, Consequatur hic tempora"""
Dr Alexander Naylor,dr_naylor_4771,80.0,60.1,26.2,"""(Ab eligendi suscipit maiores) , Aliquid iste and Omnis possimus possimus animi"""
