# This is a comment line to skip
username;name;total_count;rating;age;remark;comment
danielle_morton_9298;Danielle Morton;65.0;85.1;41.2;"""Option when rise; Four doctor but staff call Alone""";"""Hour; Treat ; Show"""
reginald_briggs_4927;Reginald Briggs;45.0;19.1;87.2;"""Past reflect; Remember eight ; Central center""";"""(Customer fine lot) ; Agreement season issue and Exactly mouth read"""
sue_mcguire_1361;Sue Mcguire;19.0;35.1;68.2;"""Hit policy staff usually: Rock important bring; Citizen body""";"""Note: Baby smile set; then So shoulder pattern"""
michael_white_1549;Michael White;70.0;53.1;27.2;"""Note: Change wife; then Happen last""";"""Note: Ok kind affect else without everyone; then Must"""
kelsey_fowler_3751;Kelsey Fowler;41.0;29.1;76.2;"""Note: Against see; then Continue meet""";"""(Garden lot game thank administration have) ; Little investment and Successful expect"""
abigail_gentry_5019;Abigail Gentry;89.0;7.1;33.2;"""Participant idea store; Result indicate ; Wife her purpose""";"""Range church: Five while; Task matter main board"""
alexis_frye_5037;Alexis Frye;94.0;36.1;18.2;"""(Candidate perhaps authority) ; Interview and Law gun""";"""(He agent together last) ; Quality require onto and Provide hotel far"""
kristine_dds_7764;Kristine Patterson DDS;59.0;84.1;40.2;"""(Great perform while) ; Ability to suggest evidence within stay and There of five subject""";"""Note: Sing house; then Threat how fact"""
amanda_cortez_5451;Amanda Cortez;91.0;14.1;14.2;"""Peace work: Yes laugh out western; Tonight north""";"""Student American; Experience down ; Main guess hard or bad debate"""
scott_pollard_2564;Scott Pollard;95.0;66.1;97.2;"""(Population week available with fund man) ; Force center sure crime and Any network notice main""";"""Note: Door; then Campaign mother bill"""
eric_duncan_8714;Eric Duncan;42.0;71.1;36.2;"""(Ahead) ; Good and Short level try place within""";"""Note: Evening although; then Possible"""
vincent_holmes_5269;Vincent Holmes;76.0;38.1;65.2;"""Imagine; Even despite ; Item include stuff just""";"""Imagine worker; Design field Benefit"""
keith_santana_5486;Keith Santana;33.0;36.1;31.2;"""Note: Fall avoid leave try baby; then Approach begin""";"""Increase can seek director; Son good mean actually Bit alone practice"""
patrick_castillo_9324;Patrick Castillo;;97.1;61.2;"""Left enter issue bag its: Style economy; Study act quickly""";"""Market evidence; Instead significant a officer ; New war claim may"""
angela_robinson_7461;Angela Robinson;30.0;65.1;64.2;"""Minute car; Protect ; Second structure follow when sometimes""";"""Follow admit; Cover out Court say"""
luis_evans_5524;Luis Evans;4.0;46.1;87.2;"""Note: Themselves space; then Ago where""";"""List wear approach rather: Station check push; Tend nor"""
mr_md_5554;Mr. Shane Vaughn MD;16.0;4.1;47.2;"""(Easy themselves) ; Draw identify parent cultural yourself evidence and Military national draw world into""";"""Note: Occur; then Remain service general"""
hannah_hamilton_9345;Hannah Hamilton;26.0;16.1;23.2;"""Note: Way religious difficult final; then Good science""";"""Audience fund; Land skill Manage movement"""
ashley_allen_2978;Ashley Allen;84.0;;91.2;"""Watch bring similar last; Security ; Doctor""";"""Note: Avoid; then Billion policy suffer serious war"""
mallory_smith_5973;Mallory Smith;86.0;99.1;39.2;"""Responsibility represent allow; Almost Blood indicate only phone few""";"""Four past president feel; Energy word like ; Person recognize rock"""
thomas_md_9679;Thomas Lopez MD;77.0;81.1;97.2;"""Common study capital safe: Development pull; Serious upon receive land""";"""Power help not laugh anything; Official perhaps himself article they Beat foreign activity the"""
donna_calderon_0985;Donna Calderon;45.0;88.1;91.2;"""(Inside far) ; Prepare and Worry government place person yes what""";"""Name course expert chair; Will its Quickly capital wind step"""
erin_hernandez_3159;Erin Hernandez;100.0;14.1;59.2;"""Offer fish ever before; Public ; Impact election a""";"""Compare different among; Start record five dream improve These return"""
heather_west_2563;Heather West;34.0;90.1;69.2;"""After draw spring: My system; Near""";"""Writer mention; Well war Represent modern"""
christopher_greer_8158;Christopher Greer;66.0;98.1;49.2;"""Note: Level sea fact career theory; then Discussion rock lay black national visit""";"""(Soon take) ; Assume ask ever and Rise seat cut night new"""
michael_cook_3956;Michael Cook;85.0;92.1;26.2;"""(Some section before) ; More out key and Now talk often""";"""Note: Appear institution statement consider year; then Individual total heavy"""
shawn_adams_0925;Shawn Adams;55.0;5.1;30.2;"""During assume; Grow Future candidate""";"""Note: Order hold bill; then Right lawyer"""
brian_davis_8156;Brian Davis;12.0;71.1;78.2;"""Congress ready: Republican break; Alone mouth""";"""Third; Show certain ; She successful care data middle baby"""
hunter_hurley_2462;Hunter Hurley;62.0;3.1;62.2;"""(Group room trade born PM) ; Deal discussion and Tell positive who eye""";"""Note: Religious safe; then Account"""
haley_torres_3563;Haley Torres;89.0;96.1;47.2;"""Design mind sound hear: North same whose hit college return; A health""";"""Serious who anyone deep challenge thousand: Billion notice social significant down special; Mother turn business have"""
thomas_barnes_5225;Thomas Barnes;54.0;26.1;66.2;"""Expect determine per camera: Actually million feeling third; Certain floor radio""";"""(Score effect loss) ; Task effect personal many and Though personal option sure"""
christine_vega_4190;Christine Vega;62.0;83.1;49.2;"""Week; World discuss say Whom just down""";"""Note: Picture television ok; then Money relationship these experience debate"""
