name;rating;total_count;price;message;description
Donald Ortiz;2.0;20.1;1.2;"""Time two dream away; Meet system make Military""";"""Ask play general work; Wife night ; Coach design"""
Jennifer Stone;33.0;14.1;14.2;"""(Structure while) ; Town and Be card last""";"""Must bag various; Market southern share board Born"""
Mr. Kenneth Ritter;25.0;56.1;35.2;"""Treat financial try street produce; Network look tend ; Rather write""";"""Factor hard: Anyone subject grow condition; Face bag"""
William Hall;93.0;54.1;46.2;"""(Politics whether person building choose) ; Develop event defense and Address""";"""Front now group move open; With wrong state Coach summer include"""
Jenna Carlson;74.0;78.1;;"""Effect full clearly street; Get small close ; According door economic""";"""Where record: Worker husband rock; Spend order know"""
Nathaniel Owens;21.0;20.1;94.2;"""Include shoulder; Couple finish ; Share night debate remain career""";"""Note: Even size design husband gun; then Unit such song town write"""
Charles Sanchez;43.0;83.1;53.2;"""Place same: Region operation never use; Fact""";"""Serve true; Two window response ; Yeah local quality save"""
Jamie Rodriguez;43.0;54.1;37.2;"""Weight western; Contain early ; Contain""";"""(Serious) ; Hospital maintain and His plan someone medical loss"""
Ashley Brooks;36.0;48.1;56.2;"""Final husband; Challenge Play weight win activity baby""";"""Seek religious sing pass today quite; Personal Event also"""
Sarah Ortiz;83.0;82.1;3.2;"""Second focus; Bar Agent production""";"""Note: Group discussion town step whom; then Affect western beat"""
Dennis Steele;;76.1;6.2;"""Draw; However dream ; Knowledge eight""";"""Later grow course get; Down together Human mean"""
Kelly Harris;94.0;89.1;52.2;"""Note: Change; then Before""";"""(Home little) ; Laugh event take into laugh involve and Since class nice"""
Rose Moss;67.0;83.1;78.2;"""Note: She; then War""";"""(Real thought while live design) ; Other and Gun myself food soldier PM"""
Emily Hoover;11.0;86.1;100.2;"""Note: Around radio can; then Religious plant wind""";"""(Wall) ; Officer international and Military generation mother"""
Gina Bennett;55.0;94.1;12.2;"""Pick theory; Doctor course fact perform bank Particularly imagine example TV article""";"""Note: Debate gas organization; then Off manage full"""
Emily Hunter;35.0;94.1;57.2;"""(Respond) ; Class star and Decision purpose hope book true""";"""Strong go yes: Second appear material; Onto recently wear maybe"""
Melissa Sutton;14.0;75.1;88.2;"""(Discover research if so) ; Business week and Onto which food""";"""Draw; Interview message treatment begin management ; Season push"""
Susan Koch;92.0;23.1;91.2;"""Citizen various; Quickly have without yet recent ; Animal evening charge""";"""Leave; Time wonder Perform exist television work"""
Desiree Richardson;67.0;66.1;55.2;"""(Page science) ; Play training deal and Congress writer""";"""Note: Next bank number; then Guess"""
John Barton;53.0;30.1;29.2;"""Break price; Radio company fear front ; Cost bag record be subject""";"""Note: Order about course score; then Executive"""
Mark Walton;94.0;23.1;40.2;"""Note: Line side one; then Paper manage mind candidate why bit""";"""Look thus field; School walk top many side ; Morning agency husband"""
Mrs. Karen Johnson DVM;43.0;40.1;6.2;"""Month able professional; Fish health recent I ; Energy mention yes""";"""(Never expect) ; Record water and Environment none"""
Michelle Franklin;20.0;11.1;94.2;"""Note: Rise situation continue; then Hour sing impact""";"""Note: Must talk when; then Strong church number everything care"""
Susan Wright;68.0;;2.2;"""(Possible) ; Often especially knowledge and Artist week north gas""";"""Whose: Claim; Kitchen official strategy open better"""
John Sims;6.0;33.1;87.2;"""Bad surface; Author goal church if Protect southern it audience cause""";"""More federal; Building eye everything three wind the Dinner listen arm"""
Deborah Washington;93.0;34.1;88.2;"""Provide head; And Sense type here""";"""Bad describe small happen: Today picture within; Sort agency"""
Robert Gibbs;57.0;37.1;63.2;"""(Generation brother former) ; Sometimes these and Need population physical change""";"""Administration foreign town believe nearly; While available exist Price cell note there inside future"""
Evan Clark;58.0;22.1;42.2;"""Note: Network worry series culture; then Scientist talk spring product media""";"""Past forward provide dream sea: First view; Before"""
Rachel Calderon;48.0;64.1;1.2;"""Stage ready candidate; Doctor ; Senior full enough""";"""One authority: Show management or; Threat trade all evening institution else"""
Jeffrey Benjamin;97.0;58.1;95.2;"""Material finish throw own; Represent military couple Pretty""";"""Any onto item; Still because stage difficult Which"""
e;22.0;63.1;75.2;"""Dark force build someone; Sound piece ; Sense spend decide always""";"""Democratic standard stuff: Authority ten ok light; Official"""
Julia Boone;100.0;19.1;77.2;"""Suddenly wind board clearly; Rest plan believe poor a Man defense financial term""";"""Note: Different true environment near these; then Any either husband"""
Michael Morse;30.0;77.1;6.2;"""Station bit call me; Range fear bag painting war author Generation""";"""Church next; Building meet Run series"""
Justin Carter;29.0;50.1;43.2;"""Note: Argue light condition; then Many threat""";"""Note: Claim stuff government southern hundred; then Late accept body"""
Matthew Smith;70.0;89.1;42.2;"""Base difficult decide air others sometimes; Body choice fear guy Others occur long fire close""";"""Season art spring way yeah; Ahead read imagine what view father ; Forward"""
