name;salary;score;total_count;comment
Brandon Levy;58.0;;83.2;"""Head theory eye word; Poor Likely political particularly"""
Grace Young;94.0;75.1;55.2;"""Or type; Happen hope authority ; Range"""
Erin Blake;33.0;97.1;28.2;"""(Present decision state but) ; Available summer and Small without"""
James Levy;58.0;35.1;24.2;"""Similar condition report; Bit ; However reveal accept black glass"""
Brenda Taylor;97.0;41.1;37.2;"""Team game: Where so; A back protect"""
Sandra Allen;33.0;31.1;73.2;"""They defense war; Figure animal ; Dark notice contain population throughout indicate way"""
Christopher Nguyen;22.0;34.1;85.2;"""(Participant wonder) ; Actually consider and Share"""
Steven Davis;100.0;94.1;83.2;"""Note: Beyond property music; then Boy"""
Susan Horton;87.0;76.1;4.2;"""Note: Leave year; then You these accept drop"""
Clayton Mcguire;59.0;17.1;1.2;"""Become relate American: Mouth international my yard; Glass if check view"""
Victoria Martinez;74.0;78.1;38.2;"""Action box whatever contain; Police right institution activity Experience picture force culture lose blood"""
Mark Stevenson;75.0;40.1;78.2;"""War like; Better discover throw Join late well edge recognize response"""
Michael Brown;79.0;87.1;15.2;"""Sort: Soon next never culture; But"""
Timothy Thomas;10.0;21.1;33.2;"""Audience street kid close; Television off agent ; Leave pattern"""
Cody Mitchell;36.0;89.1;27.2;"""Author enter: Travel price your; Surface win must marriage"""
Abigail Williams;86.0;63.1;97.2;"""(Center realize because fire) ; Thought radio and Evidence wide"""
Donna Fox;96.0;57.1;23.2;"""(Why suffer) ; Head and Up"""
Sharon Hall;7.0;45.1;19.2;"""Note: Whole medical; then Cultural sense feeling behavior"""
Amy Daniels;73.0;78.1;96.2;"""Oil gas bed; Call bring tough actually ; Carry explain culture"""
Michael Perkins;11.0;98.1;8.2;"""(Since) ; Employee have or fund simply check and Remember son adult hour"""
Jonathan Martin;89.0;26.1;61.2;"""Note: Evidence positive; then Kind return national hospital"""
Brenda Harrison;93.0;91.1;21.2;"""Myself up style: Amount daughter house wrong quite; Away send"""
Michael Schneider;85.0;71.1;40.2;"""Clearly relationship trip Mr daughter; Back across ; Up believe week management"""
James Mcgrath;;11.1;26.2;"""Study thus information; Tonight standard size Someone entire close"""
Michael Thomas;20.0;34.1;40.2;"""(Begin music somebody fact) ; Arrive and Or simply"""
Donald Brown;68.0;70.1;93.2;"""(Central husband coach past) ; Way effect and From kid that"""
Michael Long;94.0;79.1;60.2;"""Product scientist: Poor; Administration her"""
David Smith;84.0;49.1;23.2;"""Ground dream street: Teach agency action guess; School water know decision surface"""
Diane Carpenter;44.0;3.1;89.2;"""Yourself only ability family whole either; Learn somebody subject Want create short"""
Carolyn Molina;82.0;18.1;55.2;"""Note: Street; then Amount trial after team"""
Alan Mcdaniel;26.0;13.1;79.2;"""Wife hand tax; Huge seem Bill no"""
Jennifer Stanley;43.0;15.1;32.2;"""(Dinner interview too) ; Take even manager animal and Top best"""
Danielle Hull;20.0;79.1;3.2;"""(Price alone various power go cell) ; Person and Establish successful"""
George Freeman;64.0;2.1;56.2;"""Meet listen fish join training; Nature cultural Offer listen it movie sense much"""
Barbara Owen;13.0;18.1;63.2;"""Down discover: Some drug teach; Role somebody east"""
Debra Brown;86.0;74.1;44.2;"""Note: Scene; then Especially stay reveal"""
Sabrina Morris;42.0;53.1;32.2;"""(Kind might commercial owner success) ; Accept everything partner and Total"""
Theresa Willis;66.0;34.1;23.2;"""It career; Others adult everything treat Rock"""
Joseph Gibbs;17.0;66.1;;"""(Board return) ; Sing situation standard and Sell operation family eye want"""
e;33.0;17.1;52.2;"""Consider time one speech capital; Go scientist very ; Group"""
James Thompson;26.0;76.1;22.2;"""Find; Possible market think ; Beat whether enjoy health meeting"""
Anna Garcia;1.0;86.1;71.2;"""Learn play natural control despite; Four job Yes never"""
Anthony Landry;26.0;67.1;22.2;"""Place sell; Garden themselves Pm cover prove live response"""
Kimberly Jones;31.0;13.1;31.2;"""Natural; Miss decide note company pay Sea send short"""
Bradley Chapman;13.0;93.1;96.2;"""(Place camera process grow officer month) ; Song bag him and Issue dream"""
Claire Hardy;70.0;11.1;32.2;"""Full defense industry color process; Gas program easy some generation Science drug"""
Juan Browning;28.0;8.1;35.2;"""(Morning) ; But and Ready hear charge present eight nation"""
Jessica Hart;56.0;83.1;42.2;"""Woman; Hour main ; Offer along law"""
Amy Williams;71.0;60.1;3.2;"""Catch boy too key three see: Fact; Ask seem"""
Kenneth Briggs;91.0;75.1;71.2;"""Note: Surface owner; then Station sing house together best marriage"""
