name;username;score;remark;note
Pauline Bull-Hudson;pauline_hudson_5906;28.0;'''(Odio repudiandae eius) ; Soluta quod and Vel quia asperiores unde ipsum''';'''Note: Accusantium tenetur; then Laudantium inventore impedit dolore labore'''
Margaret Morgan;margaret_morgan_9061;2.0;'''Quia eius doloribus ullam libero; Totam temporibus a doloremque ; Reiciendis''';'''Note: Tempore consequatur; then Quod soluta'''
Miss June Hall;miss_hall_3466;68.0;'''(Porro sed) ; Laboriosam and Doloribus ducimus facere''';'''(Doloribus tempora cumque) ; Exercitationem molestiae and Perspiciatis amet'''
Dr Bernard Martin;dr_martin_3649;96.0;'''(Officia) ; Eveniet veritatis and Enim cupiditate eaque aliquid''';'''Fugiat laborum consequuntur a vitae; Maiores saepe neque quam ; Consequatur'''
Charlie Wood;charlie_wood_3552;88.0;'''Debitis facere ipsa minima: Nihil; Ab consequuntur''';'''Note: Cupiditate; then Qui ea debitis'''
Gail Roberts-Henry;gail_henry_6898;91.0;'''Soluta est maiores ratione quibusdam itaque: Sit molestias eaque; Impedit voluptatibus et eligendi est''';'''Note: Aliquam excepturi iusto omnis; then Quaerat'''
Daniel McDonald;daniel_mcdonald_3837;7.0;'''(Soluta labore illum) ; Modi accusantium minus and Officia rerum cupiditate''';'''Note: Excepturi enim iste; then Distinctio reiciendis veniam'''
e;gavin_metcalfe_4834;89.0;'''(Delectus officiis molestiae) ; Nisi magni and Incidunt perspiciatis ipsum''';'''Voluptates excepturi: Praesentium amet; Rerum inventore'''
Ms Lindsey Hardy;ms_hardy_7641;74.0;'''Note: Recusandae porro saepe; then Magni''';'''Nemo commodi; Nisi Velit'''
Michael Winter;michael_winter_9814;52.0;'''Nemo; Impedit ex asperiores debitis Sint minima voluptates error cum''';'''(Nemo praesentium) ; Dolor quae exercitationem and Quaerat aspernatur temporibus'''
Dr Jay Nolan;dr_nolan_1629;15.0;'''(Temporibus autem qui excepturi culpa dolore) ; Veritatis and At ducimus nisi voluptas fuga velit''';'''Nobis magnam ea: Perspiciatis animi doloremque id debitis; Iusto laudantium'''
Annette Lee;annette_lee_8639;33.0;'''Doloremque ipsam quas; A mollitia ; Provident''';'''(Tenetur atque) ; Ratione maiores and Consequatur voluptate perspiciatis'''
Damian Ellis;damian_ellis_6209;71.0;'''Reiciendis delectus in earum; Repellat consequatur ratione ; Magni repudiandae enim''';'''Note: Officia provident officiis; then Earum praesentium debitis laboriosam expedita'''
Geraldine Brown;geraldine_brown_0750;90.0;'''Earum; Dolorum fuga dolore voluptatem eum expedita ; Rerum cumque et laborum''';'''Labore; Eos aspernatur ; Similique nulla et atque nobis'''
Max Kaur-Cameron;max_cameron_6330;35.0;'''Reiciendis; Dignissimos excepturi Temporibus ad''';'''(Aut odit vero) ; Maxime aliquid and Pariatur occaecati'''
Dr Norman Fleming;dr_fleming_6171;63.0;'''Ipsa; Iure molestias ullam Atque officia non''';'''Note: Occaecati; then Unde nemo'''
