# This is a comment line to skip
username;salary;price;rating;note
mr_williams_8061;91.0;29.1;18.2;'''Quasi debitis ab: Qui; Laborum'''
wendy_harrison_4668;31.0;61.1;44.2;'''Nobis ipsa: Eligendi laudantium sint; Ex iusto'''
dr_hall_4535;60.0;16.1;58.2;'''Accusamus sunt doloribus consequuntur; Vel voluptatem Necessitatibus exercitationem eum'''
ms_ryan_3893;18.0;94.1;9.2;'''Suscipit consectetur; Quia perspiciatis consequatur Aperiam illum'''
abbie_lamb_0086;68.0;40.1;86.2;'''(Fuga eos ducimus quasi sint) ; Sit deleniti voluptates and Optio minima'''
pauline_baldwin_2790;67.0;98.1;19.2;'''(Culpa) ; Impedit dignissimos inventore and Quas culpa sit aliquam'''
mr_bowen_3310;15.0;35.1;34.2;'''Recusandae modi excepturi; Quos deleniti nobis Alias eligendi'''
miss_hall_6364;88.0;48.1;17.2;'''Note: Mollitia cumque eos corrupti sit voluptatem; then Aperiam eius accusamus ab nobis tempora id'''
dr_davies_3089;85.0;90.1;20.2;'''Magnam: Aperiam eveniet; Quam porro vel rem perspiciatis enim'''
katy_kirk_7711;1.0;99.1;95.2;'''Note: Quaerat; then Nobis ut harum tempora'''
john_ward_4635;68.0;80.1;25.2;'''(Consequatur) ; Expedita sapiente and Sunt non atque repellat'''
kathleen_smith_4663;99.0;11.1;35.2;'''(Soluta quasi) ; Et deserunt debitis aperiam and Ea quis iusto'''
iain_smith_5282;9.0;96.1;57.2;'''(Aliquid sed) ; Porro esse eum veritatis ab and Voluptatibus veritatis id'''
ms_davey_0797;76.0;14.1;45.2;'''Note: Nostrum facere earum praesentium repudiandae; then Ipsam'''
jade_skinner_9452;21.0;33.1;43.2;'''Consectetur earum; Harum doloremque neque Eius neque'''
ms_conway_0770;17.0;87.1;8.2;'''Ducimus quod fugit numquam; Ab quo autem omnis laudantium ; Rerum aspernatur alias'''
nicholas_smith_3645;67.0;29.1;80.2;'''Note: Numquam quas; then Quasi et maxime sunt minima'''
kate_hall_6406;23.0;4.1;51.2;'''Voluptas sit; Numquam aut a eaque ; Molestias minima sit'''
mr_moore_1265;85.0;66.1;36.2;'''Reprehenderit quidem; Fugit odio incidunt ; Ipsam sed'''
allan_johnson_7276;74.0;97.1;99.2;'''(Eaque cum repudiandae voluptas) ; Culpa nostrum and Aspernatur'''
dr_day_0189;30.0;68.1;80.2;'''Note: Similique harum corrupti; then Vero tenetur'''
bethan_walker_7255;;37.1;4.2;'''(Placeat voluptatibus itaque) ; Porro quia cupiditate repellendus and Ab dolorem asperiores a'''
mr_summers_9857;34.0;98.1;11.2;'''(Hic in consequuntur tempora) ; Minima and Debitis deleniti illum'''
nathan_lambert_2646;100.0;16.1;65.2;'''Ut: Aliquam distinctio perspiciatis maiores; Accusamus magnam accusantium'''
jake_jones_4655;23.0;;19.2;'''Aperiam a; Velit illo ; Magni saepe'''
dr_white_0082;56.0;70.1;7.2;'''Note: Temporibus unde quae deleniti aspernatur dolor; then Deserunt velit deserunt libero facere'''
katy_graham_4249;87.0;78.1;88.2;'''Note: Nam quia omnis; then Amet inventore sequi'''
victor_powell_0046;6.0;52.1;;'''In officiis maxime; Blanditiis commodi sequi Explicabo animi odit'''
edward_knowles_1106;90.0;65.1;55.2;'''Quo quas accusantium totam ab: Eos porro; Reprehenderit nisi'''
abbie_wheeler_7886;51.0;47.1;6.2;'''Sequi; Consequuntur ; Reprehenderit dicta animi'''
charlotte_singh_4122;74.0;83.1;84.2;'''Modi molestiae; Nostrum repudiandae ; Consequuntur iure'''
mrs_ward_0121;88.0;73.1;93.2;'''Illo reiciendis; Aut nam Ullam est'''
ronald_greenwood_3405;93.0;98.1;75.2;'''(Nemo enim a tenetur) ; Sint and Mollitia enim soluta adipisci alias'''
dennis_martin_6603;36.0;38.1;33.2;'''Note: Sunt expedita nemo; then Cupiditate vitae quod minus corporis'''
mrs_brown_3018;87.0;20.1;79.2;'''Maiores maiores accusantium; Ut enim laboriosam iusto temporibus Perferendis earum natus explicabo odit voluptates'''
toby_lewis_1707;7.0;16.1;12.2;'''Maxime fuga similique; Error sint inventore culpa quasi Velit officiis sint et'''
bethan_wall_0381;16.0;19.1;16.2;'''Ex possimus eligendi: Deleniti fugit; Deleniti tempora'''
mandy_harrison_9544;30.0;59.1;94.2;'''Itaque aut nisi; Molestias nihil ; Totam non tempore'''
janet_wright_0990;7.0;42.1;62.2;'''Nihil; Corporis fugit libero Quod sapiente voluptatem'''
harry_taylor_2800;75.0;22.1;37.2;'''(Fuga aut fuga rerum doloribus) ; Ipsa deleniti officiis soluta qui tenetur explicabo and Autem occaecati'''
dale_begum_2327;19.0;6.1;76.2;'''Et impedit magni maxime dolore: Facilis possimus vitae provident; Dicta'''
mrs_stephenson_6334;68.0;91.1;12.2;'''Tempore et eius: Id natus corrupti; Dignissimos at nisi'''
callum_bell_7844;90.0;94.1;39.2;'''Voluptates consectetur totam: Ab; Commodi voluptas'''
dr_evans_8970;56.0;99.1;6.2;'''Aliquid hic magni; Fuga nesciunt quisquam ; Deleniti fugit doloremque dolor'''
carol_pearson_5534;25.0;25.1;83.2;'''Reprehenderit magnam: Hic corrupti; Corrupti'''
