name;username;salary;rating;score;comment
Dr Roy Woods;dr_woods_5840;21.0;85.1;17.2;"""(Molestias odio iure error) ; Unde odit accusantium and Ullam est molestias"""
Dr Marian Hunter;dr_hunter_5390;65.0;98.1;73.2;"""Note: Alias voluptatem; then Fugiat"""
Dr Vanessa Lee;dr_lee_1465;74.0;10.1;10.2;"""Note: Rem non excepturi corrupti; then Magni quidem assumenda placeat ut perferendis"""
Stacey Barrett-Bull;stacey_bull_4037;52.0;86.1;96.2;"""Natus cum fugiat; Iure est ; Placeat atque"""
Gareth Frost-Wilson;gareth_wilson_7807;;66.1;54.2;"""Dignissimos numquam ullam; Architecto tempore sapiente optio Illo tempora totam"""
Mrs Zoe Scott;mrs_scott_1938;60.0;87.1;58.2;"""(Nihil beatae beatae molestias) ; Dolores voluptate and Itaque voluptate"""
Abigail Williams;abigail_williams_4000;15.0;78.1;66.2;"""Provident doloremque; Molestiae fuga perferendis iusto quasi sit ; Quis velit corrupti vero consequuntur officiis"""
Mr Lee Patel;mr_patel_6059;32.0;6.1;98.2;"""Dolores culpa et temporibus maiores id; Ratione architecto alias tempora iure ; Incidunt nesciunt"""
Mrs Tina Brown;mrs_brown_8476;1.0;93.1;60.2;"""Vitae maxime; Animi nemo quod mollitia Impedit at pariatur"""
June Sanderson;june_sanderson_5680;79.0;66.1;78.2;"""Excepturi fugit: Odit eligendi magni autem; Cum impedit in"""
Naomi Robinson-Turner;naomi_turner_8438;23.0;36.1;74.2;"""Sit repellendus porro; Saepe non quidem sit ; Maxime eos doloremque ipsum"""
Geraldine Willis;geraldine_willis_2097;21.0;16.1;97.2;"""Iste est; Saepe iure soluta totam hic ; Distinctio dolores"""
Ms Angela Roberts;ms_roberts_1948;9.0;52.1;98.2;"""Est ratione; Eum dolores ; Minima"""
Ms Gemma Lewis;ms_lewis_7446;67.0;82.1;66.2;"""Note: Esse voluptatum dicta nostrum sunt asperiores; then Tempore"""
