# This is a comment line to skip
username,score,total_count,salary,summary
steven_marshall_0241,22.0,,36.2,'''Our or: Technology ever partner final, Skin statement art across'''
jennifer_hogan_6595,44.0,50.1,82.2,'''Do quickly: Pass today by eat suddenly, Thing fast'''
jennifer_brown_8594,89.0,8.1,79.2,'''Field generation wind doctor sport; Factor game especially , Send coach series'''
thomas_stone_5837,41.0,68.1,26.2,'''Everybody century agreement million; Theory organization cup , Experience stuff when attack space'''
christopher_gonzalez_4901,81.0,35.1,91.2,'''Note: Daughter resource, then Discussion pick'''
jennifer_lopez_2902,97.0,84.1,11.2,'''(Lay) , Image watch and Charge he idea'''
ryan_holt_8113,53.0,53.1,79.2,'''Record newspaper; Assume then , Or sure'''
laura_marks_2063,80.0,71.1,76.2,'''Sing tree from: View who himself, Gas church guess son'''
james_jackson_3977,78.0,29.1,43.2,'''Free organization defense determine: Street side improve, Company start foot'''
ricardo_preston_3332,37.0,77.1,99.2,'''Dinner as: Relate indeed past possible record carry, Skin woman home'''
colleen_berry_1979,57.0,1.1,22.2,'''Foot travel indeed car answer; Cell notice work and , Stop decade positive beyond'''
stephen_villarreal_0066,,4.1,85.2,'''Information cultural: Magazine training put as, Add upon'''
mr_ii_4134,16.0,71.1,45.2,'''Nearly situation; Music population what , Good low'''
john_morrow_3816,12.0,72.1,36.2,'''Enough, Line American well Represent language be'''
andrew_roberts_0558,85.0,81.1,65.2,'''Note: Oil pay Congress accept inside indicate, then Expert choose any side'''
heather_cook_9932,42.0,15.1,8.2,'''Note: Entire who country, then Decision spring end'''
holly_turner_9512,82.0,22.1,,'''(Accept these poor) , Everyone program and National if though'''
douglas_lane_2731,61.0,92.1,6.2,'''Note: Young identify, then Skill'''
adam_alvarez_4822,70.0,44.1,85.2,'''Note: Week manage, then Guess clearly learn'''
andrea_williams_3472,62.0,73.1,9.2,'''Minute still; Deep , Learn cause'''
