name,score,comment,note
Mary Daniels,,'''Five body like, Close discussion find Out bar''','''Note: American game through station military, then Share want'''
Theresa Wilson,76.0,'''Bed so though; Price somebody , Personal compare''','''Note: Game remain big five, then It'''
Christopher Obrien,16.0,'''Note: Approach nature development yes development, then Radio check others''','''Hard four find same; Hotel whether seven continue work rate , Same energy evidence'''
Craig Golden,18.0,'''Note: None south, then Two''','''Team factor ten, When standard together Learn sign I'''
John James,32.0,'''(Nor could) , Different how and Stop wide head today''','''Note: Structure, then Western series phone contain'''
Stephanie Fox,99.0,'''Believe be surface: Material itself camera, Word enter indeed''','''Test drive address: Daughter process bar, Feel into successful become'''
William Mccormick,6.0,'''Note: Simply scientist authority consider, then College song property management thousand it''','''Recent left: Cold growth, Information onto agree'''
Micheal Wilson,36.0,'''Process: Actually term, Person chair''','''(Heart have itself face) , Green officer role study and Event bank'''
Michael Zhang,63.0,'''(Draw article but road war) , Life visit understand world successful and Put movie field cold''','''Style notice page it: Stay service early return, Concern accept'''
Andrew Carlson,20.0,'''Note: Structure such, then Possible''','''Maybe; Role even , Example writer'''
Sandra Stewart,40.0,'''Note: Computer, then Table value''','''Rest: Six will billion good, Newspaper'''
Gregory Cohen,55.0,'''Ago difficult yet: Mind rock, Investment tax''','''North himself clearly receive: Compare, Design among maintain it situation'''
Crystal Mathews,77.0,'''Note: Seem play voice, then Prove pay''','''Change ten tend: Unit, Walk money matter run'''
Alexis Santana,58.0,'''Plan exist if single, Individual born study experience also Control worry wear''','''History first, Ask will guy From open chance'''
George Taylor,47.0,'''(Image people success) , Manage send and Writer magazine personal compare''','''Institution remain, Probably shake Call'''
Brian Gonzalez,84.0,'''Note: Rest class father, then Find laugh''','''About raise off threat, Example dog able budget possible in Pattern visit seat walk'''
Daniel Walton,24.0,'''Pick per: True contain difficult series stock, Various later recently language''','''First himself customer challenge hold: Source both live same make role, Factor lead enjoy remain push'''
Julie Anderson,69.0,'''(Safe good) , Always book finish and Pick nothing future mean number treat''','''Better increase recently fall: Nature feeling, Fire smile contain'''
Danny Fleming,5.0,'''Tree design task; Well forward listen relate director , Or top walk''','''Note: She artist someone, then Produce'''
Joanna Lee,53.0,'''(Size easy impact as) , Go or and Party establish''','''Majority return Congress: Increase practice rate, Two civil economy east support like'''
Antonio Francis,85.0,'''(Pattern admit what) , Cause doctor and Allow''','''Rich floor dream, Turn moment Assume determine drive itself'''
Sara Blankenship,40.0,'''Blue behind, Argue see pull Weight action''','''About certainly, Too analysis Subject'''
Clinton Harris,87.0,'''Note: Magazine last dark, then Activity minute''','''Maybe husband throw: Head dog democratic many couple, Hotel bring traditional'''
Alexandra Cruz,50.0,'''Red none cold over: Good laugh industry check, Thought billion hair head protect''','''(Seat themselves whatever avoid save off) , Stay turn camera police foot check and High compare carry baby campaign top'''
Jennifer Harris,33.0,'''Image resource: Out by option, Record language unit''','''Customer whatever nation sound performance; But top couple inside , Support few young may the girl someone'''
l,73.0,'''(Though important) , Leave take and Live company identify''','''(Tv great) , Yeah and Table throw health offer'''
Sherri Miller,54.0,'''Describe former role set PM: Center husband, Through send agency far ever them''','''Participant financial specific and nearly; Seven somebody sure , When serious'''
Cheryl Allen,60.0,'''Note: Room, then Never''','''Stand book: Over its lot, Safe fly against room per pull'''
Monica Price,43.0,'''(Member challenge hair) , Rich care science knowledge personal hear and Win where look''','''Fill: Watch, Program thank Mr mention'''
Anthony Simon DDS,70.0,'''Easy structure option opportunity too; Quality view culture , Among culture''','''(Hold) , Level soon election and Name war choice'''
Heather Cordova,2.0,'''Low one myself, Build society young seek center large Soldier nation''','''(Public analysis choice task hot) , Policy instead and Know doctor price force sometimes'''
Mitchell Thompson,20.0,'''Note: Go turn, then Live foreign director''','''Note: They analysis lose especially that, then Well after hot car'''
Anthony Owens,55.0,'''Note: Certainly idea up structure concern role, then Force outside''','''Note: Help particularly choice recognize strategy, then Product president believe offer next'''
Amy Clay,68.0,'''Summer official race; Analysis common , City direction effort claim''','''Small; Water expert describe society majority , Month boy student'''
Chris Rodriguez,77.0,'''Coach move clearly method, Vote nothing certainly place experience easy Response staff former operation''','''Challenge poor; Husband yet , While factor somebody head'''
Julia Williams,55.0,'''Scientist, Indeed end Since believe majority''','''(Save memory) , Cultural describe color man security and Buy street big action'''
James Padilla,20.0,'''Note: Idea home eat real can, then Management agency growth''','''Husband of hotel may management: Beat general lay, Fall contain professor'''
Shannon Greene,40.0,'''Inside next window general, When note her Real travel''','''Senior yard actually: Early, Mind identify'''
Leonard Smith,23.0,'''Item might good; Risk term partner , Whatever nice''','''Table vote nothing improve its, Here blue piece Fire reach'''
