name,username,salary,price,remark
Alexander Lewis,alexander_lewis_3329,60.0,65.1,'''Note: Hold identify, then And such once'''
Mrs. Carolyn Cordova,mrs_cordova_5249,17.0,5.1,'''Note: Election room in, then Follow'''
Jennifer Gray,jennifer_gray_6659,46.0,20.1,'''So: High during, Reduce'''
Mr. Stephen Bender,mr_bender_7588,81.0,81.1,'''Usually rather ten air couple wait; Wish , Blue assume add establish'''
Elizabeth Miller,elizabeth_miller_3928,95.0,27.1,'''Blood himself where leg; Stage tonight , Road both team catch particular'''
Brittany Green,brittany_green_1694,84.0,29.1,'''Resource wish be movement; Themselves boy budget , Gas debate few'''
Raymond Taylor,raymond_taylor_2665,96.0,100.1,'''Employee first gun design, Structure Eight up star'''
Sara Dodson,sara_dodson_6230,53.0,39.1,'''Argue property fish range; Pull room society be central , Good realize red'''
Juan Gomez,juan_gomez_9592,24.0,43.1,'''Author: Authority interesting air power, Brother'''
Michael Heath,michael_heath_9067,96.0,21.1,'''Second already; Might company control , Learn gun stage'''
A,karen_jenkins_6458,73.0,73.1,'''Note: State whose drop order, then Past everything'''
Joseph Ritter,joseph_ritter_8770,59.0,89.1,'''Note: Else from large, then Two partner father'''
Austin Brown,austin_brown_2932,,68.1,'''Reduce your; Discussion size marriage , Each stock perhaps best'''
Olivia Gonzalez,olivia_gonzalez_8633,91.0,97.1,'''(Environment you teacher and I move choose) , Certainly small seat and Together politics'''
Paula West,paula_west_4128,9.0,17.1,'''Note: Life suggest, then Traditional one'''
Beverly Wood,beverly_wood_7248,56.0,81.1,'''Option our side design maintain TV; Hear worry return professor sign cultural , Television'''
Ashley Crawford,ashley_crawford_8007,4.0,2.1,'''(Make care) , Expect character and Try that'''
Isaiah Rose,isaiah_rose_1287,55.0,,'''Lose get next leave blue class; Whom best , Media stock'''
Hailey Bennett,hailey_bennett_3397,76.0,8.1,'''(Quickly argue teach) , Apply perhaps prevent million and Pass whose report'''
Paul Turner,paul_turner_1602,91.0,79.1,'''Others enough; Agreement any miss another include , Hospital next'''
David Huang,david_huang_5123,63.0,61.1,'''Area contain best discuss a language: Price can drop recognize, Technology move open usually civil'''
Gabrielle Henry,gabrielle_henry_9906,13.0,99.1,'''Property nearly: Movement human TV local, Maintain each herself treat how almost'''
Amanda Holt,amanda_holt_5157,55.0,44.1,'''End: Go us couple, Mr third model dog'''
Justin Smith,justin_smith_0682,47.0,45.1,'''Note: Development area sort, then Focus account'''
Katherine Wood,katherine_wood_0462,67.0,46.1,'''Note: My your occur population, then Security green idea'''
James Leonard,james_leonard_4124,92.0,75.1,'''Oil within throughout: Number within, Order almost front property story'''
Mr. Gary Price,mr_price_0554,93.0,11.1,'''Technology study, Beyond word Spring guess'''
Jacqueline Waller,jacqueline_waller_5623,59.0,57.1,'''Toward, Police This run'''
Christina Fitzgerald,christina_fitzgerald_7625,19.0,60.1,'''Then across short prevent bank: Approach reveal, Instead beat quality article'''
Melissa Strong,melissa_strong_6867,36.0,61.1,'''Administration finally leader, Option opportunity Watch film certain indicate'''
Mathew Vazquez,mathew_vazquez_1723,97.0,95.1,'''Note: Include side, then Them history'''
Levi Velasquez,levi_velasquez_1505,91.0,60.1,'''Boy within remain recognize deep nice, Social finish Number spring push sit'''
Sarah Thompson,sarah_thompson_6392,85.0,2.1,'''Purpose make light majority amount; Friend crime they specific notice , Long stock purpose mean wait'''
John Castaneda,john_castaneda_2371,8.0,12.1,'''(Suggest front per) , Economic one always very and Support street'''
