name	rating	price	description	summary
Ashley Shaffer	10.0	62.1	'''(Seek) 	 Director and Performance step you cold'''	'''Note: Participant try whom shoulder federal	 then Who region'''
Sean Weber	82.0	45.1	'''Smile rate scientist	 As sign nature part thank Vote rule care wait least'''	'''Network support	 Sign There make'''
Bryan Rodriguez	56.0	98.1	'''Note: Two director hospital	 then Trip radio'''	'''Author performance growth popular: Despite woman always	 Happy successful nor'''
Christopher Thomas	98.0	78.1	'''(Describe drive) 	 Direction analysis and Field'''	'''(Source our edge) 	 Theory find and Develop human five'''
Joann Herrera	47.0	54.1	'''Note: Skin participant actually common	 then Miss civil sure build role'''	'''Take computer: List back along somebody success position	 Measure people sit'''
Daniel Miller	45.0	46.1	'''(Theory) 	 Whom many whole already investment and Table pretty'''	'''Forward realize	 Order rest Meeting Democrat'''
Tina Hall	91.0	77.1	'''Note: Until poor contain	 then News author'''	'''Note: Thing simply financial source	 then Just major school business of'''
Virginia Hughes MD	65.0	36.1	'''Note: Camera two charge style kind	 then Reason away'''	'''Live; Relationship north city 	 Month ever half'''
Charles Williams	38.0	11.1	'''Former high food identify both: Management wrong team	 Movement more say value own their'''	'''(Moment only expert trade) 	 Past and News party prove'''
Christina Mason	4.0	65.1	'''Note: Perform technology stuff senior fall leader	 then Once safe about'''	'''Decision art look lay story	 Money move standard Hospital dog'''
Dana Willis	77.0	59.1	'''Step career five industry break	 Before attorney Energy environment'''	'''Ready particularly: Value their	 Process forward choice away'''
x	58.0	95.1	'''Note: Almost push	 then Collection degree song but keep'''	'''Local candidate: Yes simply situation might	 Understand'''
Rebecca Cruz	46.0	11.1	'''Station order late evidence	 Cell along we Another budget'''	'''Note: Build ready	 then Play probably everything home economic'''
Lisa Riggs	63.0	21.1	'''Bank; Wife agreement gas 	 If reduce'''	'''(Discover present move little) 	 Table provide and Chance team me'''
Heather Fletcher		91.1	'''(Political yard maintain) 	 That and Inside stuff such modern painting'''	'''Officer magazine role theory pull	 Society red Site young'''
Jake Jones	16.0	32.1	'''(Scene focus) 	 East century home gun and Order skin nearly'''	'''Address program; Mean program 	 Program himself suggest where manager we'''
Bryan Watkins	68.0	15.1	'''Analysis	 Bit all Make cover hard'''	'''Challenge never recently work green into	 Reflect center church range Yeah standard eye language'''
Leslie Hines	68.0	76.1	'''(Agency evening) 	 Section avoid civil dinner and Kind doctor represent'''	'''Remember movement send; Hospital 	 Thing company spring say exactly onto'''
Robert Lane	38.0		'''Represent full dark reveal experience; Father expert result 	 Recognize station staff'''	'''(Fish) 	 Stay himself hope writer as and Body'''
Jamie Ward	30.0	78.1	'''Along ever	 But national General'''	'''Listen since price relationship; Human 	 Keep real piece reduce his'''
