# This is a comment line to skip
username;name;age;score;price;remark
jordan_carroll_5325;Jordan Carroll;74.0;67.1;26.2;"""Note: Aut voluptates; then Necessitatibus maiores accusantium beatae impedit"""
leigh_herbert_0198;Leigh Herbert;78.0;63.1;17.2;"""(Architecto dolores) ; Dicta repellendus molestiae illum and Molestias error"""
joanna_tucker_5438;Joanna Tucker;27.0;10.1;;"""Note: Nobis tempore aliquid mollitia; then Et asperiores nisi"""
mrs_walker_9396;Mrs Sophie Walker;14.0;64.1;55.2;"""(Esse tempore) ; Et laboriosam iusto harum tenetur aspernatur and Corporis"""
jonathan_davis_9579;Jonathan Roberts-Davis;19.0;80.1;61.2;"""(Repudiandae veritatis) ; Distinctio laborum and Dolore nam"""
mr_cartwright_4679;Mr Joseph Cartwright;38.0;14.1;2.2;"""Modi sequi eum: Itaque iste minima; Repudiandae ipsam soluta"""
christopher_mclean_9159;Christopher Booth-McLean;53.0;;71.2;"""Quisquam alias: Atque magnam magnam; Et nesciunt quidem"""
debra_patel_2705;Debra Patel;30.0;12.1;50.2;"""(Accusamus vitae a impedit aliquam) ; Consequatur dolores and Doloribus placeat culpa possimus adipisci"""
connor_patel_9889;Connor Richardson-Patel;31.0;9.1;100.2;"""Ullam nesciunt; Aliquam quibusdam Vero minima"""
dr_sheppard_5597;Dr Graeme Sheppard;70.0;80.1;95.2;"""Amet voluptatem laboriosam accusantium: Vel velit excepturi; Rem temporibus"""
barry_singh_0572;Barry Singh;4.0;50.1;44.2;"""Ducimus: Odit corrupti culpa; Minima recusandae porro"""
joel_davison_2226;Joel Davison;68.0;9.1;95.2;"""(Sunt molestias vitae) ; Doloribus molestias est sapiente and Error"""
stacey_barker_0592;Stacey Barker;62.0;93.1;81.2;"""Dolor nobis dolor; Error aliquam facere quae Eveniet assumenda nemo"""
martyn_jones_3644;Martyn Jones;44.0;17.1;58.2;"""(Officia iusto ullam nulla amet) ; Necessitatibus enim ipsam ad iste and In quos"""
sharon_cox_9645;Sharon Cox;54.0;84.1;61.2;"""Note: Quidem nihil officia; then Amet dicta"""
stanley_brady_0075;Stanley Brady;75.0;15.1;75.2;"""Sapiente; Debitis nesciunt officia quia ; Deserunt deleniti"""
mr_gray_5828;Mr Julian Gray;15.0;70.1;15.2;"""Fugit nulla facilis debitis eum excepturi; Ad adipisci quisquam quia dolore ipsam ; Aperiam expedita dicta fuga"""
leigh_richardson_7993;Leigh Richardson;53.0;84.1;10.2;"""Sed; Expedita ; Doloribus voluptatem eius nisi quidem iste"""
mr_donnelly_9121;Mr Charlie Donnelly;42.0;39.1;83.2;"""Impedit minus; Provident impedit ; Pariatur non"""
dr_cox_7727;x;98.0;42.1;84.2;"""Perferendis omnis dolorum delectus maiores velit; Architecto commodi Pariatur quaerat iste velit"""
joanne_read_6940;Joanne Read;95.0;99.1;20.2;"""Sequi; Perferendis aperiam maiores dolorem Velit"""
ms_clark_0062;Ms Sarah Clark;100.0;12.1;53.2;"""Libero; Laborum hic ; Ullam voluptatem et accusantium"""
mohammad_watson_9734;Mohammad Watson;38.0;90.1;86.2;"""Quaerat quod quas; Perferendis minima Quis"""
patricia_jones_5584;Patricia Jones;35.0;30.1;28.2;"""Note: Nemo dolores sed dignissimos doloremque illum ratione; then Cum dicta"""
patrick_price_6854;Patrick Swift-Price;5.0;16.1;89.2;"""Soluta error: Exercitationem beatae; Quam accusantium earum porro cupiditate unde"""
mr_osborne_3296;Mr Albert Osborne;71.0;94.1;24.2;"""Possimus quidem; Quaerat perferendis ; Deserunt reiciendis"""
mr_jones_6100;Mr Ben Jones;5.0;59.1;85.2;"""Note: Consequatur culpa reprehenderit tempora nesciunt; then Veritatis"""
adrian_lloyd_7175;Adrian Bailey-Lloyd;11.0;29.1;67.2;"""Note: Accusantium amet praesentium; then Ut harum quas"""
