# This is a comment line to skip
name;rating;age;message
Bryan Lee;57.0;90.1;"""Standard art: Car movement process eye; Idea seem"""
Erik Simmons;8.0;84.1;"""(Cause) ; Already pass and Upon amount"""
Lori Medina;97.0;21.1;"""Dog between also; By plant Democrat their Player"""
Brooke Salas;41.0;90.1;"""Beat history: Us mention; Available woman piece"""
Jessica Morris;39.0;75.1;"""Build prevent; Already score economic with answer travel ; Cover while turn against"""
Angela Reeves;97.0;85.1;"""Note: By spend front behind; then Late wide author"""
James Kelly;31.0;76.1;"""Challenge education data: Make series low example will activity; Car"""
David Coleman;21.0;55.1;"""Certain suddenly; Hand opportunity street response strong ; Necessary four single nation"""
Todd Saunders;12.0;67.1;"""Note: Movement hope end them; then Eight few event"""
Dawn Summers;80.0;87.1;"""Note: Call campaign; then Road low"""
Angelica Powell;27.0;31.1;"""Care full of; Consider ; Station"""
Erica Lopez MD;28.0;23.1;"""Goal sure; Personal authority ; Run happy happy"""
Lance Dean;83.0;14.1;"""Note: Because mouth; then Role tend owner"""
Laura Olsen;65.0;45.1;"""How use evidence mention stop: North idea store but; Close around stay"""
Daniel Brown;54.0;;"""Get yes: Five focus; Yes figure nice"""
Courtney Mack;93.0;70.1;"""Line report indicate happen: Save; Attorney kitchen week series impact"""
Ernest Oconnell;31.0;53.1;"""Find like now class him TV; Eight management note ; Stock still test anything through"""
Lisa Pham;6.0;4.1;"""(Will would prepare billion finish remember) ; Peace hear stop and Toward maybe firm"""
Mrs. Linda Gonzalez MD;45.0;41.1;"""Note: Almost factor relate center; then Teacher meeting realize beyond condition"""
Andrea Ruiz;1.0;49.1;"""Note: Woman lawyer knowledge production; then Within matter any marriage trouble"""
William Kelley;12.0;30.1;"""Choice meeting himself first statement; Him else actually huge see Year"""
Joshua Hall;7.0;60.1;"""Tree yes how form; Gas likely us lead ; Garden research"""
Angela Frey;8.0;78.1;"""(Modern attack) ; Add to your and Always soldier"""
Thomas Ward;29.0;67.1;"""Note: Worry; then Specific easy"""
Catherine Wall;49.0;79.1;"""Former commercial because past no; Tend continue ; List day government"""
o;43.0;84.1;"""Investment: Season; Lead cell last if air"""
Bradley Garcia;41.0;68.1;"""(Body away) ; Summer determine and Herself mention"""
Crystal Ayers;63.0;73.1;"""Note: Identify military task; then Look pretty"""
Carla Lang;78.0;48.1;"""Tax answer surface; Situation morning visit Relationship floor"""
Michael Alvarez;10.0;51.1;"""Value school wear institution; History since camera no ; Trip stay"""
Melanie Daniel;70.0;25.1;"""Note: Decide; then Manager pretty about president"""
Hannah Gordon;16.0;56.1;"""Since team; Wait note ; Couple fall can"""
Deanna Rodriguez;50.0;4.1;"""(Ten reality high financial) ; Benefit call idea start and Traditional money vote use"""
Brian Ford;95.0;8.1;"""You; Star Measure understand party money add newspaper"""
Edward Parker;98.0;40.1;"""Himself first shoulder Congress end: Ground; Them"""
Jeffrey Rojas;98.0;88.1;"""Song management instead conference culture; Picture run less color born chair ; Benefit"""
James Hess;;11.1;"""Note: Simply little economy; then Stage table animal chair want"""
Deanna Smith;71.0;91.1;"""May; Heart civil There"""
Jenny Garrett;50.0;35.1;"""(Population) ; Weight wind and Concern sing recent certainly"""
Joshua Foster;66.0;15.1;"""Pass although summer message card pass: Put; Dark grow garden like"""
Tracy Vincent;54.0;13.1;"""Inside between; Brother experience four ; Thus coach by station"""
Dawn Jones;89.0;73.1;"""Value indeed might break actually; Final ; Class"""
Brian Hardy;39.0;35.1;"""(According ask job population room) ; Memory strong and Mother around site"""
Stacy Murphy;86.0;80.1;"""In really prepare eat: Entire could too rather; Suffer strong"""
Max Richardson;8.0;8.1;"""Note: Around name; then Lot something moment"""
Gregory King;35.0;10.1;"""Note: Author; then Trial west"""
Michael Reynolds;19.0;10.1;"""Guy nation ball: Final else close full; Civil behind sometimes issue very"""
Maria Weber;18.0;33.1;"""Political; Anyone cell Note get at deal"""
Heather Washington;5.0;39.1;"""Plan no federal; Continue To toward"""
Jenna Phillips;3.0;44.1;"""Lose stop: Seat role work certain forward option; Participant end strong best"""
