# This is a comment line to skip
username	name	score	salary	price	remark	note
samantha_campbell_0768	Samantha Yates-Campbell	56.0	28.1	11.2	"""Cupiditate; Explicabo quibusdam cum 	 Ut alias molestiae"""	"""Inventore ullam: Dolor mollitia veritatis	 Maxime atque doloremque"""
leonard_bird_5933	Leonard Pugh-Bird	60.0	18.1	47.2	"""Expedita; Sed 	 Necessitatibus ducimus sunt reiciendis"""	"""(Placeat ipsum nobis ut repellat officia) 	 Optio eius officiis and Fuga numquam quas"""
amanda_phillips_4147	Amanda Phillips	94.0	66.1	56.2	"""Quasi	 Fuga sit Eum corporis quis"""	"""Velit fuga; Maiores iure neque 	 Ipsam sapiente"""
geraldine_fox_5557	Geraldine Fox	35.0	1.1	38.2	"""(Soluta earum at) 	 Eius alias temporibus quae and Dolore voluptas"""	"""Maxime labore deserunt	 Maiores eligendi Alias deserunt"""
ms_gibbons_8003	Ms June Gibbons	96.0	46.1	3.2	"""(Itaque dicta porro assumenda) 	 Delectus and Temporibus facere minima"""	"""(Quis) 	 Neque corrupti possimus and Explicabo reiciendis"""
miss_khan_0906	Miss Geraldine Khan	27.0	52.1	24.2	"""Distinctio quia; Dolor fugiat 	 Iure deserunt amet"""	"""(Eum vitae praesentium iure ducimus dolorum) 	 Corrupti and Nostrum quidem"""
jade_williams_1633	Jade Williams	57.0	15.1	54.2	"""Ex voluptas: Rerum vel minus tenetur	 Veniam"""	"""Consequatur veritatis sed	 Harum dolorem Aut deserunt"""
geraldine_jones_7042	 	29.0	93.1	62.2	"""Distinctio	 Accusantium quas enim dolorum Quod aliquam nulla aspernatur sit"""	"""(Eos sunt) 	 Odit esse deserunt tempora sapiente and Atque consectetur assumenda repudiandae"""
jade_burke_1625	Jade Williams-Burke	86.0	100.1	8.2	"""Dolorum	 Maxime velit totam expedita Ab"""	"""Note: Nam cumque	 then Cupiditate"""
carolyn_porter_6827	Carolyn Porter	81.0	59.1	68.2	"""Note: Enim tempora	 then Reiciendis laborum vero nulla illum quis vero"""	"""(Itaque doloribus praesentium) 	 Asperiores veniam and Unde"""
dean_hughes_5390	Dean Hughes	95.0	63.1	66.2	"""Reprehenderit: Inventore debitis ad laudantium dolore hic	 Modi"""	"""Note: Dolore totam	 then Neque quasi molestias fugit optio"""
hannah_evans_9564	Hannah Evans	99.0	76.1	73.2	"""(Aut nisi magnam consequuntur) 	 Alias reprehenderit recusandae veritatis dignissimos and Eaque maiores sed quam"""	"""(Nesciunt possimus tempore dolores ea culpa) 	 Vitae eveniet exercitationem veritatis doloremque and Nisi corporis"""
lawrence_wilson_2340	Lawrence Wilson	3.0	24.1	20.2	"""Labore optio magnam atque quae; Sit iusto consequuntur natus 	 Eum accusantium perferendis"""	"""Porro: Quae vero laboriosam	 Voluptas hic"""
jake_cole_1416	Jake Walker-Cole	38.0	60.1	83.2	"""(Veritatis inventore) 	 Veritatis possimus consequuntur and Dicta dolores quas voluptatibus"""	"""Consequatur deserunt impedit nostrum; Ut excepturi voluptatibus laboriosam natus 	 Inventore"""
nicole_jackson_4350	Nicole Jackson	22.0	84.1	83.2	"""Vitae rerum explicabo officia; Necessitatibus laudantium dolorum delectus repellendus 	 Dignissimos"""	"""Nesciunt fuga perspiciatis ratione quaerat qui; Assumenda 	 Veritatis maxime"""
ms_edwards_1732	Ms Mary Edwards	37.0			"""Note: Velit velit	 then Suscipit eaque quia"""	"""Odio modi nihil: Alias dolorem possimus	 Iure sequi"""
benjamin_cunningham_4057	Benjamin Cunningham	35.0	8.1	2.2	"""Illum	 Dolore numquam enim Voluptatibus facilis cum ratione vero rem"""	"""(Voluptatem earum et magni) 	 Et and Odit earum rem"""
joan_davies_0988	Joan Davies		46.1	95.2	"""In molestiae: Adipisci	 Non nostrum ex eaque"""	"""(Nulla quo quos) 	 Assumenda pariatur ab quod and Suscipit fugit illo"""
rita_farrell_5319	Rita Burke-Farrell	38.0	34.1	43.2	"""Soluta	 Dolorum Neque dignissimos"""	"""(Ullam sed) 	 Ullam aperiam and Accusantium ipsum amet laudantium"""
mr_donnell_9208	Mr Glenn O'Donnell	71.0	81.1	29.2	"""Fugit repellendus: Atque fugiat	 Ullam dicta autem"""	"""Note: Eligendi non consectetur veniam dolorum et	 then Doloribus eum quasi ipsum"""
damien_parker_7056	Damien Brooks-Parker	7.0	69.1	92.2	"""Note: Magni harum quibusdam quaerat	 then Sed et labore libero"""	"""Note: Quo	 then Sint dicta quis"""
