name	price	total_count	age	comment	summary
Reece James		54.1	36.2	'''Ullam; Quaerat 	 Doloribus dolore unde ipsum natus ad'''	'''(Minus repudiandae dolor) 	 Enim fugit and Hic accusantium'''
Graeme Armstrong-Lloyd	82.0	92.1	9.2	'''Quia similique iure animi; Doloremque labore animi 	 Harum pariatur'''	'''Note: Ut rem eum officia	 then Illum inventore perferendis'''
Norman Hargreaves-Johnson	74.0	68.1	41.2	'''Reiciendis cumque	 Incidunt iure Architecto temporibus qui'''	'''Mollitia cum voluptas perferendis sapiente culpa; Voluptatem sapiente aut 	 Occaecati fugit molestias aut labore'''
Heather Robinson	7.0	31.1	17.2	'''(Sint magnam dignissimos dignissimos veritatis maiores) 	 Nemo assumenda and Facere autem laboriosam'''	'''Odio: Expedita quis	 Illum'''
Ashleigh Evans-Jones	28.0	43.1	70.2	'''Note: Tempore distinctio tempora	 then Quisquam totam soluta dignissimos'''	'''Doloremque ducimus voluptatibus	 Temporibus sint Earum molestiae'''
Wayne Rogers	95.0	30.1	77.2	'''Ipsam nulla; Laboriosam ea necessitatibus 	 Ex pariatur cumque'''	'''Quibusdam	 Eaque rerum Quibusdam voluptatum facere'''
Leonard Roberts	66.0	59.1	36.2	'''Note: Ab recusandae adipisci tempora	 then Labore sapiente'''	'''Note: Aspernatur incidunt	 then Illo molestias occaecati'''
Antony Wilson	86.0		7.2	'''Note: Quas	 then Cumque excepturi nisi maxime'''	'''(Facilis sequi laudantium) 	 Iure saepe cumque consequatur quod and Distinctio nobis'''
Jessica Powell	21.0	50.1	53.2	'''(Quis natus) 	 Facilis voluptas and Corporis neque placeat omnis'''	'''(Officiis perspiciatis ducimus nam vitae) 	 Eaque dolor dignissimos iusto aliquam and Libero nemo atque'''
Julian Shepherd	19.0	23.1	99.2	'''Mollitia dolorum quidem	 Consequatur molestiae Iure'''	'''Note: Rem cumque rem	 then Ea officiis'''
Mr Cameron McCarthy	41.0	32.1	45.2	'''Neque odit quas ducimus; Dolore nulla 	 Possimus quibusdam dolor'''	'''Adipisci doloremque aspernatur delectus impedit: Nam nobis	 Eos quibusdam hic'''
