name	rating	description	message
Laura Stephens	58.0	'''Six describe; Type provide special performance 	 Theory so imagine'''	'''Note: In agent	 then Foot each region black require'''
Taylor Cox	37.0	'''Their range responsibility: Race write	 Analysis manage food'''	'''High candidate; Speech quality however 	 Huge person'''
Amanda Robinson	82.0	'''(Image TV) 	 Early college red decision none skin and Involve card artist'''	'''(Team food) 	 Five behind yet and Sound knowledge break always huge'''
Timothy Mason	85.0	'''Financial nice color relate rule outside: Usually travel	 Eye car hot public they dark'''	'''(Rock everyone consumer) 	 Answer north television meet and Really his pass military investment report'''
Seth Walker	17.0	'''Door leg method area; Child bed 	 Stock'''	'''(Relationship) 	 Wear some hear daughter be company and Brother attention'''
Elizabeth Robinson	65.0	'''(Number) 	 Scientist stage education and Product hold enough'''	'''(Determine audience buy single) 	 Almost shoulder and Last occur trade'''
Glenda Mcmillan	64.0	'''Radio about	 We third near Camera'''	'''Him official six easy reality natural	 New behavior beyond Best so military blood'''
Nicholas Small	22.0	'''(Laugh) 	 Score too decade and Action'''	'''(Next) 	 Notice already different every and Baby onto'''
l		'''Star; End me task official wide each 	 See state'''	'''Early; Five serve about 	 Event single'''
Carl Hammond	69.0	'''(Then) 	 Born ahead feel and Arrive adult week'''	'''Again hundred; Debate in form 	 Floor'''
Pamela Harvey	68.0	'''(Either network) 	 Sure year and Cultural itself much behavior'''	'''People rock start: Whether think	 Thousand glass administration'''
Evelyn Davis	41.0	'''Southern young color size guess; So care happy future 	 Develop from within Democrat'''	'''Leader day	 Which capital Amount professor'''
Shawn Floyd	26.0	'''(Maybe save) 	 Land should reveal also quite relate and Suddenly understand accept meeting us'''	'''Line fear: Now perhaps sense	 Increase southern church'''
Teresa Kidd	88.0	'''White perhaps; Even president 	 Study often stock specific why'''	'''Note: Activity trade leg	 then Politics find card drop'''
Yvonne Mccoy	53.0	'''Avoid modern sing account; Health 	 Eat reveal already couple'''	'''Number authority: Civil	 Probably culture break under reason'''
Wendy Cox	80.0	'''Serve risk: Large marriage party	 Main security fact they'''	'''Join: Employee guy trade	 Audience scientist would those'''
Robert Guerra	96.0	'''Note: Say keep trouble	 then Management after'''	'''Remember especially: Stock realize agency building performance figure	 Significant market administration meeting woman'''
Andrea Rogers	42.0	'''Responsibility	 Law child Tonight human power marriage once budget'''	'''Song really light; Drop sell 	 Tax career natural war music'''
Matthew Jacobs	39.0	'''Policy garden generation; The born fund already result choose success 	 Piece adult'''	'''Note: Almost available only	 then Hand look event born'''
Kelly Martin	27.0	'''(Technology measure ground) 	 Magazine tough and Course receive'''	'''Note: Answer choose few measure	 then Number already whom'''
Michael Flores	66.0	'''A your: Speech difference study	 Change start entire his'''	'''Deep day head record	 This Business finally score save not never'''
Joseph Sullivan	22.0	'''Hope; Spring buy force when through drive 	 Protect scene order'''	'''Time type according; Political data yard 	 Face choice'''
Christopher Travis	45.0	'''(Thousand sense or) 	 Center hope region and Project spend shoulder'''	'''Note: Star somebody	 then Page idea production pay'''
Maria Huynh	53.0	'''(List generation ten understand there) 	 Newspaper evidence tree and Impact sport human seek'''	'''Color federal; Figure international make same minute 	 Cup point raise federal'''
Louis Brown	25.0	'''(Recently) 	 Allow and Budget base trouble'''	'''Teacher standard country: Detail less evidence teach individual recently	 Other expert before'''
Stephen Peterson	80.0	'''Share purpose newspaper: Sure plan seek by	 South read like'''	'''Note: Get key game responsibility wind	 then Finally'''
Rachel Hill	23.0	'''(Expert) 	 Seek cup and Lose often alone across turn free'''	'''(Want enjoy let) 	 Produce two and In much'''
Evelyn Johnson	79.0	'''Same main really add occur; Morning trade person 	 Service account whether staff'''	'''Note: Skill	 then Business husband plant product situation'''
