username;name;salary;total_count;score;description
marilyn_craig_3160;Marilyn Craig;8.0;79.1;16.2;"""(Rerum et amet eius) ; Beatae blanditiis ducimus and Aliquid provident aliquid aspernatur"""
mr_williams_5857;e;46.0;26.1;33.2;"""Unde dolorum animi nobis; Dolorum quos beatae aliquid Dolore ipsam iure quibusdam"""
lynn_newman_5103;Lynn Newman;80.0;77.1;44.2;"""Vel adipisci; Placeat culpa ; Quae suscipit assumenda accusamus labore perferendis"""
jeffrey_doyle_8194;Jeffrey Doyle;11.0;100.1;86.2;"""Note: Quam animi temporibus pariatur; then Natus fugit reiciendis"""
natasha_sanders_4695;Natasha Sanders;46.0;73.1;80.2;"""Voluptatum reprehenderit pariatur; Expedita quo Animi"""
frances_morgan_3592;Frances Morgan;63.0;62.1;69.2;"""Ex amet esse: Ea magnam odio fugit ipsum; Error eos veritatis"""
ms_powell_2077;Ms Patricia Powell;80.0;57.1;83.2;"""(Quos accusantium est nihil) ; Voluptatum and Possimus dolores laudantium laborum"""
josh_osborne_6509;Josh Osborne;27.0;71.1;96.2;"""Corporis beatae exercitationem; Voluptatibus voluptas vel consequuntur Laboriosam nemo maxime"""
susan_martin_7642;Susan Martin;44.0;;28.2;"""Aliquid aliquam possimus; Magnam minima quidem ; Alias ipsum fugit"""
miss_wilson_0775;Miss Megan Wilson;43.0;27.1;99.2;"""Quia in; Unde odio eveniet deserunt facere nihil Officia provident"""
beth_jones_6633;Beth Jones;87.0;80.1;68.2;"""Rerum nisi ab accusantium; Earum hic pariatur eveniet ipsam ; Accusamus veniam autem deserunt"""
joshua_knight_8974;Joshua Knight;33.0;27.1;43.2;"""Note: Consectetur; then Dolor omnis quo"""
kimberley_parsons_9512;Kimberley Parsons;45.0;94.1;100.2;"""Note: Nulla tenetur pariatur blanditiis; then Id perspiciatis optio quis"""
billy_lloyd_5407;Billy Lloyd;94.0;24.1;73.2;"""Quae quod maiores cupiditate quidem: Non minima itaque illum rerum; Dolor quod voluptate assumenda"""
jasmine_powell_8281;Jasmine Powell;22.0;22.1;;"""(Maiores ad assumenda porro) ; Perspiciatis and Quas eaque deserunt"""
victor_ward_0295;Victor Ward;38.0;61.1;42.2;"""(Fuga magni iusto) ; Deleniti vel qui and Autem doloribus et"""
dr_roberts_7570;Dr Albert Roberts;90.0;6.1;97.2;"""Fuga enim labore saepe quia; Doloribus optio nam et cum corporis ; Perferendis perspiciatis dolores"""
mrs_kelly_6644;Mrs Frances Kelly;78.0;38.1;11.2;"""Unde consequatur perspiciatis sapiente; Expedita ut ; Nostrum nisi est"""
susan_williams_2111;Susan Williams;18.0;83.1;25.2;"""(Molestias distinctio) ; Aut doloremque illum and Commodi maiores saepe"""
carol_wells_7653;Carol Wells;5.0;29.1;46.2;"""Culpa ipsam fuga; Magnam esse sint quod Repellat recusandae aspernatur sed"""
mrs_briggs_0315;Mrs Beth Briggs;38.0;33.1;22.2;"""(Cum labore officiis) ; Consequuntur ut and Officiis doloremque"""
melissa_baker_7807;Melissa Hudson-Baker;34.0;48.1;2.2;"""Quaerat; Molestiae ; Nihil non nemo tempore"""
grace_talbot_0945;Grace Talbot;;99.1;78.2;"""Note: Autem debitis mollitia; then Quas sit"""
