# This is a comment line to skip
username	score	age	salary	note
maria_smith_3332	31.0	85.1	24.2	'''Saepe fuga: Tempora alias dolorem	 Unde'''
nathan_whitehead_7374	15.0	40.1	38.2	'''Dignissimos natus culpa ullam maiores: Aperiam	 Tempore iusto'''
nigel_whittaker_2633	52.0	56.1	24.2	'''Non quia; Doloremque officia doloremque voluptatum 	 Laborum dolorum ducimus atque'''
zoe_jones_7308	39.0	37.1	45.2	'''Quis dicta aperiam: Error	 Ullam odit assumenda'''
max_lynch_9899	50.0	28.1	50.2	'''(Est) 	 Quos cupiditate and Dolores'''
miss_richardson_8153	98.0	99.1	50.2	'''(Fuga) 	 Voluptatibus aut delectus tenetur quasi and Sint qui explicabo dolores quibusdam'''
ms_chandler_7493	68.0	94.1	40.2	'''Quis	 Blanditiis Quae nesciunt dolore'''
billy_warner_8731	69.0	98.1	48.2	'''Eveniet	 Vero Neque praesentium quas'''
joel_jones_3307	19.0	55.1	71.2	'''Ab	 Cupiditate Officiis aliquid'''
dr_johnson_7223	5.0		69.2	'''Quia optio delectus; Earum ullam architecto 	 Illo'''
sylvia_reynolds_8063	99.0	38.1	27.2	'''Nisi ullam sed; At reprehenderit 	 Corporis ipsa'''
mr_coleman_3543	44.0	77.1	52.2	'''(Nostrum quasi) 	 Blanditiis qui and Est ad consectetur provident'''
stanley_taylor_4108	49.0	78.1		'''(Quo) 	 Nemo voluptates nesciunt excepturi magnam and Atque quasi nulla explicabo tempore sed'''
ms_pearce_4141	32.0	90.1	76.2	'''Quibusdam ut officiis modi: Amet dolorem	 Velit libero saepe corrupti provident ipsum assumenda'''
ian_smith_6299	40.0	60.1	6.2	'''Ipsam numquam rem	 Accusamus esse Debitis illum'''
dominic_day_7595	39.0	16.1	84.2	'''Quia amet	 Perspiciatis Culpa deleniti'''
mandy_wright_0803	95.0	48.1	74.2	'''Veritatis tenetur omnis dicta; Unde modi 	 Dolore laudantium'''
andrew_mcdonald_1994	52.0	32.1	87.2	'''Note: Fugiat adipisci dignissimos asperiores	 then Officiis sed occaecati'''
danielle_wilson_2350	6.0	75.1	3.2	'''Laudantium eveniet amet earum voluptatibus: Sed vero facilis	 Facere dolore nisi dicta nemo'''
mrs_baker_6198	53.0	49.1	65.2	'''Commodi magnam velit; Nisi nulla 	 Tempore assumenda'''
guy_green_6840	71.0	15.1	75.2	'''Note: Tempore natus architecto	 then Mollitia molestiae nihil perferendis nam sed'''
scott_marsden_6754	12.0	9.1	91.2	'''Ex quos facilis; Libero facere explicabo 	 Mollitia quaerat saepe voluptas eos aliquid'''
jennifer_williams_2630	6.0	14.1	24.2	'''(Distinctio reiciendis) 	 Qui quia quam et totam and Minus dolorum'''
joel_berry_5144	34.0	61.1	40.2	'''(Dignissimos neque) 	 Omnis harum odit and Ducimus blanditiis voluptate'''
joan_carter_5215	33.0	94.1	4.2	'''Note: Sunt	 then Nobis error rem iste fuga'''
cameron_barnes_5842	14.0	39.1	10.2	'''(Fugiat quae dolorem distinctio sapiente) 	 Facilis reiciendis saepe illo quod accusamus and Nam quasi fuga voluptatum'''
carole_willis_6393	45.0	38.1	51.2	'''Saepe omnis maiores fugit	 Laborum facilis Ipsam iure'''
mrs_bradley_9570		36.1	36.2	'''Dolor	 Pariatur nam Quas cumque'''
mr_dodd_8510	19.0	64.1	46.2	'''Note: Nihil quae blanditiis ab	 then Voluptatibus nisi distinctio'''
barbara_wells_4749	82.0	6.1	76.2	'''Note: Doloribus temporibus doloremque	 then Maxime iusto'''
