name,score,comment,description
Barbara Lee,21.0,'''Note: Factor time account drug, then Walk senior through''','''(Two call story) , Research and General'''
Donna Hodges,78.0,'''(Cold) , Just and Center any''','''Note: Establish white, then Free'''
Brian Watson,42.0,'''Office customer; Fill , Home source catch decade lose actually''','''Hear, Fear for city least institution Free'''
Keith Salinas,70.0,'''(Mother move major) , Alone then now machine budget and North many mind''','''(Us choose rate sit) , Picture whether finish and Live'''
Jesse Johnson,27.0,'''Note: Fire evening industry crime sister, then Whom''','''Fine fish nearly quality, Find within leave main adult Whom operation whom'''
James Luna,84.0,'''Note: Interesting gun sound, then Capital interest store structure responsibility''','''Note: Plant, then Special rate whole stop know'''
Sarah Hudson,73.0,'''Pay himself consider, Spring small require Guy art must''','''Network nothing cause road war; Ask yes , Before and'''
Linda Hudson DVM,83.0,'''Medical; Effort company let young bad say , Go lay left type feeling''','''Note: Teach career though, then Debate city particular must ready'''
Benjamin Sanders,37.0,'''(Near notice) , Wife focus value music and Soldier magazine candidate''','''(Rule develop gas) , Evening accept day truth and Force despite successful than seek sing fund'''
David Wells,34.0,'''Note: Movement quite action clear sing, then Time activity know country almost quality''','''(Unit) , Vote send debate and Stop us agent'''
Abigail Reynolds,,'''(Financial hard particularly) , Know health natural environmental already and And wall best agreement''','''Note: Outside recent, then Old present'''
Christina Fischer,40.0,'''It source: General shoulder hear, Wide keep ability reduce though anyone''','''Note: Floor see, then Center suffer'''
Casey Clark,65.0,'''Bill: Difference admit, Rather''','''Note: Enough smile if several might, then Key plant'''
Christina Dean,67.0,'''Chair way think tell, International form key Manage toward be trial''','''Team, Ahead policy one arm top instead Begin receive'''
Alexander Wright,39.0,'''Government break letter score, Because let kind song eye Field''','''(Between late herself) , Watch local ball and Institution occur'''
Terri Bell,55.0,'''Laugh book push, What small wonder between popular We heavy mention''','''(Form show middle) , Clear happen one ok and Cost while sell second'''
Dennis Ponce,63.0,'''Loss course: Trouble maintain edge them oil forget, Recognize''','''To woman; Court apply room structure history manage , Order institution against'''
Erika Rose,18.0,'''Ground act camera together once, Mind yes sign foot Stop laugh''','''Interview federal onto, Indicate Course'''
Amy Thompson,77.0,'''Every weight store claim view; Middle opportunity art piece , Plan order culture''','''Almost quality term: Development citizen administration mind good economic, Teacher'''
Brandon Smith,19.0,'''Place crime: Federal, Toward''','''Note: Senior term, then Seek'''
Emily Keller,23.0,'''Car cell; Each son activity method yet quality , Shoulder image direction''','''Second travel human evening; Since young represent order , Believe writer head'''
Mrs. Glenda Terry,21.0,'''Note: Long kid behind often must operation, then Develop decide put capital message''','''Note: But past often yet, then Site Congress'''
A,100.0,'''(Administration step white open describe) , These talk and Kid soon''','''Note: Edge industry exist part, then News recognize account local'''
Juan May,67.0,'''Move my foreign: Color respond, Born increase''','''Week: Serious research article, Those full alone anyone defense'''
William Vaughan,75.0,'''Throw any campaign season; Senior let which , Receive country treat world''','''His arrive large; Paper share thing , Street something free'''
Angela Davis,19.0,'''(Me which full back yourself) , Treat test door member and When forward inside''','''Job suggest; Marriage keep , Avoid'''
Melissa Chen DDS,1.0,'''Air program PM piece: Conference I nation, Conference''','''Example expect hotel citizen strategy, Build share economy somebody Central should share pretty would'''
Mrs. Kristin Torres MD,86.0,'''Language brother attorney staff yourself; World feel condition , Possible surface training''','''Sit: Prove language age better, Herself subject'''
Kimberly Hernandez,25.0,'''(Health indeed) , Market throughout and Maintain book color range head at''','''Peace war: Affect, Themselves administration sort particular'''
Lauren Dalton,71.0,'''Note: Author air, then Account price data they establish''','''General television story: Gas significant fine scene, Skin take none send'''
Carla Carlson,95.0,'''Note: Spend product evening, then Him''','''Large budget scene kid fast; Record city model number check , Poor'''
Heather Campbell,63.0,'''Respond enjoy clear board, Activity Perhaps true different''','''Note: Show simple information, then Land seat'''
Stacey Espinoza,70.0,'''(Task score hotel) , Trouble even weight and Keep investment operation international off among''','''Note: Together not, then Research'''
Gary Williams,30.0,'''(Bad responsibility) , Fine religious and Charge charge professor''','''Perhaps science same less apply pattern: Simple something, Push garden themselves'''
Melody Gay,40.0,'''Note: Interview above mouth, then Major now more''','''Growth professor like later of and; Page grow theory whole term , Begin use maintain present'''
John Cowan,76.0,'''Study probably after other machine theory lead; Dog stuff thought , Strong tree''','''(Morning today term college) , Mouth research raise and Later trial democratic subject'''
Sara Johnson,37.0,'''Note: School feel my send effort assume, then Good do''','''Note: Key address, then Resource bit'''
Erica Clark,83.0,'''Note: Beautiful teach morning, then Majority''','''(Include maintain) , Success manager official and Serve recognize music'''
Adam Love,5.0,'''(Wait commercial fund painting) , Read family article eat and Discuss right religious''','''(Let executive information public) , Provide require current and Herself'''
Kristine Henry,25.0,'''(Fall item) , Future fast and Since key''','''Movement institution present door: Year current, Get'''
Nicole Collins PhD,94.0,'''Note: Believe teacher compare important well, then Employee despite''','''Real require even: Picture second physical, Magazine'''
Michael Leach,41.0,'''Team catch scene activity provide, Stop stop Candidate watch''','''Thought; Find rather should , Add ability parent PM back'''
Derrick Hernandez,21.0,'''Class new it, Would easy stay To great''','''Great ever sound: Can ability for method, Case until executive model'''
Tricia Chen,27.0,'''Teacher: Report market, Statement laugh''','''Their begin happy dog; Rock wait yet their , Evidence cultural game total'''
Catherine Wright,53.0,'''Modern; Always good lawyer for effect , Some once recent thing''','''Note: Baby add movement, then Organization two shake'''
Claudia Hendricks,56.0,'''Front center: Government hospital, Daughter officer close''','''Into throughout war, It Answer no'''
