name;username;total_count;score;comment
Robert Hubbard;robert_hubbard_0598;91.0;98.1;"""Soon get: Still eye; Prevent senior tend follow"""
James Richardson;james_richardson_7778;86.0;10.1;"""Note: Around pressure more beyond; then Protect chair"""
Lindsey Avery;lindsey_avery_8875;69.0;10.1;"""South poor; Sing determine ; Nice nice"""
Eric Mcbride;eric_mcbride_4293;1.0;33.1;"""Morning watch: Face whether such write trouble; Respond owner north north issue every"""
Phillip Smith;phillip_smith_7932;74.0;63.1;"""Note: Fact artist yeah; then Politics deal speak seven should"""
Sylvia Rhodes;sylvia_rhodes_6304;60.0;23.1;"""(Hair care according) ; Adult and Economy share rich gun"""
Stephanie Morgan;stephanie_morgan_2606;32.0;92.1;"""(Order minute sign see home) ; Watch and World those action"""
Aaron Allen;aaron_allen_6371;41.0;29.1;"""Note: Top road administration sometimes ability; then Past teach leave"""
Lauren Franco;lauren_franco_0974;95.0;76.1;"""Behavior author low: Decision chair that; Bring some"""
Ryan Sloan;ryan_sloan_5335;29.0;38.1;"""(Trade institution kind picture approach) ; Arm sure and Civil ability exist"""
Matthew Moore;matthew_moore_0480;61.0;37.1;"""Central brother: Building her ball; Above save bring"""
Julie Schmitt;julie_schmitt_7214;7.0;;"""Bring with: Who discover evidence explain; Manager save enough"""
Theresa Fitzpatrick;theresa_fitzpatrick_5101;54.0;84.1;"""Season than degree room song; Campaign Value"""
Adam Harrison;adam_harrison_8078;32.0;28.1;"""Treat girl; Particular ; Ground worry light around"""
Anita Owens;anita_owens_2514;79.0;72.1;"""(Last) ; Spend technology in and Worry sit hour event interview"""
Erin Edwards;erin_edwards_5971;88.0;82.1;"""Note: Do trip end call; then Behavior field talk range detail"""
William Williams;william_williams_8714;33.0;81.1;"""(Decade) ; Discussion continue and Maybe camera none behavior"""
Gabriella Obrien;gabriella_obrien_6648;37.0;89.1;"""World without guy; Together mention budget language officer scientist face Key rather"""
Jeffery Taylor;jeffery_taylor_1471;66.0;94.1;"""Note: Hope none wait would; then Without successful"""
Steven Nelson;steven_nelson_5774;;50.1;"""Contain: Organization choose toward full since; Operation"""
Mary Gonzalez DDS;mary_dds_7117;72.0;28.1;"""Enjoy nature; That American all standard region quickly ; Doctor side example successful"""
Meagan Sexton;meagan_sexton_7672;83.0;73.1;"""Note: Young they laugh write; then Adult here medical area"""
Timothy Gonzalez;timothy_gonzalez_6539;39.0;62.1;"""Knowledge Mrs black; Interview Score happen already nature"""
Samantha Wells;samantha_wells_9283;14.0;78.1;"""Direction instead visit; Standard sing Up within might"""
Justin White MD;justin_md_3413;2.0;59.1;"""(Record floor those responsibility career) ; To every trip do and Lawyer"""
Amber Williams;amber_williams_2149;49.0;95.1;"""Note: Discuss save bag society; then At wear leave"""
Natasha Liu;natasha_liu_7310;20.0;16.1;"""Start opportunity traditional; Figure heart easy ; Again study political"""
Anita Valenzuela;anita_valenzuela_8118;74.0;35.1;"""(Another represent price) ; Thought inside between and Never instead hotel"""
Valerie Bryan;valerie_bryan_1700;40.0;60.1;"""Skill expert; Book some long Break sense technology subject"""
Gregory Wallace;gregory_wallace_2930;18.0;13.1;"""(Pm instead) ; Challenge ever and Weight data"""
Ronald Harrison;ronald_harrison_7011;71.0;31.1;"""Within: Score similar short and; After"""
Dana Fitzpatrick;dana_fitzpatrick_8090;63.0;70.1;"""(Kitchen someone name situation) ; Traditional and Run"""
Katelyn Pope;katelyn_pope_8220;64.0;83.1;"""Box attorney car: Your go difficult; Level drop develop hour significant modern wife"""
Christopher Turner;christopher_turner_5273;99.0;11.1;"""Technology real available region: Country religious; Small professor move book"""
Johnathan Romero;johnathan_romero_0540;15.0;100.1;"""Investment develop food population; From hard campaign evidence ; Production join prove"""
Lori Wilson;lori_wilson_0457;47.0;3.1;"""Note: Position; then Early our"""
Lisa Green;lisa_green_9197;32.0;45.1;"""(Trial girl think) ; Need miss kind and But build history"""
Kayla Li;kayla_li_4783;84.0;30.1;"""Note: Above improve area; then Blood television sense part business under"""
 ;suzanne_diaz_3185;5.0;86.1;"""(Add enough) ; Include account speech and Agreement"""
Michele Mckinney;michele_mckinney_2352;17.0;40.1;"""Campaign: Energy analysis sell building; Appear word"""
Brian Dixon;brian_dixon_7876;29.0;97.1;"""Thousand major fast hotel: Turn sister; Ok debate campaign"""
