username;name;total_count;note;description
matthew_wyatt_7550;Matthew Wyatt;41.0;"""Nothing poor; Capital man window image civil bank ; Available""";"""Agency describe: Realize site there into law his; Deal executive kind field"""
erica_maxwell_5165;Erica Maxwell;79.0;"""(Perhaps understand turn program fear) ; Game almost and Mission perhaps prepare guess official forget""";"""Group experience mouth establish market tree; Either project east customer million join ; Record need somebody report religious"""
olivia_freeman_8052;Olivia Freeman;5.0;"""Note: Else according who; then Sound range""";"""Note: Reach environmental play; then Trial raise ten"""
daniel_bruce_2061;Daniel Bruce;72.0;"""(Happy he owner art wait) ; Price management join and Foreign out""";"""Area consumer interesting; Experience any ; Day speak their civil all foot"""
jennifer_gardner_4212;Jennifer Gardner;82.0;"""(News) ; Great window clearly and Together with""";"""Instead: Coach good manage; Nor through structure"""
aaron_singleton_8879;Aaron Singleton;6.0;"""(Safe camera look) ; These material field example and Anything anyone since""";"""Writer design; Somebody stuff Treat able yard nature also"""
donna_webb_9373;Donna Webb;86.0;"""(Room eat itself also) ; Number single throw opportunity find and Finally plan""";"""(Seem stay) ; Experience particularly always unit and Management summer attorney baby television"""
jennifer_martin_6162;Jennifer Martin;62.0;"""Position measure; How speak dark For heavy say""";"""Note: Clearly contain night; then Avoid suffer hot trouble Mrs can"""
carol_thomas_4861;Carol Thomas;3.0;"""He population reduce: Prove determine yes agent; Three start more run of do""";"""Past sense: Source administration; Individual several especially as"""
william_kennedy_6920;William Kennedy;34.0;"""Detail improve; Lot right Into up""";"""General hair; Far common my ; Well even current bit tell"""
nathan_brewer_3484;Nathan Brewer;39.0;"""Buy whether: Blood pick; Believe pattern yes""";"""(Talk sound) ; Couple and Gas market final"""
mr_thompson_4850;Mr. Joseph Thompson;88.0;"""Audience fine; Order ; Whatever fast on""";"""Traditional hot car; Perform through wind adult How song"""
anthony_nelson_6353;Anthony Nelson;71.0;"""(Church manager possible each medical that) ; Onto church and Chance establish fire""";"""Check sing; Beat whether baby Paper spend different shoulder"""
brian_thompson_3681;Brian Thompson;59.0;"""Position less north particular; Position media all center security kind ; Brother discuss""";"""Bad; Important memory alone Family"""
richard_lopez_3678;Richard Lopez;46.0;"""Finally mission surface world discover; Everybody begin drive Foreign finally best almost""";"""Organization article sea nice activity; Improve ; Cold at"""
michael_carr_2119;Michael Carr;100.0;"""Discuss somebody: Stay; Other what""";"""Note: International size; then Set throw girl say time"""
vicki_jones_7963;Vicki Jones;49.0;"""Note: Case nearly past; then Energy all goal""";"""Identify other: Sit once; Sell describe"""
craig_hayden_0963;Craig Hayden;93.0;"""(Factor whole) ; Wife rate positive and Hear choose""";"""(Police particularly) ; Training and Fact"""
joseph_smith_6291;Joseph Smith;30.0;"""Note: Others throw high; then View measure natural body""";"""Top treatment: Pass; Heavy certain"""
meredith_wood_8776;x;8.0;"""Note: Job; then Spend statement across check method consumer""";"""(Body policy return assume) ; Ask life newspaper important and Myself"""
lisa_silva_7644;Lisa Silva;60.0;"""Argue although line how; Customer Figure arm information time agreement head""";"""(However) ; National idea and Get care including same"""
michael_jones_2725;Michael Jones;59.0;"""Sister group argue; Sound start after Whether""";"""Note: Executive both under ready; then Part laugh"""
joshua_johnson_0860;Joshua Johnson;69.0;"""Note: Fast color quality position; then Method around born energy""";"""Boy; Bank still Serious wall town"""
thomas_evans_7653;Thomas Evans;6.0;"""Participant detail detail onto have; Provide woman effort such question standard TV ; Among gas listen push across""";"""(Leave section) ; Green into fast and Word believe"""
brian_arnold_0251;Brian Arnold;73.0;"""Learn instead; Particularly true Admit life change suffer""";"""Control able office two green; Case cell manage any everyone ; White fill course"""
joel_young_8771;Joel Young;87.0;"""Month course six; Series education consumer east Doctor measure eight above""";"""(Shoulder herself PM) ; Where and Reach country"""
katie_coleman_0577;Katie Coleman;;"""Through evidence: Least civil; Responsibility ball name two""";"""Measure you three build; Better Hear"""
brandon_gilbert_8970;Brandon Gilbert;47.0;"""Note: Final travel; then Work floor size range""";"""May because artist in; Material hand ; Together gun health"""
joseph_coleman_4958;Joseph Coleman;4.0;"""Really appear answer our nearly; Open institution without Avoid its ten""";"""Task improve; Quickly car allow sit Return"""
dr_decker_3472;Dr. Cheryl Decker;10.0;"""(Contain bag shake artist everything) ; Box you must and Individual key move total land""";"""Positive: Son international; Something every grow"""
danny_clark_2129;Danny Clark;20.0;"""Green allow pretty: Total its bad; Factor newspaper development""";"""Treat cost significant generation news; Save foreign letter piece Challenge develop"""
jordan_martinez_1671;Jordan Martinez;38.0;"""Appear garden teach herself indicate: Century Mr; Writer morning""";"""Wall growth; Affect yeah dinner Respond this goal serious"""
adam_butler_1641;Adam Butler;86.0;"""Six tax itself student particularly: Dinner use maintain alone store bar; End""";"""Husband message: Happy; Player toward across"""
julie_wise_2976;Julie Wise;94.0;"""Not former various only: Where; Rule fear""";"""Would heavy; Discover age Capital gas"""
anthony_huynh_1258;Anthony Huynh;61.0;"""(End network member factor) ; Also difference and Final too""";"""Ready professor street; Amount along trouble dog ; Continue hit high"""
david_price_0809;David Price;89.0;"""But point minute; Could task real day ; Certain""";"""Data movement want news; Reduce ; Within somebody clear"""
dr_jones_7260;Dr. Barbara Jones;16.0;"""Note: Experience option; then Purpose pressure magazine""";"""Note: Arrive; then Successful attack country something"""
douglas_mercer_2838;Douglas Mercer;53.0;"""(Traditional center) ; Brother own participant and Quite pass eat deep whose open""";"""It fact cultural dark; Be staff ; Information north"""
