# This is a comment line to skip
name;age;total_count;score;review
Charlotte Le;50.0;94.1;82.2;"""(Early) ; Trial and Growth agreement fear one difference"""
Samuel Vance Jr.;50.0;35.1;41.2;"""Note: Light skill civil choice quality law; then Real report"""
Maria Barrett;23.0;46.1;68.2;"""Apply think theory; Finally resource American again important suffer Old"""
Michael Washington;72.0;49.1;55.2;"""Note: Enjoy talk growth say recognize; then Kid blue"""
Nathan Harris;64.0;43.1;58.2;"""Onto; With picture Fill candidate"""
Jessica Holt;23.0;80.1;48.2;"""Note: Full pretty support; then School"""
Jackie Bruce;23.0;17.1;69.2;"""View election; Forget grow Information quality situation for tonight indeed"""
Sarah Owens;71.0;99.1;69.2;"""Ground choose walk: Election everything himself carry; Recent sense month"""
Joseph Lucero;44.0;44.1;36.2;"""More go poor; Fine drug car Approach a"""
Kristina Orozco;93.0;35.1;49.2;"""Note: Not Democrat where; then Together"""
Carlos Pham;99.0;53.1;41.2;"""Note: Finally operation gas draw; then Trial ago owner"""
Mr. John Harrington;83.0;77.1;44.2;"""Than raise; Follow walk study return easy Center"""
Kathleen Wu;63.0;69.1;70.2;"""Baby each month: Within; Significant soon"""
Lauren Herrera;98.0;50.1;87.2;"""Most light thought record issue wife; Chance case media military machine ; All only be leg"""
Hannah Banks;53.0;91.1;74.2;"""(Idea study) ; Pressure number structure and Operation such ask writer"""
Kristin Cain;28.0;96.1;35.2;"""Most; Across expect be idea ; Over ball better"""
A;14.0;97.1;25.2;"""Note: Why issue billion media discussion; then Kitchen still area difference itself"""
Melissa Burns;88.0;77.1;43.2;"""Skin; Condition rate ; Lose always factor organization bag and"""
Amanda King;66.0;45.1;66.2;"""Note: Clearly relationship take fire resource; then Level"""
James Kirk;29.0;16.1;88.2;"""(Often new) ; Current stand allow and Tend a pretty"""
Jack Mendoza;33.0;38.1;44.2;"""Note: Change; then Role chance general poor"""
Virginia Williams;49.0;47.1;24.2;"""(Fight attention black anything customer) ; Yes system and Leave relationship see"""
Christopher Sparks;69.0;9.1;33.2;"""Note: Natural produce allow; then Official tell poor interview"""
Robert Calderon;66.0;36.1;;"""Success successful require security pull; Moment explain newspaper herself try Day whole public last notice"""
Jocelyn Hansen;65.0;31.1;78.2;"""Actually treatment pressure; Soldier lawyer reflect ; Out partner"""
Jason Hancock;39.0;28.1;54.2;"""House against glass inside involve: During any interview oil reason; Court"""
Sara Bennett;1.0;27.1;18.2;"""Note: Natural simple; then Total worry"""
Patricia Davis;56.0;53.1;99.2;"""Note: Democrat all; then Condition fly suddenly"""
Randall Roberts;38.0;34.1;69.2;"""Note: Bill more; then Coach traditional store"""
Carrie Molina;28.0;96.1;42.2;"""Kind rock standard social; Total write front Bring economy road"""
Eric Atkins;35.0;94.1;96.2;"""Hit east day chair: Fast method; Long remain six likely authority claim"""
William Ballard;81.0;85.1;43.2;"""Note: Billion; then Party research last"""
Sharon Petersen;22.0;17.1;20.2;"""Note: Some structure door job fight operation; then Fact administration"""
Ashley Rowe;23.0;58.1;35.2;"""Or out whole trade: Water message forward could quite; Degree interesting"""
Karen Young;69.0;;32.2;"""Heavy argue person sell popular; Challenge ; Receive few firm approach know check"""
Adam Hart;65.0;67.1;32.2;"""Behavior likely matter; Degree where foot public ; Well experience"""
James Ellis;68.0;93.1;38.2;"""Appear expect statement; Thing Director tell"""
Spencer Phillips;;42.1;46.2;"""Note: South official American treatment store across; then Remain reality your out fine work"""
Todd Johnson;54.0;3.1;99.2;"""Listen both; Little often parent admit onto Sea remain mother"""
Mary Ross;29.0;97.1;81.2;"""(Attorney get movie) ; Share and Lay explain management"""
Tiffany Miller;84.0;95.1;43.2;"""(Painting forward when protect) ; Show card and Place event until"""
Lisa Collins;55.0;40.1;20.2;"""(Turn respond that region) ; Population summer crime and Need improve coach box above call"""
Hannah Leon;4.0;48.1;49.2;"""He yeah: Before six arm evidence fact law; Too our parent hair"""
Catherine Rodriguez;36.0;16.1;87.2;"""Note: Life I soldier; then They work present goal condition"""
Maureen Lewis;23.0;90.1;19.2;"""Very and way: Might center; Figure bag message method"""
Brett Anderson;19.0;61.1;10.2;"""Head son its cup foot; Thus within page Show any human eye"""
