# This is a comment line to skip
username	total_count	price	salary	note
brandon_welch_6275	42.0	57.1	80.2	'''Quidem: Corrupti non quibusdam voluptates	 Voluptatem magnam maiores'''
lynne_booth_2856	9.0	21.1	68.2	'''Repellat asperiores iure itaque quam illo	 Fugiat aperiam fugit Harum'''
miss_davies_4747	91.0		31.2	'''Distinctio; Aut et architecto 	 Rerum molestias'''
mohamed_lawrence_5807	46.0	18.1	59.2	'''Natus	 Velit occaecati Ut nisi'''
carolyn_dodd_2162	48.0	57.1	50.2	'''(Quidem perspiciatis repellat exercitationem) 	 Provident hic impedit rem voluptatibus and Libero aliquid fugit illum'''
dr_shaw_3350	41.0	95.1	18.2	'''Note: Eius delectus quae non delectus	 then Accusamus aperiam culpa aut'''
danny_shaw_6473	7.0	34.1	52.2	'''Deserunt ipsum delectus	 Odio quas excepturi Assumenda pariatur accusantium'''
judith_clarke_5226	82.0	81.1	60.2	'''Facere corrupti in neque quia	 Perspiciatis harum cum cumque distinctio A dolor debitis voluptates odio'''
ms_burgess_5925	4.0	78.1	65.2	'''(Cupiditate) 	 Quas dicta sunt architecto and Sed atque ab id sequi'''
abbie_collier_8193	35.0	10.1	92.2	'''Ea: Ex quibusdam fugiat perspiciatis	 Sunt sequi sint quibusdam nihil'''
molly_barnett_3312	64.0	15.1	9.2	'''Veritatis sit nostrum culpa; Amet tenetur 	 Veniam amet'''
oliver_parkes_3766	73.0	69.1	38.2	'''(Earum voluptas qui sed necessitatibus) 	 Occaecati architecto delectus magni and Ipsa laboriosam aut'''
barbara_metcalfe_7331	97.0	6.1		'''Note: Corrupti nihil accusamus	 then Amet quae placeat ab'''
dr_willis_7539	96.0	21.1	13.2	'''Officia odio	 Eveniet dolorem eaque Nesciunt unde odio itaque exercitationem'''
marc_smith_4655	67.0	39.1	79.2	'''Sed non pariatur eos; Porro voluptatibus quasi 	 Eaque'''
mrs_richards_5017		96.1	71.2	'''Eius mollitia ipsa: Tempora	 Et a'''
mrs_murray_8025	61.0	85.1	86.2	'''(Velit) 	 Similique unde et est iure and Quibusdam'''
valerie_rogers_3835	51.0	3.1	8.2	'''Voluptatum; Minima veniam distinctio 	 Alias'''
tracy_atkinson_1359	85.0	16.1	6.2	'''Note: Adipisci blanditiis	 then Sint autem'''
dr_andrews_7607	23.0	40.1	7.2	'''Est quisquam labore: Quibusdam	 Voluptatibus repellendus magni aliquam esse'''
