name	age	score	note
Frederick Brennan	77.0	68.1	'''Pariatur expedita mollitia nihil: Saepe dolorem debitis velit dolorem quibusdam	 Saepe at qui'''
Bernard Wade	3.0	60.1	'''Nobis ad repellat: Atque expedita natus harum iste	 Excepturi consequuntur pariatur eveniet accusantium quia voluptate'''
Dr Terence Hayes	4.0	52.1	'''Eos dignissimos veniam earum: Asperiores eius error deserunt	 Saepe deleniti'''
Miss Mary Mills	18.0	50.1	'''Eius porro; Dolorum similique sint nostrum amet 	 Consectetur nulla'''
Miss Mandy Jones	19.0	5.1	'''Corporis autem accusamus; Eligendi corporis 	 Fuga laudantium'''
Arthur White	100.0	61.1	'''Deleniti at; Delectus explicabo incidunt at nobis 	 Excepturi expedita eum dolore odit perferendis'''
Frank Lynch	61.0	44.1	'''(Occaecati eaque quibusdam atque) 	 Similique recusandae nam and Magni eaque expedita'''
Elaine Moore-Graham	18.0		'''Porro dicta temporibus quisquam voluptate animi: Tempore deleniti	 Vitae molestias ipsa libero quod eligendi'''
Sean Singh	80.0	10.1	'''Note: Incidunt quas	 then Reprehenderit'''
Elaine Bolton-Smith	61.0	69.1	'''Saepe quidem inventore praesentium	 Provident Minima enim veritatis accusamus quod'''
Mrs Charlotte Finch	69.0	48.1	'''Consectetur reiciendis; Consequatur 	 Sunt dolorem'''
Dr Barbara Davis	71.0	8.1	'''At beatae corporis; Perferendis asperiores 	 At asperiores'''
Dr Daniel Gill	86.0	33.1	'''Note: Repudiandae aut animi dolor	 then Alias voluptate'''
Jean Gough-Berry	2.0	64.1	'''Note: Perspiciatis	 then Sit ullam deserunt occaecati in'''
Josh Hammond	58.0	75.1	'''Alias repudiandae non	 Delectus rem Culpa'''
Martyn Ryan	87.0	9.1	'''(Officia adipisci fuga) 	 Officia and Facilis'''
e	18.0	6.1	'''Note: Neque eum ipsum maiores	 then Commodi aut'''
June Robson		72.1	'''Omnis occaecati qui necessitatibus corrupti veniam; Soluta laudantium 	 Officia quae'''
Leon Mistry	97.0	48.1	'''Aliquam quaerat itaque sunt iure vero; Molestias repellat consequatur 	 Necessitatibus quod'''
Steven Powell	71.0	10.1	'''Note: Nesciunt reprehenderit	 then Nobis nam dicta illum adipisci'''
Stanley Jones	42.0	11.1	'''Enim necessitatibus: Aspernatur saepe eius	 Laudantium'''
Rebecca Carr	95.0	16.1	'''Quia: Ipsum	 Facilis quaerat earum iusto'''
Charlie Cooper	76.0	7.1	'''(Dolorem) 	 Quidem ipsa ut ut nobis and Nostrum earum mollitia nihil ratione itaque architecto'''
Mrs Chelsea Wheeler	71.0	88.1	'''Similique perferendis	 Mollitia Nesciunt ullam eaque officia et'''
Sharon Dean	47.0	72.1	'''Note: Odio ad eius beatae nam	 then Aspernatur'''
Josephine Collins-Whittaker	70.0	50.1	'''Illum ad earum reiciendis: Autem	 Placeat'''
Pauline Nelson	34.0	56.1	'''Vel ea: Voluptatum possimus	 At iste'''
Owen Morris	93.0	93.1	'''Enim mollitia repellendus vero: Et rem placeat	 Harum'''
Bruce Owens	98.0	46.1	'''Quos excepturi eveniet	 Ad Quod quasi'''
