# This is a comment line to skip
name;rating;price;salary;message;summary
Clifford Harris;24.0;41.1;96.2;"""Note: Deserunt assumenda beatae nobis; then Beatae quidem perspiciatis""";"""Odio voluptas sit quia; Consequatur blanditiis ullam unde Optio hic officiis"""
Samuel Rose;80.0;40.1;44.2;"""Note: Alias distinctio accusantium vitae suscipit; then Voluptatum""";"""At consequatur eveniet nesciunt; Deserunt commodi et ; Atque blanditiis"""
Dr Mary Griffiths;39.0;94.1;72.2;"""Note: Provident aliquid; then Nobis maiores""";"""Numquam; Debitis totam minus eaque quia Soluta corporis"""
Mr Garry Young;79.0;62.1;97.2;"""Impedit nostrum: Ullam possimus fugiat; Aliquam""";"""Note: Dolor; then Vitae magni repellat"""
Dr Elliot Sinclair;14.0;62.1;12.2;"""(Laborum recusandae) ; Reprehenderit pariatur and Voluptate corporis deleniti dolore dolore reiciendis""";"""Ducimus beatae quibusdam quis error; Nobis labore ; Distinctio tempora impedit repellat"""
Paige Smith;83.0;74.1;36.2;"""Incidunt dignissimos; Harum aliquid cupiditate Unde libero sapiente molestiae""";"""Note: Rerum perferendis; then Corporis deserunt itaque"""
Ms Elizabeth Price;33.0;73.1;33.2;"""Asperiores impedit odit commodi officiis voluptatibus; At Quas explicabo voluptatem similique adipisci""";"""Note: Officia ratione hic; then Quisquam itaque dolore"""
Jennifer Morgan;93.0;45.1;84.2;"""Note: Maiores veniam corporis; then Quae repellendus labore nemo ut officia""";"""Magnam perspiciatis consectetur: Nulla fugiat consequuntur repellat perspiciatis consectetur consequuntur; Corrupti minus"""
Edward Turner;87.0;32.1;61.2;"""Numquam quibusdam incidunt; Voluptate voluptates animi veritatis Officiis sequi""";"""Note: Repudiandae mollitia; then Sapiente vel"""
Victor Booth;81.0;33.1;43.2;"""Note: Quam modi; then Delectus officia culpa""";"""(Praesentium ex temporibus) ; Delectus culpa fugiat quam culpa facere and Rerum"""
Stuart Connor;84.0;28.1;37.2;"""Saepe vitae modi; Non voluptates ; Optio non excepturi magni quasi""";"""(Ducimus nostrum) ; Praesentium and A nesciunt"""
Lesley Hopkins;77.0;52.1;18.2;"""Saepe facilis vitae; Vel dolorum rerum itaque ut ; Quidem incidunt""";"""Ipsam voluptate atque: Soluta; Alias hic quos"""
Elliott Robson;15.0;9.1;35.2;"""Sit perferendis nulla: Dicta reiciendis minus; Tempora totam accusamus""";"""Architecto quis at; Non corporis ; Ducimus"""
