name;score;total_count;age;review
Heather Jones;82.0;;18.2;'''Note: Million special partner news writer; then Lay matter appear continue'''
Brandi Brown;74.0;33.1;49.2;'''(Very business why) ; Street and Possible area room raise'''
Leroy Smith;93.0;9.1;35.2;'''Note: Few job official; then Security'''
Mary Lucero;38.0;13.1;66.2;'''Represent measure store; Indicate newspaper wall better middle ; College industry very'''
Ashley Cook;14.0;17.1;40.2;'''Large street; Business baby ; Game field tell color anyone'''
David Ford DVM;50.0;60.1;14.2;'''Scene record same: Must cut; Machine society'''
Ricky Olson;11.0;57.1;12.2;'''Edge challenge draw quite; Third set Yes current'''
Katherine Howell;87.0;71.1;22.2;'''Land want laugh; Hit fact north enjoy site By'''
Mary Anderson;2.0;43.1;4.2;'''Note: Surface employee for; then Tv level far success against'''
Steven Hayes;63.0;58.1;60.2;'''Low necessary gas: East house training strong; My claim in project member'''
Lisa Fry;9.0;21.1;66.2;'''Grow every name; Resource subject quickly prepare sport through ; Drug'''
Bradley Vaughn;33.0;41.1;74.2;'''Service lot; Mission condition treat town baby Assume'''
Michael Hamilton;18.0;91.1;33.2;'''Sound pass: Scene firm science speak; One'''
Lori Horne;87.0;13.1;10.2;'''Note: Me no; then Both'''
Dennis Price;85.0;100.1;15.2;'''Note: White point staff none lawyer; then Free rather'''
James Montgomery;91.0;42.1;47.2;'''(Let week her child) ; Pretty and Expect various'''
Gregory Mendez;32.0;94.1;72.2;'''(That) ; Require report job rich area listen and Type feeling item'''
Mr. Keith Lamb;13.0;1.1;13.2;'''Than; Left house tell wear employee ; Individual'''
Pamela Collins;23.0;34.1;25.2;'''(Task physical pick popular rock) ; Protect factor then discuss generation market and Policy small must'''
Maureen Jordan;22.0;17.1;31.2;'''(Event upon could sport mother expert) ; Draw ahead full and Look staff'''
Cassidy Monroe;4.0;86.1;92.2;'''Fall leg: Be religious; New threat'''
Edward Roberts;4.0;19.1;31.2;'''News campaign look: Cultural recognize feeling require though test; Season travel'''
x;13.0;37.1;61.2;'''Pull this: Detail; Election get executive'''
Jerry Robinson;78.0;81.1;48.2;'''Note: Crime indeed; then Course capital black morning'''
Jacob White;83.0;13.1;8.2;'''Note: Explain; then Stock against draw'''
Brandi Castillo;22.0;71.1;44.2;'''Article part; Help nation suddenly poor ; Military eye information'''
Ashley Johnson MD;75.0;41.1;100.2;'''Consumer since from type: Name change car ready sure institution; High third assume suddenly'''
Timothy Morrow MD;88.0;92.1;1.2;'''Age seem: Near throw word; Position'''
Erik Collins;19.0;76.1;47.2;'''Million; Else Expect window pressure throughout drive'''
Michelle Ryan;;59.1;64.2;'''(Side) ; Black begin foot and Hold rise'''
Donald Sandoval;5.0;98.1;11.2;'''Law Congress health reduce; Reflect Down'''
Nathan Mata;31.0;65.1;;'''Note: Local education; then Indicate indicate after'''
Kristen Bell;61.0;83.1;61.2;'''Democratic learn dinner: Hold concern level time red if; Firm focus give of include'''
Sandra Pitts;40.0;21.1;28.2;'''Maintain from star join: Remember citizen; Travel to box'''
Charles Woods;64.0;18.1;98.2;'''Drop science everybody; Through southern analysis American pretty room woman'''
