username,name,rating,score,salary,description,comment
kimberly_hamilton_3514,Kimberly Hamilton,43.0,17.1,67.2,"""Public suffer report such: Create unit, Top""","""Live wait report, Suggest Safe into open bit"""
ronald_thompson_0687,Ronald Thompson,74.0,10.1,24.2,"""Card money price performance bed; Rather bag , Quality business up""","""Player: Media, Pm understand kid occur administration"""
carmen_spencer_7441,Carmen Spencer,64.0,,44.2,"""Part often skin, Movement near eight matter concern Analysis simply choice red item put yeah""","""Note: Smile on, then Me look ground"""
melissa_tran_3706,Melissa Tran,55.0,51.1,76.2,"""(Word public group) , Smile then and Financial ball government""","""School cut; Strategy feeling any , Yard station adult international wait"""
tonya_cabrera_5099,o,30.0,57.1,15.2,"""Note: Behind government door, then Participant condition history save collection""","""But camera, Worry maintain teach medical than Item partner"""
sheena_martin_6017,Sheena Martin,5.0,71.1,11.2,"""(Performance director leave story account) , People sound and Serve""","""Window others pay: Life challenge house politics opportunity memory, Television billion"""
monica_cohen_9383,Monica Cohen,18.0,64.1,67.2,"""Animal move some toward, Charge force body Black build capital""","""Including test raise; Practice best , At amount participant"""
matthew_mcintosh_1176,Matthew Mcintosh,34.0,95.1,29.2,"""Note: Kid visit window must, then President really find fish whose me""","""Note: Fish field common summer, then Itself we"""
leah_beck_0912,Leah Beck,99.0,64.1,56.2,"""So even recently fact make, Himself language stop within If democratic make""","""Note: Raise material security bed success doctor, then Democrat above describe worry"""
collin_townsend_8788,Collin Townsend,86.0,86.1,75.2,"""Control interview; Then ready movement manage , Social almost might technology amount""","""Fear; Might few would member , Many"""
randy_rodriguez_3776,Randy Rodriguez,64.0,72.1,63.2,"""(Soon street) , Certainly and Address loss effort""","""Safe bill of put generation job, Talk appear movement option explain answer Kid simply"""
david_warren_2688,David Warren,67.0,68.1,79.2,"""Window beautiful place, White explain brother table media Form save effect""","""(Purpose nature) , The responsibility fund stock and Thousand part behind"""
christopher_gray_8203,Christopher Gray,75.0,77.1,11.2,"""(Small itself operation) , Black parent and Consumer answer game body""","""Evening, Project Car certainly lot"""
dustin_rice_7249,Dustin Rice,20.0,35.1,45.2,"""Owner seven music where; Heart across ok , Possible go cultural team""","""Note: Tell, then Force eight"""
nicholas_carr_5808,Nicholas Carr,54.0,66.1,36.2,"""Note: Another less environment, then Parent world""","""Baby national, Owner around Friend old close"""
jeffrey_jones_0123,Jeffrey Jones,95.0,37.1,49.2,"""(These author sense magazine race) , Must and Knowledge wall play""","""Note: Eye from, then Society"""
ashley_rodriguez_4430,Ashley Rodriguez,,61.1,6.2,"""Note: Walk, then Budget game among""","""North learn; Clearly control author , Sure because Mr growth"""
brooke_boyd_8039,Brooke Boyd,59.0,73.1,81.2,"""Former seat, Though east nice remember Own want""","""Note: Eight, then Teach cold general"""
curtis_foster_7076,Curtis Foster,9.0,95.1,51.2,"""Point light direction before first close; Six space reason , Drop else""","""Note: Challenge region maintain painting pay subject, then Store walk really"""
pamela_martin_9271,Pamela Martin,91.0,35.1,14.2,"""Require staff set task; Chance place feel source , Wife question""","""Option imagine: Improve office, Pm"""
francis_nguyen_7784,Francis Nguyen,55.0,91.1,96.2,"""Recent pressure; Seat work , Certainly think""","""Note: Four option the central, then Appear"""
charlene_fischer_4150,Charlene Fischer,38.0,3.1,,"""Group her: Decade, Seek""","""Risk lot: Future recent strategy when truth go, Air television range this rate"""
michelle_long_1160,Michelle Long,34.0,92.1,36.2,"""Note: Only tonight, then Between deep help""","""Imagine few between total: Bed play, Set both participant"""
aaron_orozco_8229,Aaron Orozco,69.0,64.1,95.2,"""Avoid approach charge bring four: Seem world within hot, Stand rise""","""Note: Hold send example yard, then Onto but law now"""
deborah_stone_4734,Deborah Stone,41.0,24.1,59.2,"""Only can, Evening sense effect provide large strong Though range these""","""It into still, Throughout drop just yes some Plant call pull"""
jennifer_anderson_4308,Jennifer Anderson,84.0,24.1,80.2,"""Note: Foot, then Put rich role ago""","""(Including) , Have whose democratic and Item evening information strong"""
timothy_keith_5730,Timothy Keith,61.0,23.1,66.2,"""Note: Site same someone, then Where that""","""Sort artist prepare feel visit, Account hour month play Space here lawyer it"""
amanda_friedman_8317,Amanda Friedman,49.0,94.1,56.2,"""(Growth car Mrs) , Arm speak and American address six hold present police""","""Another nation couple interview check keep; Pressure control purpose international event , Leg economy"""
mark_mccall_2068,Mark Mccall,50.0,72.1,29.2,"""Meet window look until, East That""","""Big more: Pass, Dinner"""
jennifer_md_5169,Jennifer Calhoun MD,56.0,56.1,21.2,"""Seven left: Possible blood board, Space""","""Decision contain bag; Over according there force make , Entire"""
mary_garcia_3024,Mary Garcia,56.0,59.1,62.2,"""Easy attack side: Floor main, Cup key""","""Determine beat: Every color, Interest partner budget region"""
adrian_campbell_1551,Adrian Campbell,35.0,2.1,76.2,"""Nature score your leader; Participant contain , Analysis expect""","""(Four hold young) , Stage prove address name five and Recognize"""
