username;name;price;total_count;score;description;remark
mr_bibi_4311;Mr Max Bibi;6.0;26.1;39.2;"""Delectus aliquam quae eius; Dolor id ; Alias harum ab enim sit""";"""Libero modi modi ea pariatur: Consectetur tempora vero optio; Debitis libero"""
ms_jones_9455;Ms Amber Jones;;25.1;64.2;"""Porro sit; Quos nulla impedit occaecati repudiandae et ; Sunt nobis laboriosam ipsam""";"""Note: Tenetur labore beatae; then Neque culpa vero vero"""
dr_bell_0038;Dr Matthew Bell;9.0;8.1;;"""Aut odio sint nemo; Dicta in nesciunt ; Magni excepturi deserunt""";"""Non blanditiis facere: Itaque officia incidunt ab sequi eligendi; Laborum"""
jake_smith_8741;Jake Smith;13.0;66.1;78.2;"""Voluptatibus vel inventore ut eaque; Animi a ; Corrupti laborum illum expedita veritatis""";"""Note: Quia accusamus debitis recusandae; then Nulla"""
anthony_knight_3305;Anthony Knight;42.0;85.1;47.2;"""(Quis iure) ; Ipsam omnis ratione similique and Eaque vel quis""";"""Sint; Consequatur at ; Animi ea sed sint dolore"""
hugh_gray_0544;Hugh Gray;45.0;1.1;9.2;"""Note: Minima blanditiis dolorem; then Ipsam magnam possimus corrupti at""";"""Culpa odio modi; Quaerat repellat praesentium Dolores iusto"""
ms_brown_8701;Ms Patricia Brown;41.0;21.1;44.2;"""Note: Aliquam non; then Doloribus sunt""";"""Dicta officia; Explicabo eos laboriosam beatae accusantium ; Ut dolorem atque"""
mohammad_stone_4151;Mohammad Stone;60.0;30.1;42.2;"""Rerum laudantium fugit aperiam; Sint tempora Accusamus saepe""";"""Pariatur: Quidem vel laboriosam pariatur; Voluptatem maiores reiciendis odit"""
malcolm_daniels_4499;Malcolm Daniels;89.0;47.1;80.2;"""Veritatis ex; Exercitationem consequatur molestiae error eligendi ; Consequatur delectus voluptatibus""";"""(Esse dolorem inventore sit) ; Quis ad expedita and Impedit laboriosam ducimus odit"""
alan_sullivan_5831;Alan Pugh-O'Sullivan;74.0;17.1;15.2;"""Note: Odit ex distinctio perspiciatis; then Voluptate aperiam""";"""Note: Molestiae magnam occaecati; then Consectetur quas maxime quibusdam explicabo doloremque"""
sara_taylor_3582;Sara Taylor;5.0;75.1;27.2;"""Note: Repellat eveniet qui; then Itaque velit animi cum""";"""Deserunt asperiores suscipit iure consectetur: Explicabo; Ea nulla"""
amber_allan_3332;Amber Allan;64.0;96.1;48.2;"""Illum nihil perspiciatis esse aliquam explicabo; Repellat nostrum inventore non veritatis Quasi qui a""";"""Architecto odit numquam; Ullam odio Minima labore possimus"""
josephine_saunders_6610;Josephine Saunders;57.0;58.1;2.2;"""Rem; Adipisci ad Accusamus tempore""";"""Culpa distinctio: Delectus quae; Unde quos commodi praesentium"""
mr_davidson_5714;Mr Mohamed Davidson;18.0;35.1;74.2;"""Perspiciatis perferendis; Earum reiciendis provident magnam ; Perspiciatis nisi sequi adipisci""";"""Minima: Laudantium illo; Numquam sapiente id"""
dr_green_0087;Dr Gerald Green;24.0;60.1;16.2;"""Dolorem: Aliquid suscipit id distinctio enim; Nobis ratione maiores""";"""Note: Praesentium cumque; then Et libero unde"""
elaine_smith_3793;Elaine Smith;48.0;5.1;44.2;"""Optio; Ab aliquam ; In quam""";"""Note: Reiciendis hic eaque iste nisi; then Repellat sapiente perferendis"""
dr_briggs_2760;e;87.0;3.1;41.2;"""Culpa sunt sed: Consequuntur dolore; Quia""";"""Note: Vero illum autem; then Nostrum nulla tempora inventore"""
mrs_wilson_5148;Mrs Victoria Wilson;85.0;84.1;24.2;"""Mollitia ullam aut sunt qui dolorem; Qui unde ratione sapiente delectus ; Iste omnis""";"""Vitae nobis dolor aspernatur; Animi amet ducimus ; Perspiciatis pariatur quaerat"""
shirley_fuller_9446;Shirley Fuller;18.0;48.1;98.2;"""Vero adipisci; Reiciendis quibusdam laborum Voluptatibus distinctio dolores""";"""(Dolorem laboriosam repellat fugiat) ; Enim odio ipsa natus quisquam sit and Pariatur est quis reprehenderit"""
dr_adams_7817;Dr Jeremy Adams;96.0;35.1;81.2;"""Esse qui atque tempore illo; Consequuntur provident delectus consequatur id Culpa eaque adipisci quo""";"""Note: Iusto dolor occaecati cumque; then Aut reprehenderit"""
dr_storey_2577;Dr Charles Storey;27.0;;13.2;"""(Rerum facilis aspernatur eaque) ; Adipisci fuga and Quis alias explicabo cupiditate quis""";"""Note: Culpa voluptatem non sapiente vel; then Esse"""
