# This is a comment line to skip
username,name,score,salary,price,summary,note
darryl_johnson_8326,Darryl Johnson,17.0,37.1,63.2,"""Share cultural, Interest station Kind property imagine""","""Shoulder tell treat, Huge scientist Husband dark"""
billy_ward_4735,Billy Ward,1.0,21.1,88.2,"""Note: Thing again, then Enjoy million true""","""Pm performance around; Very finish offer , Only girl seek half"""
angela_velasquez_1754,Angela Velasquez,37.0,9.1,80.2,"""Everybody, Others gun draw relate couple house Recently occur ground simply live""","""Almost work; Any nor effort discuss , Western medical professional"""
seth_collins_8609,Seth Collins,67.0,17.1,35.2,"""Assume important learn lay each; So most ahead south , Could far nature report commercial""","""Forward use she officer; Nearly particular simple threat end , Television view whole marriage"""
nicholas_martin_6759,Nicholas Martin,96.0,82.1,13.2,"""(Condition appear) , Deal energy popular and Five middle magazine spring""","""General medical; Common lay , Available structure newspaper least whom"""
laura_martin_7381,Laura Martin,39.0,40.1,80.2,"""Book recognize: Poor hospital let memory firm, Theory should left""","""Wide require; Series , Drug"""
randy_cabrera_6207,Randy Cabrera,23.0,6.1,10.2,"""Themselves fight state recent fall per: Campaign note agent everyone, Through score day use""","""Suggest up: Actually, Country this live fight government woman"""
nicole_armstrong_3166,Nicole Armstrong,22.0,17.1,44.2,"""Huge main miss, House stuff College cut water""","""Note: Common exactly treat study carry that, then Though"""
leslie_hoffman_5201,Leslie Hoffman,98.0,44.1,50.2,"""Some unit: To least month, Suffer glass""","""Issue three your whom, Color market Sign discuss ball notice modern"""
terry_johnson_9807,Terry Johnson,9.0,39.1,35.2,"""Note: Become talk find worry group, then Model quality""","""Resource add leader; Ground charge , Two management everything"""
aaron_wolfe_4178,Aaron Wolfe,71.0,1.1,95.2,"""(Push room employee) , Second defense and Fall best pick""","""Option son language; Worker woman grow indeed democratic , Discuss four candidate"""
stephen_davis_0685,Stephen Davis,95.0,6.1,18.2,"""Fact third sport: Various, Dog indeed authority""","""Note: Least until what allow join, then Lose there choice major"""
michael_rogers_3288,Michael Rogers,22.0,48.1,84.2,"""Indeed husband health; Morning , Radio""","""(Chance western key occur little) , The because total and Stay space player put opportunity contain"""
stephanie_cameron_9822,Stephanie Cameron,,71.1,68.2,"""(Suffer) , Evidence first little begin walk and Voice""","""Environment meeting building view training, End black high Of degree rather health your"""
janet_jordan_3930,Janet Jordan,4.0,92.1,72.2,"""Read along threat along, Each candidate doctor law natural cup Usually well last""","""Win sport together less condition within, Month senior street join read impact Wear"""
sandra_hill_9851,Sandra Hill,8.0,68.1,71.2,"""Fire movement door, Finally detail force Look""","""Note: Trial career, then Again enjoy develop speak get feel"""
jennifer_simon_9191,Jennifer Simon,60.0,10.1,5.2,"""First quite, Suggest property space within Beat""","""Well happy north can: Matter research reality edge, Answer"""
jonathan_dickson_2530,Jonathan Dickson,87.0,93.1,73.2,"""Course well maintain be, Guy probably one Along my""","""Note: Dream other, then Once matter morning total"""
gregory_hicks_5277,Gregory Hicks,23.0,79.1,60.2,"""Different: Heart, Skin center more travel loss""","""Note: Just, then Feel western"""
joanna_shaw_1177,Joanna Shaw,14.0,20.1,,"""Leader sometimes; Safe space usually put , Side trade election recognize""","""(Beat include suddenly hear near) , Like claim many minute and Poor mouth investment"""
melissa_johnson_2763,Melissa Johnson,18.0,9.1,76.2,"""Worry real; Give by , Wish""","""Win; Tend guy run part service event , Last"""
charles_mendoza_2730,Charles Mendoza,41.0,97.1,55.2,"""Note: Democrat see, then Why until""","""Can, Sit meet fish During"""
kathleen_medina_5883,x,88.0,93.1,71.2,"""Find, Green grow ago exactly kid Face young many personal""","""Note: Policy education, then Method hear law card security"""
mary_jones_5766,Mary Jones,29.0,72.1,90.2,"""Especially stand billion store respond; Cover third , Hair two""","""Note: Sing happy however, then Pressure"""
michael_perez_6494,Michael Perez,33.0,15.1,52.2,"""Reflect carry; Audience , Section once best""","""Information size sit see guess; Personal these question product , Charge economic"""
jill_anthony_9651,Jill Anthony,61.0,,30.2,"""Then then can specific white, Else phone president though whom Save debate""","""Fly good fire: Central, Natural young star"""
michele_alexander_8421,Michele Alexander,23.0,86.1,90.2,"""(Recent nature) , History out few paper and Get phone fire learn I""","""(Clearly system leave tree) , Weight table and Stand decision although"""
theresa_tran_4120,Theresa Tran,84.0,87.1,1.2,"""(Recognize recognize often) , Assume brother leader north produce and Always section high""","""Point with; Network , Result strong"""
jennifer_williams_7094,Jennifer Williams,54.0,45.1,55.2,"""Ground very yeah force hope southern: Consider, Western some would""","""Room, Last all be seven Defense feeling former"""
jonathan_harper_0761,Jonathan Harper,61.0,9.1,40.2,"""Choice nearly not: High avoid compare, Watch health thousand role""","""Note: Each final dream brother college, then Music among magazine our"""
james_dickson_6573,James Dickson,13.0,38.1,67.2,"""Run: Her senior contain, Lot treatment western""","""Light along seem; Look before generation , I into evidence ok study"""
crystal_gilbert_2864,Crystal Gilbert,28.0,47.1,57.2,"""Should buy brother, Add kid way current space Attorney fish director answer career""","""Continue community, Senior fight Stage might"""
thomas_meadows_8347,Thomas Meadows,61.0,5.1,1.2,"""(Whatever defense whatever drive) , Pretty and Capital personal room others""","""Consider world: Year vote summer, Pull whatever debate over"""
brian_smith_8536,Brian Smith,73.0,91.1,91.2,"""Agent sport service: Table either shake newspaper, Really east able should task""","""Behavior author: Rate receive TV late under organization, Recently court threat difference"""
