name;score;rating;total_count;comment;description
Steven Melton;8.0;100.1;36.2;'''(Run run song) ; Threat and Country anything dog''';'''Minute how: Base against possible; Staff deal'''
Briana Gray;25.0;83.1;1.2;'''(Operation throughout same condition dream clearly) ; Age leg and Still win''';'''(Mind garden) ; Its can that and On without letter professional accept'''
Melvin Martinez;62.0;90.1;61.2;'''Note: Down these; then Seat blue suffer good''';'''Note: Hit such concern significant current; then Rather represent work story'''
Edward Robinson;35.0;97.1;;'''Support want be tax ahead across: North; Live put he determine''';'''Note: Since live; then Us room company'''
Heather Ryan;85.0;17.1;33.2;'''Note: Because partner wonder; then Very site time suffer''';'''Culture animal low; Foot again no Poor expect age'''
Sarah Lopez;11.0;80.1;21.2;'''Population: Board enough position; Trip meeting message available middle subject''';'''(Baby) ; Fact development threat and Eight decade'''
Alexis Bradley;51.0;80.1;72.2;'''Must; Quickly cause ; Quality create''';'''(Ability sense) ; Very cut and From they'''
Melissa Bender;69.0;43.1;81.2;'''Should music; Her high performance even sport ; Just event perhaps fish''';'''Inside ago forward; Relationship various case City least too reality'''
Jaclyn Higgins;62.0;60.1;94.2;'''Note: One; Wish away''';'''(Necessary four run) ; Year and Support huge who research'''
Amy Clark;60.0;94.1;35.2;'''Laugh single leave imagine; Against set heavy ; Treatment theory then wide sense''';'''Note: Responsibility strategy have; then Song figure happen sort many'''
Kimberly Kaiser;6.0;30.1;41.2;'''Grow senior; Minute step reveal Store beat''';'''Mrs attorney agency; Contain example official ; Maintain'''
Jamie Riley;30.0;98.1;25.2;'''Note: Forward herself; then Produce''';'''Improve; Above certainly forget ; Watch significant'''
Paul Martinez;58.0;53.1;67.2;'''Note: Out administration without; then Worker strong rise it top''';'''Newspaper executive: Draw nor; Us'''
Juan Patrick;86.0;8.1;26.2;'''Ahead have: Treat ready always final agreement; Fall under''';'''Cut near hot; Machine product Know cause collection well because'''
Kimberly White;32.0;56.1;38.2;'''Third: Operation chair; Up foot''';'''Note: Community language; then Past successful'''
David Luna;72.0;17.1;84.2;'''Property lead: Should simply; Dog and show agreement true''';'''Whether thing; Both natural program Magazine'''
Bradley Terry;74.0;58.1;68.2;'''(Understand occur) ; Key phone and Here here suggest design school''';'''Full tax put beyond western: Law fact simply hundred chance certainly; Arrive information'''
Brian Bruce;18.0;29.1;19.2;'''Eight back enough choose structure: Even; Human protect blue act realize''';'''Follow eight forward: Safe; Wide huge'''
Dawn Howe;58.0;71.1;87.2;'''Support blood per production: Beyond environment; Report ready stand''';'''Night because; Candidate my poor ; Finish must'''
Jeffrey Sloan;5.0;94.1;32.2;'''Note: Level; then Benefit building''';'''(Model mind hand) ; Improve wait and She'''
Peter Smith;;92.1;18.2;'''Cup; Model million everyone threat bring ; Tv compare''';'''(Likely sense level to) ; Its notice half recent heavy and Listen'''
Gary Mcfarland;72.0;15.1;92.2;'''Ability child magazine act world; Audience answer style Box reach''';'''Member mission first if; Source performance because than ; Subject notice economy'''
Brian Hodges;86.0;95.1;36.2;'''Page attention big; Garden they know traditional Congress vote election''';'''Better lay behind; Worry present rate as Those recognize thing stage'''
Dominic Clark;95.0;78.1;20.2;'''Now pressure: Before option kitchen middle traditional TV; Budget gun special fly''';'''Analysis drug necessary page discussion: Bar other design brother; Once not'''
Peter Gonzalez;20.0;63.1;76.2;'''On protect what; This sport Impact particular go return''';'''Note: Author recently interview; then Back'''
Michael Ballard;71.0;91.1;14.2;'''Note: Today this us fire scene move hundred; then Possible rock performance eat car''';'''Body from size challenge themselves: Join difficult prove; Cut'''
Kimberly Allen;51.0;24.1;92.2;'''Stuff general they; Myself value book most difficult note ; He''';'''Fast change themselves student: Stage appear support read; Game play base'''
x;13.0;80.1;42.2;'''Break imagine respond heart visit perform wonder; World knowledge between ; Factor affect improve drop''';'''Note: Born medical try for; then What system'''
Edward Johnston DVM;20.0;47.1;16.2;'''Room him; Finally against Operation''';'''Note: Live drive your; then Sport image'''
Christopher Lozano;91.0;11.1;72.2;'''Employee; Would season want there situation give Able check''';'''Note: Red near possible; then Tax herself focus'''
Mary Foster;54.0;46.1;76.2;'''Of; Eye edge end ; Again reduce fight''';'''Teacher professional threat mean final; Small lot soon ; Fund next blood activity call police'''
David Gallegos;55.0;;14.2;'''Five action ask we; Radio Us''';'''(Certainly piece executive happen girl) ; Action entire and Whom road'''
Andrea Anderson;68.0;71.1;57.2;'''(Each enough) ; Attorney and Land''';'''Note: Book scientist realize relationship; then Language summer activity'''
Dawn Perez;70.0;18.1;65.2;'''(Area lawyer from) ; Bag foreign newspaper and Next small foot upon''';'''(Message whatever treatment ahead dinner) ; Wrong tell message and Friend maintain language'''
Stephanie Kelly;57.0;66.1;95.2;'''Mouth author: Art defense; Guess scientist''';'''Father focus last hotel; Make thus necessary various ; Close too'''
John Perry;3.0;72.1;59.2;'''Similar far; Ever Low actually deep''';'''Little miss agency: However determine; Hold'''
Diana Buck;27.0;19.1;71.2;'''Read small federal half various; Realize song all ; Glass citizen by state''';'''Win wonder expert their: Mission recognize movie outside which; Shake friend yes'''
Michael Harrington;73.0;50.1;37.2;'''Scene although probably: Free chance; Success''';'''Trouble quality; Foreign ; Real door president arm'''
