name,username,salary,comment
Rhonda Ross,rhonda_ross_9836,71.0,"""Price himself, Authority lead out money its public Actually behavior environment"""
Rachael Jones,rachael_jones_6791,18.0,"""Note: Company artist school, then My raise drive debate"""
Daisy Fowler,daisy_fowler_6414,68.0,"""Baby skill break ahead, Leave evening quality process Lose soon"""
Julie Cox,julie_cox_4644,30.0,"""Appear other; Black tell send very who , Air"""
Tina Burton,tina_burton_3351,43.0,"""Discuss, Break television fire maintain Enough item television such business"""
David Murphy,david_murphy_7194,45.0,"""Think thing check beyond participant: Site seem, Everything cup figure message rock"""
Tim Higgins,tim_higgins_0740,,"""(Fall heart throw) , Person prove and Personal rate figure interesting sit"""
Morgan Dixon,morgan_dixon_8886,35.0,"""Note: Beyond member nation happen put, then Thousand show that"""
Tamara Sanchez,tamara_sanchez_6956,26.0,"""Development read, Control direction all wait decade Tonight bit skill walk"""
Calvin Dominguez,calvin_dominguez_2607,47.0,"""Author; Religious animal , Class example finally kind"""
Michael Harris,michael_harris_6117,36.0,"""Pay face nice: Security early do her turn morning, Central produce personal control"""
Paul Hanson,paul_hanson_7711,70.0,"""Tell, Day truth Program between special prepare today forward"""
Robert Morales,robert_morales_5078,76.0,"""Mr affect amount: Watch goal avoid, Wide media dog likely paper"""
Jason Martin,jason_martin_7977,11.0,"""(These edge) , With difference finally and Usually serve human"""
Jenny Arnold,jenny_arnold_6224,68.0,"""Note: Worry area education each, then Style determine"""
Peter King,peter_king_7407,70.0,"""Dinner read election; Organization memory country expert , Into policy"""
Heather Shaw,heather_shaw_5488,88.0,"""(Moment near money nation) , Someone half usually standard and Already heart author"""
Jennifer Haynes,jennifer_haynes_0502,41.0,"""Young court; Book very threat , Above politics exactly"""
Veronica Lowe,veronica_lowe_8881,88.0,"""Note: Decision budget, then Tax memory month"""
Matthew Jones,matthew_jones_8214,69.0,"""Learn brother television school she, Open their Nearly"""
 ,ashley_smith_0975,58.0,"""Close late senior business away: Offer, Strong deal move"""
Brad Harris,brad_harris_0220,15.0,"""Be, Prepare drop training Hospital member"""
Lawrence George,lawrence_george_3273,80.0,"""Reality agent land conference: Democrat occur term, Plan subject up"""
