# This is a comment line to skip
username,name,rating,score,age,summary
tara_boyd_7589,Tara Boyd,72.0,91.1,98.2,'''Worry election: Happy, Have'''
hailey_perez_3928,Hailey Perez,65.0,39.1,48.2,'''Note: Raise situation him, then Campaign ten'''
katrina_soto_2289,Katrina Soto,15.0,28.1,30.2,'''(Make theory history hard) , Nature news onto ago and Smile bad'''
gina_hebert_2275,Gina Hebert,87.0,89.1,39.2,'''(Add value audience) , Positive and Others bring front parent compare smile'''
christina_garza_1158,Christina Garza,5.0,28.1,4.2,'''Ago loss, Parent Responsibility rule pick sort another'''
heather_french_7782,Heather French,71.0,4.1,68.2,'''Rather, Adult nothing property Into over wall list particularly'''
gabriel_strickland_4560,Gabriel Strickland,63.0,41.1,44.2,'''Team chair western: At cold type, Guy identify girl'''
rodney_reed_6219,Rodney Reed,100.0,27.1,26.2,'''Evening rule heavy; View management game record cultural , Practice boy'''
chad_barnes_5363,Chad Barnes,6.0,20.1,47.2,'''Note: Forward go appear finish, then Movement anything seven art'''
justin_jones_3514,Justin Jones,97.0,11.1,82.2,'''Face: Century surface research group, Make military drive somebody price'''
james_lane_2396,James Lane,53.0,59.1,91.2,'''Reflect challenge low; Itself , Perform trip everybody'''
melinda_clark_1616,Melinda Clark,66.0,25.1,90.2,'''Behind: Manager though factor watch, Scene month region'''
donna_donovan_8363,Donna Donovan,75.0,24.1,75.2,'''Arm join local authority oil, Low section Approach smile'''
samantha_diaz_8282,Samantha Diaz,46.0,19.1,43.2,'''For position cause; System , Save it area near feeling'''
jennifer_miller_0089,Jennifer Miller,72.0,78.1,59.2,'''(Meeting set enter off still) , Lot build and Thought toward man'''
diana_huff_2204,Diana Huff,,6.1,5.2,'''Similar where become watch, Section local Knowledge ago among'''
victoria_kent_0714,Victoria Kent,37.0,56.1,95.2,'''Technology, Eight front Pass pay yet trouble'''
eric_bautista_5971,Eric Bautista,13.0,68.1,,'''(Between success) , Radio trade hour window public and Begin million have free'''
joy_adams_7022,Joy Adams,62.0,54.1,31.2,'''Upon decade person particular economic, Sit fund head miss bed Since guy'''
tristan_ramirez_9032,Tristan Ramirez,78.0,3.1,91.2,'''Young east sell recently; Hundred human staff , Remember house leg'''
ruth_zamora_0252,Ruth Zamora,98.0,81.1,26.2,'''Note: What, then Space election newspaper'''
jillian_smith_5244,Jillian Smith,67.0,96.1,69.2,'''(Whole speech young) , Then try ever and Hit economic research'''
peter_kerr_3300,o,59.0,56.1,20.2,'''Social: Image close table, Interesting lot set'''
jonathan_patel_5838,Jonathan Patel,7.0,94.1,18.2,'''Certainly recent; Government , Appear possible detail cultural'''
bradley_duncan_9303,Bradley Duncan,26.0,70.1,68.2,'''Note: Community author hospital, then However still explain air sort'''
joshua_parrish_3535,Joshua Parrish,54.0,12.1,76.2,'''(No democratic east majority election) , Quality back and Hour live wish leave'''
sabrina_johnson_9215,Sabrina Johnson,100.0,82.1,53.2,'''Main would detail free watch: Sister scientist machine current all, Morning eat these important'''
theresa_morales_5757,Theresa Morales,66.0,76.1,12.2,'''(Firm world hotel bank make) , Tell agreement special politics and Mind summer'''
cristina_johnson_2295,Cristina Johnson,89.0,,41.2,'''Race, Brother Others early certain especially indicate toward'''
