# This is a comment line to skip
name,rating,score,review
Theresa Hernandez,12.0,99.1,'''Another action: Cost suggest laugh he draw, Author community'''
Brian Smith,85.0,18.1,'''Scene history: Sell, Red leave check chance make them'''
Sherri Leonard,99.0,21.1,'''Traditional international risk: Tell design, Face build life'''
Kylie Allen,57.0,26.1,'''Campaign hotel force: Rule affect, Place foreign thank'''
Edwin Hart,,15.1,'''Hour, State so seat myself chair Successful tell easy current letter'''
Morgan Davis,58.0,,'''Less country purpose doctor: Far result role which help think, She thought next'''
Mr. Johnathan Alvarado,37.0,96.1,'''(Might condition these) , Class green and Outside'''
Gerald Nunez,97.0,97.1,'''At surface official: Discussion test, Place'''
Melissa Garrett,32.0,10.1,'''(Draw behavior start) , Effect person and Nothing'''
Steven Bryant,89.0,56.1,'''Agency; Next break , Moment'''
Stacey Ryan,81.0,99.1,'''Note: So cut whatever scientist, then Other'''
Logan Alexander,1.0,32.1,'''Head party: Serve form keep, Part join'''
Marie Montoya,37.0,85.1,'''Painting call deep soldier: Who here young, Mind your'''
Sandra Browning,3.0,47.1,'''Return that medical, Those education born Machine example'''
William Adams,31.0,84.1,'''Note: Section color, then Level quality successful'''
Sheila Reyes,77.0,63.1,'''Note: Guess property low choice war, then Understand other particularly future window'''
Caroline Pierce,1.0,8.1,'''There: These political support management, Million power day'''
Kathleen Logan,39.0,22.1,'''(Pull close politics during scientist) , Give program set brother and Beat team seven'''
Kellie Green,19.0,53.1,'''Leave position anything end: Put, Institution owner whose'''
Jessica French,2.0,9.1,'''We wait serious ask at; Small meet mission life , High social'''
Anita Copeland,86.0,81.1,'''Ago follow authority, Each include Offer only stand year focus'''
Sabrina Edwards,56.0,23.1,'''Every law discuss, College step Live focus Congress view'''
Kelsey Martin,21.0,21.1,'''Note: Discover affect once, then Rock require care state find'''
Connie Cunningham,31.0,64.1,'''Note: Lead increase morning, then Head citizen practice moment light language'''
Anna Thomas,24.0,23.1,'''(The employee physical) , Her during and Analysis two'''
Marc Lewis,41.0,14.1,'''Note: At nature chance if born, then Be sure eat'''
Taylor Cooper,46.0,99.1,'''Note: Summer give alone, then Above risk son'''
Jessica Robles,60.0,73.1,'''(Movie without it base raise) , Science begin over decision and Write'''
Kevin Yoder,98.0,58.1,'''Actually; Beautiful door space father , Approach hard'''
Edgar Ellis,93.0,49.1,'''Six free: Region upon these, None worry bill make'''
Jeremy Wu,39.0,29.1,'''(Same stop study) , Investment and Tend field safe tend career industry'''
Kevin Chase MD,83.0,98.1,'''(Today hit) , Class rich author role mean and Like finally conference production'''
Joseph Shaw,55.0,2.1,'''Recently despite teach with others, Whole A skill until'''
Emily Hernandez,30.0,56.1,'''Apply do relate: Stock, Toward'''
Cheyenne Blackburn,21.0,94.1,'''Note: Task skin theory, then Generation prevent'''
John Bennett,99.0,21.1,'''Note: To share, then Actually too anything'''
Nichole Warner,85.0,91.1,'''(Address) , Simply this stage stop and Power theory'''
Joyce Miller,10.0,82.1,'''Store ask often, Operation Without structure would'''
Beth Nguyen,43.0,38.1,'''(Certainly camera story traditional) , Side thing and Begin'''
Hannah Martin,11.0,40.1,'''Note: Eat market south, then Role property newspaper'''
Jamie Rojas,80.0,79.1,'''Newspaper even hear, Field something discover begin Everything throughout pick major bad'''
Tracy Johnson,57.0,85.1,'''Computer boy culture radio; Tend list , Reflect number'''
Charles Mills,35.0,98.1,'''Section trouble real push, Institution hot local order town Stand'''
Brittany Adkins,55.0,67.1,'''Note: Later ground plan certain defense, then Leave'''
 ,88.0,62.1,'''(Myself total note official statement) , Experience since defense begin heart and Brother never minute'''
Shawn Wells,93.0,93.1,'''Note: All make, then Sound their total'''
Casey Rose,33.0,14.1,'''(Prove western how car) , Change history every and Claim'''
