username	name	total_count	remark	summary
nichole_reynolds_9658	Nichole Reynolds	6.0	"""Trouble statement mean; A instead method exactly 	 Must four public"""	"""(Computer) 	 Law and Serve activity social"""
tyler_davis_5833	Tyler Davis	96.0	"""Animal street spring too	 Smile something perform without particularly military Ago describe course"""	"""Note: Relationship soldier rate	 then Health couple"""
nathaniel_king_9970	Nathaniel King	79.0	"""Our in authority	 Though quality school paper Play"""	"""Question	 Rest sign employee Mr Them force shake network investment"""
david_rice_3316	David Rice	96.0	"""Line finish main; Evening good bit remain 	 Land game Congress major different"""	"""Growth practice public both nice	 Floor Four create entire crime"""
joseph_gonzales_9119	Joseph Gonzales	84.0	"""Own civil wear seek else	 Against address during Style realize"""	"""(Understand listen hand own) 	 Approach produce and Rich provide record here"""
john_rodriguez_0460	John Rodriguez	98.0	"""Prove; Live 	 Call low"""	"""However enter per contain decision unit: Provide Mrs blue	 Plant chance summer"""
lisa_welch_2761	Lisa Welch	49.0	"""(Different difference) 	 Information ahead and Sister tree simple"""	"""City practice address: They successful run	 Why ability"""
jennifer_lynch_9344	Jennifer Lynch	94.0	"""Like three put pull develop: Energy gas power fast believe nation	 Strong"""	"""Traditional: Such boy under her	 Test"""
ryan_barnes_5871	Ryan Barnes	23.0	"""Wide within full	 Although hear image nothing Right senior ground"""	"""Page; Close bad 	 Spring tough"""
tyler_solomon_5793	Tyler Solomon	55.0	"""Investment audience: Number bill	 Need experience share"""	"""Land surface stuff gun: Wall case	 Report size example attorney major"""
jennifer_medina_1126	Jennifer Medina	38.0	"""Season decide marriage free skin: Ready physical	 Hour"""	"""Dinner one seven business	 Adult effort image computer Bill site"""
frank_hayes_4873	Frank Hayes	2.0	"""Others eight worry sea writer; Difficult source 	 Trade"""	"""High upon on; Response president 	 Evening occur seven dog window"""
timothy_osborne_7348	Timothy Osborne		"""Note: Thus pressure often	 then Hope church"""	"""Simply herself; Fast majority first suddenly 	 Concern final current"""
jennifer_nunez_3140	Jennifer Nunez	98.0	"""Large in: City their authority center	 Mother yourself response"""	"""Drug: Poor apply situation	 Scientist true"""
timothy_brown_8029	e	99.0	"""(Under ability term) 	 Culture make create and People side"""	"""(Friend that those) 	 Mr treat and Role"""
shannon_harvey_7459	Shannon Harvey	79.0	"""Note: Only practice news guy	 then After area"""	"""Note: Turn create financial third different key central	 then Economic huge when"""
jessica_hernandez_1769	Jessica Hernandez	55.0	"""Note: Visit despite once	 then Play"""	"""Medical bill door up great figure	 Threat suffer visit exactly Card listen smile"""
lisa_miller_3729	Lisa Miller	81.0	"""Subject; High fact space 	 Science fill sell"""	"""I western	 Up research stop Say often inside spend indeed"""
philip_petersen_9056	Philip Petersen	46.0	"""Value computer above relationship: Throughout	 Hand dinner moment"""	"""Today: Professor somebody main amount accept charge	 Effort professional lose"""
jennifer_brown_2035	Jennifer Brown	43.0	"""Cold create: Hospital play	 Form guy poor"""	"""Card recognize white your; Want 	 Keep man figure"""
megan_herrera_8503	Megan Herrera	8.0	"""Turn sure; Bag parent point baby 	 On card"""	"""Allow material I significant; Capital theory west benefit present 	 Meeting past"""
kenneth_bailey_2591	Kenneth Bailey	24.0	"""School world range soldier	 Hospital spring evidence Exist social"""	"""Share picture young: Instead	 Good"""
brandon_morrow_5885	Brandon Morrow	98.0	"""Note: Charge	 then Woman energy"""	"""Heavy item; Statement since 	 As remember benefit wide"""
travis_peters_7485	Travis Peters	28.0	"""Kitchen race difficult local; Film join take pass end 	 Type"""	"""Note: Marriage third behavior avoid when	 then Room drop radio much"""
sarah_robertson_9671	Sarah Robertson	39.0	"""Would my citizen; Seem song 	 Mother though"""	"""Relationship; Purpose source glass campaign 	 Community wide ten choose sure"""
sara_young_7164	Sara Young	45.0	"""(Share hundred employee) 	 Suddenly sure check and Fund fast"""	"""Response note their federal: Their	 Treat wrong gas"""
hannah_dvm_5596	Hannah Ortiz DVM	13.0	"""Without herself thus wonder	 Goal Wear support speak"""	"""Note: Water seat next	 then Reduce consider"""
joshua_bradley_2760	Joshua Bradley	78.0	"""Behavior article	 Event from apply today Establish east early sound"""	"""Great matter sure between perhaps: Stuff class	 Central"""
kelly_torres_0112	Kelly Torres	29.0	"""Plan we personal American side	 Likely early Win foreign difficult may"""	"""It	 Light new doctor safe System miss identify success fact"""
timothy_cruz_1438	Timothy Cruz	88.0	"""Nothing worker	 Source popular stuff upon Worker whether professor just"""	"""Note: Player beat husband whom	 then Machine beyond Congress specific role enough"""
