# This is a comment line to skip
username,age,total_count,note
heather_schmidt_5551,42.0,86.1,"""Establish describe: Officer key cut, Improve senior reveal"""
kimberly_patterson_9253,38.0,54.1,"""Note: West foreign arm, then From authority"""
roberto_zamora_2003,52.0,7.1,"""(History do large admit) , Detail line step performance and Special old appear moment"""
mary_kline_1444,34.0,32.1,"""Community pay lay whatever, Away stand Under yeah"""
jeremy_jones_2830,96.0,72.1,"""Budget some candidate, Me quite Old recently method"""
gerald_king_6372,32.0,,"""Note: First upon order change respond, then Accept short hand consider"""
nicholas_martinez_9195,98.0,64.1,"""(Sometimes network play) , People race and Really seek lay push"""
nicole_gibson_5190,87.0,12.1,"""(Choice local management at) , Certainly player fund and Total"""
lorraine_moss_9361,61.0,38.1,"""(Write) , Sport never movie two want and Director follow especially"""
bryan_williams_8343,30.0,28.1,"""Little reason, Majority whatever Say relationship"""
michael_barber_1114,32.0,84.1,"""(Build perhaps radio) , Nothing base and Often follow physical their"""
edward_french_6406,37.0,4.1,"""Note: Training price, then Situation certain"""
april_jackson_6044,13.0,10.1,"""Raise someone partner improve; Forward interesting lose , Woman feel different base"""
donna_davis_7350,44.0,40.1,"""Note: Three, then City page"""
nicole_rivas_3772,89.0,3.1,"""Should democratic human agree; Computer , Community total"""
geoffrey_tyler_9184,1.0,42.1,"""Note: Region lose popular, then Forward best society center"""
nicholas_gray_3623,86.0,23.1,"""Note: Method Democrat, then Two easy here blood body"""
clifford_cervantes_0940,56.0,32.1,"""Too card four type save; Increase , Job range develop along source occur"""
mark_brown_4754,71.0,33.1,"""(Pm late attorney third size) , Possible speak same never enjoy and Southern organization"""
bryan_thompson_0603,9.0,41.1,"""Daughter hit them; Despite get action , Teach miss nature"""
emily_vargas_9357,78.0,77.1,"""Note: Form, then Less catch"""
candace_stone_6680,,45.1,"""Note: Writer, then Attack international"""
tiffany_henderson_5928,5.0,24.1,"""Arrive see modern; Give itself best while wife , War best base"""
john_nelson_8231,59.0,19.1,"""(International life) , Site shake and Attack human"""
cynthia_browning_2027,42.0,26.1,"""Note: Consider beyond health, then Six soldier our"""
rebecca_gilbert_4235,38.0,64.1,"""During Democrat; Anyone most second , Then see town"""
vanessa_gonzales_7099,13.0,70.1,"""Page likely box growth; Current prevent , Energy yourself list then wish cup"""
rebecca_nguyen_5004,22.0,46.1,"""City wrong: Little believe, Practice beautiful meet trial"""
mr_howard_5527,38.0,19.1,"""Buy fire; Surface play , Never current deal together"""
judy_cruz_0321,47.0,68.1,"""Glass blood; Full behind positive , Fish clearly card commercial assume carry"""
jennifer_cannon_6538,68.0,41.1,"""(Able talk Mr) , Apply politics option and Newspaper"""
kristina_may_1191,83.0,80.1,"""Owner low between; Especially how describe , Often student less"""
alexander_pearson_4993,70.0,10.1,"""(Remain) , Common dream hair note order and Control mouth"""
eric_cannon_9559,80.0,91.1,"""(Campaign not house everything available Mr) , Measure including and World age so suggest"""
leonard_villegas_9011,38.0,60.1,"""Congress painting international each human short; Final admit , Bag"""
james_davis_8549,71.0,41.1,"""Note: Firm, then Many"""
mark_taylor_2314,58.0,1.1,"""(Appear during do development age wide) , Unit become like watch woman and Step mission"""
charlene_dvm_3510,77.0,4.1,"""Treat despite; Term blue , Sea evening boy hotel"""
tammy_martinez_8658,82.0,73.1,"""Win tonight fine us perhaps, Never dark physical foot Dog than be nation start"""
shari_sanchez_4800,36.0,78.1,"""Current not dream; Family answer , Vote try speak fear"""
adrian_schmidt_4186,68.0,66.1,"""Rise house, Cold hit majority Personal method organization"""
joshua_williams_4573,33.0,41.1,"""(Drug) , Recent imagine and Color five candidate according head hospital"""
arthur_nguyen_6246,82.0,86.1,"""Daughter usually: Seat represent, Organization according organization investment hundred"""
brett_orr_8708,55.0,42.1,"""Report herself: Heart important, Cut enough behavior"""
