# This is a comment line to skip
name,username,rating,score,total_count,note,summary
Justin Saunders,justin_saunders_9302,22.0,77.1,98.2,'''Reduce: American how pull hotel feeling them, Oil''','''Note: Senior, then Article affect necessary'''
Lori Wheeler,lori_wheeler_0794,51.0,28.1,88.2,'''Anyone: Investment begin how discuss somebody whole, State at enough''','''Whole own, One material onto Camera'''
Dale Dean,dale_dean_6851,28.0,19.1,70.2,'''(His) , Nation test claim explain tree and Build decide difficult course far''','''Pick first from democratic: Not hope, These player five camera important'''
Mariah White,mariah_white_6243,68.0,22.1,9.2,'''Note: Oil claim lay analysis least child, then Tree local piece international''','''Several, Reason fly result kid may Treat character sing'''
Kenneth Atkinson,kenneth_atkinson_1288,13.0,94.1,63.2,'''Top business necessary: Job develop interview, Matter company''','''Note: Teacher any almost manage, then Study it'''
James Williamson,james_williamson_4371,34.0,47.1,67.2,'''Note: Property low PM, then Present our together''','''Win when third, Experience hope Everything until sport pattern'''
Julie Hamilton,julie_hamilton_5040,,81.1,20.2,'''Various pull quality; Perhaps positive sound likely service deal , Card after move''','''Each give: Station visit American, Figure chance peace none we myself test'''
Chelsea Martinez,chelsea_martinez_0411,97.0,54.1,49.2,'''Will light key bag; Paper eat suddenly another , Begin else''','''Them music beyond: Series, Leader grow data'''
Beverly Kelley,beverly_kelley_1847,29.0,94.1,47.2,'''Note: Church wide, then The write''','''Note: Claim then country many sing, then Minute experience'''
Sara Barnes,sara_barnes_7280,89.0,81.1,22.2,'''Note: Do hold international, then Four piece''','''Site space rock, Dinner room which Result'''
Elaine Ortiz,elaine_ortiz_6250,67.0,5.1,39.2,'''Important development: Positive project financial up significant, Sit year''','''Vote professor pay; Agency skin , Board film before head'''
Marcus Horton,marcus_horton_7921,53.0,,2.2,'''Note: Improve, then Herself reflect television''','''Fall worry: Ask ten million, Free wife culture board'''
Andrew Garner,andrew_garner_2771,62.0,59.1,17.2,'''Arm hit property claim later movement, Weight Add ahead treat''','''(Food someone beat) , Why behavior account response goal responsibility and College animal'''
Luke Hoffman,luke_hoffman_0322,5.0,58.1,97.2,'''Blue find when: Thought, Rise by baby''','''Challenge will: American special write, Even'''
Joseph Mclaughlin,joseph_mclaughlin_3320,7.0,56.1,63.2,'''Else list each discussion; Sort but him shoulder , Begin military painting south''','''Suggest rest: Stand, Build specific physical'''
Jordan Decker,jordan_decker_1386,51.0,16.1,,'''Note: Wear lot, then Network issue degree whole finish''','''(Well little) , Season important north and Country collection ok serious'''
Carlos Hardy,carlos_hardy_2093,11.0,22.1,42.2,'''Indicate source trial season ok, Concern player appear Understand finally often kitchen''','''(Upon discuss north) , Front for less government choose and Measure myself clear'''
Nichole Rivera,nichole_rivera_1177,58.0,90.1,41.2,'''Note: Agent, then West company''','''Meeting to: Kitchen worker, Expert media others'''
Bradley Hall,bradley_hall_3477,8.0,49.1,27.2,'''We prepare: From green opportunity everything a green, Image''','''Note: Throw north dark, then Cover laugh wait necessary'''
Victoria Shields,victoria_shields_2738,20.0,38.1,65.2,'''(Training region beyond should) , Body administration relationship question and Determine likely drop simple''','''Note: Conference, then Opportunity'''
Kathryn White,kathryn_white_6856,73.0,29.1,22.2,'''Eye: Different college, News''','''Him western type feeling, Lawyer because beautiful usually Seem administration partner can lot'''
Karen Rivera,karen_rivera_9682,33.0,64.1,32.2,'''By, School cold up Fill open''','''Sign one; About , Also century month who boy'''
James Martinez,james_martinez_2016,17.0,30.1,47.2,'''(Specific body experience focus) , Put yet and If accept''','''Note: Daughter PM cold, then Catch grow'''
Melanie Sherman,melanie_sherman_7728,34.0,87.1,10.2,'''Whose become thing reason: Candidate language, About pay trial audience''','''Discover can room history bill, Evidence stop Appear door Republican then'''
Kyle Carson,kyle_carson_2852,93.0,50.1,6.2,'''Note: Arrive run, then Full soldier''','''Record ball point: Enter outside adult price, Let tough be'''
Kyle James,kyle_james_1670,33.0,73.1,2.2,'''Notice deal wait sing management company: Relationship ago, Another star''','''Note: Couple democratic, then Media such'''
Brian Perez,brian_perez_8646,42.0,13.1,88.2,'''Past soldier defense: Change wonder just personal support, Capital enough''','''Provide, Prevent ten PM catch response remember Seat record'''
A,erica_baker_3785,8.0,24.1,94.2,'''Beyond marriage: Performance represent people, Final feeling''','''(Almost support) , Agree represent good reflect fish and Image television protect'''
